Gene,Annotation,Median_GSS,PCC
PLEKHH1,7.0,4.328125,0.6365399248859434
MYRF,7.0,4.203125,0.6356524130869683
MAL,7.0,4.296875,0.631512326478539
MOG,7.0,4.83984375,0.6301271897108018
HSPA2,7.0,4.67578125,0.6290198479986808
ERMN,7.0,4.7109375,0.6290124073701173
FAM107B,7.0,3.869140625,0.6278942534737101
NDRG1,7.0,3.1328125,0.6260992672706294
CLDN11,7.0,4.59765625,0.6255559579183215
CDC42EP1,7.0,3.85546875,0.6249357485575856
CARNS1,7.0,4.58984375,0.6246775398973436
NKX6-2,7.0,4.12890625,0.6244263447994347
TTYH2,7.0,4.16015625,0.6205380017940376
PLA2G16,7.0,3.9375,0.6200899822177253
PLPP2,7.0,3.033203125,0.6195901604362589
CNTN2,7.0,3.83203125,0.6189673157606483
PLLP,7.0,4.43359375,0.6181377480468453
ELOVL1,7.0,4.30078125,0.6176116867433151
PMP22,7.0,4.0703125,0.6166846492346699
BIN1,7.0,2.8515625,0.6163342862450448
SLAIN1,7.0,4.0703125,0.6136301883101859
CNDP1,7.0,4.3515625,0.6109143531538233
LAMP2,7.0,3.98046875,0.6093435406247141
HAPLN2,7.0,3.845703125,0.60856756342125
KLK6,7.0,4.46875,0.6083261838578076
FA2H,7.0,3.646484375,0.6078475802082874
CERCAM,7.0,3.921875,0.6069454338442312
PPP1R14A,7.0,3.96484375,0.6065875078177719
MAG,7.0,4.28125,0.6055464991995757
SELENOP,7.0,4.01953125,0.6050215584705743
PADI2,7.0,3.6875,0.6029895017637854
CDKN1C,7.0,3.859375,0.6023305488500046
SLC44A1,7.0,3.908203125,0.6020698316052686
ENPP2,7.0,4.42578125,0.601569505155592
AL359091.1,7.0,3.521484375,0.5999712343176561
TMEM144,7.0,4.5546875,0.5985853730615714
BCAS1,7.0,4.109375,0.5984730201148909
CD9,7.0,3.591796875,0.598438172855986
SEMA3B,7.0,3.68359375,0.5983356484875746
GJC2,7.0,3.451171875,0.5982371142785459
EFHD1,7.0,4.0,0.5978622972261854
TMEM98,7.0,2.833984375,0.5973303065718895
GLDN,7.0,3.5,0.5961119034049401
TMEM63A,7.0,3.921875,0.5952923731110907
DAAM2,7.0,3.181640625,0.5951787832145965
AQP1,7.0,2.71875,0.595067822626478
VWA1,7.0,3.521484375,0.5928127191979439
CMTM5,7.0,3.6875,0.5923080838861513
ANLN,7.0,3.521484375,0.5922828396875068
JAM3,7.0,3.451171875,0.59126225834212
TPPP3,7.0,3.310546875,0.5902695996624061
FGFR2,7.0,3.974609375,0.5893917794990524
GJB1,7.0,3.33984375,0.5880999623370315
LIPE,7.0,2.611328125,0.5879470748704475
SLC31A2,7.0,2.927734375,0.5877532878809375
PREX1,7.0,3.751953125,0.5874371773017041
ABCA2,7.0,3.21484375,0.5872048723712356
PRR18,7.0,3.357421875,0.58713953788496
MOBP,7.0,3.845703125,0.5857635717083405
UGT8,7.0,3.765625,0.5844272314412594
HHIP,7.0,2.748046875,0.5842108166624813
RNASE1,7.0,3.60546875,0.5811313993773854
GLTP,7.0,3.3984375,0.57978704745486
FGF1,7.0,3.27734375,0.5790989245644064
LINC00844,7.0,3.720703125,0.5785556141453312
OPALIN,7.0,4.03515625,0.5777804330219416
EVI2A,7.0,3.365234375,0.5755393604591134
EDIL3,7.0,3.62890625,0.5727766603017054
SOX8,7.0,3.521484375,0.5724716055997302
AC018647.1,7.0,2.810546875,0.5721442973165368
LHPP,7.0,3.990234375,0.5720838797997119
PHLDB1,7.0,3.560546875,0.5710880206515004
AIF1L,7.0,3.71484375,0.570900989005541
CA2,7.0,3.177734375,0.5704544253452828
SEMA4D,7.0,3.525390625,0.5686555301914725
GPIHBP1,7.0,2.6015625,0.5684543833731425
TSC22D4,7.0,3.125,0.5683147281821516
BOK,7.0,3.3515625,0.5678985667396678
GPR37,7.0,3.73828125,0.5674527904900722
MTUS1,7.0,3.3359375,0.566760223000339
GPRC5B,7.0,3.16015625,0.5639593981433659
LITAF,7.0,3.14453125,0.5638761766265666
RASSF2,7.0,3.66015625,0.5638625893539554
PIP4K2A,7.0,3.771484375,0.5631972433432787
CERS2,7.0,3.4296875,0.5629788517729749
LPAR1,7.0,3.076171875,0.5623654280350026
TMEM125,7.0,2.947265625,0.5619434877754003
RHOU,7.0,3.125,0.5612803813353373
C21orf91,7.0,2.373046875,0.5611899032886726
CLIC4,7.0,2.759765625,0.5610492172358161
HIPK2,7.0,2.88671875,0.559980229238985
MAP4K4,7.0,2.67578125,0.559058383010042
RNF130,7.0,3.201171875,0.5586504120449045
FOLH1,7.0,3.27734375,0.5567001172750292
RTKN,7.0,2.763671875,0.5566027150192344
SPP1,7.0,3.818359375,0.5564134952514812
GSN,7.0,3.57421875,0.5562830732766156
EFS,7.0,2.818359375,0.5544391712648924
ERBB3,7.0,3.259765625,0.5540487049074139
TP53INP2,7.0,2.986328125,0.5525438664213499
CDK18,7.0,3.419921875,0.5522763018266799
SUN2,7.0,3.42578125,0.5520679234875229
SOX10,7.0,3.087890625,0.5516100077307712
CBR1,7.0,3.29296875,0.5493575896768221
QKI,7.0,3.080078125,0.54816842107548
PAQR6,7.0,3.6015625,0.5477114002454071
SEPT4,7.0,3.2109375,0.5468051032307848
C1orf198,7.0,3.419921875,0.5453466774295989
AC092958.1,7.0,2.38671875,0.5431636258294205
SLC12A2,7.0,3.408203125,0.5417153112826821
PLEKHB1,7.0,3.052734375,0.5409877928873156
PLXNB1,7.0,2.904296875,0.5408946573715073
TSPAN15,7.0,2.47265625,0.5405035963297383
SMIM5,3.0,1.91748046875,0.5401085260199142
OLIG1,7.0,3.4375,0.5396195434147735
SIRT2,7.0,3.005859375,0.5389892747278118
SCD,7.0,2.625,0.5384660777499028
SLCO1A2,7.0,3.056640625,0.5384584507986724
SYNGR2,7.0,2.974609375,0.5382400884242159
SLC48A1,7.0,3.296875,0.5370773256552234
VAMP3,7.0,2.87890625,0.5369422724375988
DDR1,7.0,2.970703125,0.5368111230209335
TF,7.0,3.318359375,0.5366259041066685
CLDND1,7.0,3.455078125,0.5366104962056621
SEMA6A,7.0,2.62890625,0.5355227140367999
LIPA,7.0,3.22265625,0.5353823812267298
SPOCK3,7.0,3.037109375,0.5349609767887039
NINJ2,7.0,3.16015625,0.5339001214757741
CHADL,7.0,2.875,0.5328002847747354
PICALM,7.0,2.36328125,0.5321662828973216
MARCKSL1,7.0,2.77734375,0.5317193227832002
ADAMTS4,7.0,3.095703125,0.5312755798150692
DOCK5,7.0,2.68359375,0.5308185984273692
FMNL2,7.0,3.419921875,0.5292707788664953
ST18,7.0,2.55859375,0.5230738155732857
PCSK6,7.0,2.744140625,0.5224035113116345
APOD,7.0,2.875,0.522362778559104
FBXO7,7.0,2.66796875,0.5221696934560499
ZCCHC24,7.0,2.958984375,0.5218211325981222
LGALS3BP,7.0,2.7109375,0.5200456709014525
RHOG,7.0,2.87109375,0.5191786043048343
RNH1,7.0,3.037109375,0.5180304750827106
ZDHHC9,7.0,3.044921875,0.5170359483436634
S1PR5,7.0,2.66796875,0.5144118536785108
ABCA8,7.0,2.5703125,0.5143123084372426
OLIG2,7.0,2.841796875,0.5136992876146783
CYP27A1,7.0,2.572265625,0.5127494870901393
SYPL1,7.0,2.517578125,0.5116532769127811
COL4A5,7.0,2.87890625,0.5109539555861974
AMER2,7.0,3.22265625,0.510201972413237
ITPKB,7.0,2.291015625,0.5087315147968576
MTMR10,7.0,2.5078125,0.507502407842243
PXK,7.0,2.814453125,0.5071653581898505
CSRP1,7.0,2.85546875,0.5064795376902411
COL9A2,7.0,2.810546875,0.5060093414297246
SPARC,7.0,2.77734375,0.5052299022678887
CD82,7.0,2.47265625,0.5052045196209989
RNF13,7.0,2.84765625,0.5050618375370146
PACS2,7.0,2.8828125,0.5038504678998795
HEPACAM,7.0,3.255859375,0.5030522796019373
FAM222A,7.0,2.623046875,0.5024886679499597
LRP2,7.0,2.310546875,0.5022941348193373
COL9A3,7.0,2.607421875,0.50206837317954
PLEKHG3,7.0,2.8515625,0.501275596456298
FNBP1,7.0,2.947265625,0.5001252905401097
CFL2,7.0,3.15625,0.4999081398806321
SHTN1,7.0,3.181640625,0.49978356651046874
RGCC,7.0,3.16015625,0.49930309364942027
LLGL1,7.0,2.623046875,0.49920571121322505
REEP3,7.0,2.6328125,0.4986695050468315
SMIM6,7.0,1.8818359375,0.49829131682002803
DNAH17,7.0,2.32421875,0.49799890886716996
SLC5A11,7.0,2.556640625,0.49749286801813686
PDE8A,7.0,2.30859375,0.49710691775579047
DOCK10,7.0,2.658203125,0.497061053736564
PHGDH,7.0,2.50390625,0.4946667251373196
NPC1,7.0,2.6796875,0.49436249685101
AL162511.1,7.0,1.90234375,0.4943318638223084
USP54,7.0,2.556640625,0.493641882630949
HIP1R,7.0,2.513671875,0.4923798978880347
DMRT2,7.0,1.970703125,0.49107798722510887
PAQR8,7.0,2.73046875,0.4896227311039624
TESK2,7.0,2.021484375,0.489085315656
DNM2,7.0,2.650390625,0.48873207446709
NENF,7.0,2.63671875,0.48854614088591086
S100B,7.0,2.333984375,0.4883367612555335
AC093330.1,7.0,2.05859375,0.48828678892950383
ANKRD40,7.0,2.759765625,0.4880307643442463
SLC27A1,7.0,2.21875,0.4870269550149964
GPR62,7.0,2.400390625,0.48674744405490755
OTUD7B,7.0,2.2734375,0.486530809368011
PLPPR1,7.0,2.513671875,0.4862494872963995
EEF1D,7.0,2.615234375,0.4861290059810311
SH3TC2,7.0,1.908203125,0.4859238654424674
CA14,7.0,2.28125,0.48553147810877245
PAIP2B,7.0,2.513671875,0.48531665212690184
SEPT8,7.0,2.689453125,0.48531063847398404
AC009063.2,7.0,1.9248046875,0.48510596614145746
H3F3B,7.0,2.517578125,0.48264176477243576
CRYAB,7.0,2.3671875,0.48218541592660324
RDX,7.0,2.734375,0.4821660280762075
SPTLC2,7.0,2.40234375,0.48201986244385264
PTP4A2,7.0,2.5390625,0.4815524707119897
TJAP1,7.0,2.265625,0.48141904586173423
BACE1,7.0,2.943359375,0.4812169930749048
FOXN2,7.0,2.310546875,0.48088802937650976
CCNE2,7.0,1.939453125,0.47941160573590197
CNP,7.0,2.462890625,0.47900852034372077
RFTN2,7.0,2.447265625,0.4786918894788849
MYLK,7.0,2.484375,0.4778921560815092
ASPA,7.0,2.359375,0.4772288666912488
SREBF1,7.0,2.37890625,0.4763021560425068
WNK1,7.0,2.498046875,0.4761523792867266
SECISBP2L,7.0,2.66796875,0.47499936235278556
ADARB2-AS1,7.0,2.015625,0.4749756082217235
GOLGA7,7.0,2.412109375,0.47335511695217514
AATK,7.0,3.041015625,0.4732049598313377
ARHGAP23,7.0,2.650390625,0.4722727041497373
MYO1D,7.0,2.37890625,0.47187458054994436
SYNJ2,7.0,2.447265625,0.47159386717111446
LDB3,7.0,2.16015625,0.47157875696469775
FAXDC2,7.0,2.955078125,0.4710141283308675
CHST6,7.0,1.884765625,0.46945159762155025
GATM,7.0,2.5390625,0.46768944618340025
IPO13,7.0,2.810546875,0.4676495097352014
NEAT1,7.0,2.23828125,0.4675837114066764
SLC6A9,7.0,2.15625,0.4675299523855208
TXNIP,7.0,2.330078125,0.46725336925137706
ATP10B,7.0,1.916015625,0.46723854239043705
WIPF1,7.0,2.25,0.46694311096798197
TRIM59,7.0,2.228515625,0.46646754463394513
ANP32B,7.0,2.56640625,0.46641646014283683
JPT2,7.0,2.62890625,0.466012930550065
FEZ1,7.0,2.658203125,0.46418977657984334
KIAA0930,7.0,2.748046875,0.4641152785565237
PSEN1,7.0,2.51171875,0.46285149012431587
SNX22,7.0,2.056640625,0.46277658227843604
TMEM189,7.0,2.400390625,0.4626219225611032
HHATL,7.0,2.30078125,0.4618135218219836
RASGRP3,7.0,2.439453125,0.46052491543578766
TMBIM1,7.0,2.521484375,0.45930465262116243
AQP4,7.0,2.279296875,0.45896121546273216
DPYSL5,7.0,2.71875,0.45869201216972355
