Gene,Annotation,Median_GSS,PCC
AC007317.1,0.0,0.0,0.2117660429162973
MACROD2,0.0,0.0,0.20892648808648986
ZNF260,4.0,1.74365234375,0.20612660790700857
ANP32E,6.0,1.75439453125,0.20345386842409866
TSPAN15,2.0,1.7607421875,0.19903482176126872
MED20,1.0,1.771484375,0.1954114535122268
NFAT5,1.0,1.755859375,0.18618560170202467
AL136526.1,0.0,0.0,0.18565212419712313
ANO8,4.0,1.7421875,0.18554239557709626
TBKBP1,4.0,1.7421875,0.18473896423936986
CXorf40A,4.0,1.7421875,0.1836566982466702
LINC00304,0.0,0.0,0.18364687004225755
OPN4,0.0,0.0,0.18364687004225755
AL121985.1,0.0,0.0,0.18364687004225755
SPATA2,5.0,1.7392578125,0.18326340097484473
EXOSC5,4.0,1.7314453125,0.18312306275047588
CACNG8,0.0,0.0,0.18250266232605739
LINC02027,0.0,0.0,0.18250266232605739
IL12RB2,0.0,0.0,0.18247224710614562
WDR5B,0.0,0.0,0.1797224149892221
RBM4B,5.0,1.7451171875,0.17841562814866843
PCDHGB1,0.0,0.0,0.17835155358616372
MTHFSD,5.0,1.74658203125,0.17782586977308182
LINC01822,0.0,0.0,0.1775985635204455
AC004847.1,0.0,0.0,0.1775985635204455
TMEM150C,0.0,0.0,0.17613563689461914
CRIP3,1.0,1.74658203125,0.17536264679966584
GLYATL2,0.0,0.0,0.1752510804924581
LINC01213,0.0,0.0,0.17468492767463023
MIR378D2HG,0.0,0.0,0.17442504542527076
FAM171B,0.0,0.0,0.17364609862571678
TNFRSF13C,0.0,0.0,0.17351375876859074
TRIM66,0.0,0.0,0.17309362740565537
PAN3,0.0,1.7392578125,0.17280122379622856
HEMK1,0.0,1.7373046875,0.17274417736110864
SPNS2,4.0,1.7421875,0.17269619411069662
ELOVL2-AS1,0.0,0.0,0.1721611039303134
AC008625.1,0.0,0.0,0.17186600966898669
MYO10,1.0,1.75146484375,0.1711794864834122
AP000550.1,0.0,0.0,0.16945477875758644
ARHGAP26,4.0,1.7841796875,0.16922475547439128
AC099522.2,0.0,0.0,0.16880802710105944
HIST1H2BE,0.0,0.0,0.16859026606693264
HSD11B1L,5.0,1.8515625,0.1677722114223708
AC002480.2,0.0,0.0,0.1677409986791982
NDUFA6-DT,0.0,0.0,0.16682445392232134
TARS2,0.0,0.0,0.16680805825187112
DOK6,1.0,1.7275390625,0.16592067641458128
THOC1,5.0,1.80322265625,0.16583884872571886
HSPB7,1.0,1.7529296875,0.1656359225813332
LINC01719,1.0,1.783203125,0.16503141670737076
BRAF,1.0,1.81103515625,0.16472538097948888
PAQR8,5.0,0.8603515625,0.16469842590512973
NRAV,0.0,0.0,0.1635999816791137
CASP10,4.0,1.72509765625,0.16358586560298374
CYP2U1,5.0,1.7373046875,0.1630755949475379
AC091544.2,1.0,1.783203125,0.16258044587959494
CAD,0.0,1.7373046875,0.16248247685941375
GNPDA1,4.0,1.8740234375,0.16247130782775135
MAP2K4,5.0,1.75,0.16231876290883873
SRD5A1,0.0,0.0,0.1619148526760408
PDK1,0.0,1.76953125,0.16166974933929248
SFMBT1,4.0,1.7421875,0.16103271221858778
AC016588.2,0.0,0.0,0.16097454414955295
AC002094.4,0.0,0.0,0.1605636090053132
CA14,1.0,1.75,0.16038010812963496
MAPT,5.0,1.7451171875,0.15970584721538017
LDHC,0.0,0.0,0.15942536961797524
IQSEC2,1.0,1.755859375,0.15907739047020908
VRK1,2.0,1.734375,0.15900103882438568
