Gene,Annotation,Median_GSS,PCC
CACNA1C,6.0,1.90380859375,0.3707959663543782
AL121652.1,0.0,0.0,0.2811805535954074
LINC02371,0.0,0.0,0.27942023770487834
CLDN3,0.0,0.0,0.2659750160145708
FGF12,5.0,1.927734375,0.2650639255473227
HAL,0.0,0.0,0.26176818650925376
AC007193.3,0.0,0.0,0.2538729256419059
GNRH1,0.0,0.0,0.2487077305846681
AC009041.4,0.0,0.0,0.24762979477356387
AC006547.3,0.0,0.0,0.24727648666768504
EGOT,0.0,0.0,0.24672316179082412
AC011287.1,0.0,0.0,0.24463794856885607
AL031658.1,0.0,0.0,0.23904600047758076
AC010997.4,0.0,0.0,0.23597220640817612
AL117379.1,0.0,0.0,0.23355734214188784
SNORC,0.0,0.0,0.2334199925264398
AC233263.6,0.0,0.0,0.23123356125295277
MPP3,5.0,1.87841796875,0.22911849765374365
RBM24,1.0,1.9189453125,0.2283906076675316
CACNB2,1.0,1.8681640625,0.22793212100321397
FITM2,1.0,1.837890625,0.2276776685467704
RHOT2,1.0,1.7958984375,0.22658514424607412
RFX4,0.0,0.0,0.22642768327814014
SLC2A5,0.0,0.0,0.22478359060292818
AL162431.1,0.0,0.0,0.22460592489961315
RNF150,1.0,1.80615234375,0.22458452246255634
HACD1,5.0,1.88134765625,0.2245024805268647
S100A1,5.0,1.8681640625,0.22442725773554895
KCNH3,0.0,0.0,0.22323616883625438
KCNIP2,5.0,1.837890625,0.22267695347386426
CCDC85B,6.0,1.92333984375,0.21934728263615266
NDUFA8,1.0,1.96630859375,0.2191919707601366
AL807757.2,0.0,0.0,0.21859672861307047
DBNDD2,6.0,2.1767578125,0.2185408049849446
TTLL1,5.0,1.783203125,0.2175952199970129
M1AP,0.0,0.0,0.21345917232167083
LINC02649,0.0,0.0,0.21288826730488342
LRIG1,6.0,2.1328125,0.21248753373913368
AL049828.1,0.0,0.0,0.21207140166786106
ECPAS,6.0,1.91064453125,0.21206465615814793
AL139384.1,0.0,0.0,0.2116024229206033
HAR1A,0.0,0.0,0.21158258935165028
PTP4A3,6.0,2.17578125,0.21152083962540028
SMPX,0.0,1.9052734375,0.2110496703585044
AL031847.1,0.0,0.0,0.21039420902752098
HCG9,0.0,0.0,0.210145860743801
AC068790.3,0.0,0.0,0.20946449806395492
FKBP3,0.0,1.8017578125,0.20941731534790986
BFSP1,0.0,0.0,0.20932430017530324
AC068792.1,0.0,0.0,0.20911792568682191
OBSCN,1.0,1.91162109375,0.2081283622207599
GTF3C2,4.0,1.763671875,0.208096474397313
ALDOA,5.0,1.837890625,0.20807959452625072
SLC2A4,5.0,1.896484375,0.20789230678195295
SOX5,0.0,0.0,0.20698962480058386
MGST3,6.0,1.8349609375,0.20668450122237908
RGS6,1.0,1.76953125,0.2064861226728663
POPDC2,1.0,1.87548828125,0.20637299195747172
RAMP1,5.0,1.93359375,0.20595826550209378
MYH15,0.0,0.0,0.2059222646364495
FHL2,1.0,1.7587890625,0.205696626429687
DNAH10,0.0,0.0,0.20528592808734192
NDUFA6,5.0,1.798828125,0.20520996447817574
SNTG2-AS1,0.0,0.0,0.20517332635717817
SRRT,6.0,1.8125,0.2051177369624738
AC103591.3,5.0,1.763671875,0.20429943232225636
NDUFA12,5.0,1.83203125,0.20411863243860034
PERP,5.0,1.93505859375,0.203863164625449
GABARAPL1,1.0,1.8212890625,0.20287851493846287
PCDHGA3,0.0,0.0,0.20265842294397804
RBFOX1,1.0,1.8740234375,0.20169047185387579
CITED2,1.0,1.841796875,0.20080473508038854
RETREG1,1.0,1.9853515625,0.2006361457019518
MYLK3,1.0,1.88330078125,0.20045450491825165
MYCBP2-AS1,0.0,0.0,0.19970994209127205
SNTA1,5.0,1.8046875,0.19952834319280738
ZNF497,0.0,0.0,0.19915934062986623
LINC02468,0.0,0.0,0.1991277071082768
B3GAT2,0.0,0.0,0.19908989298727928
HCG27,0.0,0.0,0.1989110099024625
SUN1,6.0,1.87255859375,0.1988862333640545
AC005614.1,0.0,0.0,0.19888390618723822
PCDH7,1.0,1.8095703125,0.19832909677465832
AC018553.1,0.0,0.0,0.1979134357395623
SFXN4,5.0,1.798828125,0.19775632504198565
MSI2,1.0,1.83203125,0.19732527099278127
AC027117.1,0.0,0.0,0.19639701789364608
LMO7,0.0,1.8681640625,0.19635622582178114
ENDOG,5.0,1.81103515625,0.19611800681394803
AC099791.2,0.0,0.0,0.19603023789204235
PEBP4,5.0,1.8994140625,0.195851178694907
AC104463.2,0.0,0.0,0.19571716938971784
IL1RL1,0.0,0.0,0.1948371377890734
ARVCF,1.0,1.7958984375,0.19474335989995414
PCAT7,0.0,0.0,0.194740484375842
PDHA1,5.0,1.8603515625,0.1944695347376049
MPP4,0.0,0.0,0.1942995255748595
B3GALT2,1.0,1.8154296875,0.1938924540448469
LRRC66,0.0,0.0,0.19305550139415686
SMPD4,1.0,1.82763671875,0.1925842719139418
AC089999.2,0.0,0.0,0.19251736238693593
SEC16A,6.0,1.93505859375,0.19197960812605017
CYCS,0.0,1.87109375,0.19085639709140684
AL356489.2,0.0,0.0,0.1908451289572608
HIGD1A,6.0,1.94091796875,0.1900175078894198
PROB1,5.0,1.7802734375,0.18957659588678186
ALPK3,1.0,1.8349609375,0.18943412618078972
ZNF791,5.0,1.85888671875,0.18934682451804347
MRPS24,6.0,2.212890625,0.18902519524597908
CFAP58,0.0,0.0,0.1889237491924323
SORBS2,6.0,1.8427734375,0.1884491253162776
EIF1B,1.0,1.876953125,0.18826311195772508
PUS10,0.0,0.0,0.18825875848000792
FAM169A,1.0,1.7529296875,0.18793318095472317
SATB1,1.0,1.75,0.18791002542751353
TREX2,0.0,0.0,0.18748985445897054
SLC29A1,6.0,2.2587890625,0.18741462528970237
AIFM3,0.0,0.0,0.18708424527109327
GABRA4,5.0,1.9423828125,0.18701471206938938
PRKD1,2.0,1.7744140625,0.18687269932335437
SPHKAP,1.0,1.8017578125,0.18684487026785743
CCDC85C,5.0,1.783203125,0.186702946290048
AC120053.1,0.0,0.0,0.18658119412769145
AC116351.2,0.0,0.0,0.18645892617911025
SRL,1.0,1.86669921875,0.1860636213425657
PPP1R3B,0.0,1.7587890625,0.1859772394760584
TACC2,1.0,1.84716796875,0.1858878884548534
CNTN4,0.0,0.0,0.18565119747369652
NCEH1,1.0,1.84423828125,0.18556011363516986
RBBP7,6.0,2.0771484375,0.1854237034162834
ACADSB,5.0,1.78515625,0.18540029909947905
HSPA1A,6.0,1.9453125,0.18538695590878088
KALRN,6.0,2.017578125,0.1850776320547316
LINC02547,0.0,0.0,0.18491611551537918
GDF5,0.0,0.0,0.18491611551537918
AP002856.3,0.0,0.0,0.1848965958762134
AL731569.1,0.0,0.0,0.1846240003954091
CLP1,1.0,1.75,0.18460844281090222
C15orf41,1.0,1.8291015625,0.18459576797690425
RASL10B,2.0,1.7529296875,0.18418965410908614
DGKZ,2.0,1.755859375,0.18394676282090355
REXO2,6.0,2.119140625,0.18383841545704258
CASP5,0.0,0.0,0.18303384163696015
ADK,5.0,1.8603515625,0.18293793043769685
MYL12A,6.0,1.7880859375,0.18292167399841008
ZNF670,0.0,0.0,0.18284091472053743
TRIM63,1.0,1.908203125,0.18252885766771368
NCAM1,1.0,1.818359375,0.18252250054426514
NDUFAF5,1.0,1.7744140625,0.18238496100250484
NDUFV2,0.0,1.7666015625,0.18226028910975078
COX7C,0.0,1.734375,0.18213085124437492
ECI2,0.0,1.7705078125,0.18155111568436347
PSD3,1.0,1.78515625,0.18099711301786864
HS3ST3B1,5.0,1.77734375,0.18062885810840545
CATSPER2,0.0,0.0,0.1804679603035803
RPS10-NUDT3,0.0,0.0,0.1803976617435881
RNF207,1.0,1.77294921875,0.18005842091507368
LRRC37B,0.0,0.0,0.17996344567799996
PMPCB,6.0,2.0576171875,0.17939465769555937
TMEM182,1.0,1.9423828125,0.17937333284795623
ESRRA,1.0,1.791015625,0.17934442424500016
ROGDI,4.0,1.7421875,0.17911017899562226
TRIM55,0.0,1.75439453125,0.17896744917178226
DDX5,6.0,2.24609375,0.17888704104909914
PLCL2,5.0,1.794921875,0.17860189375185107
MPC1,0.0,1.8681640625,0.1782384542800887
WNK2,1.0,1.896484375,0.17810433414278382
MLF1,1.0,1.7939453125,0.17802804643485784
EXD3,0.0,1.734375,0.17782902707298304
AC091729.3,5.0,1.74658203125,0.1775401826876117
IRX3,1.0,1.9130859375,0.17747446031079664
PLXNA4,1.0,1.7607421875,0.17747048560810502
SPATS2L,0.0,1.771484375,0.17740048523566498
AC024361.1,0.0,0.0,0.17733401456205855
INTU,5.0,1.76953125,0.17721218920904616
MRPS18C,6.0,2.1767578125,0.17637334770831467
MYOM2,0.0,1.8017578125,0.17637079481454818
FNBP4,6.0,1.9052734375,0.17624454244311313
HSPB3,1.0,1.927734375,0.17610967464657826
LYNX1,6.0,1.8544921875,0.17587719881770583
SLC16A1,5.0,1.94384765625,0.17576512788873389
AC022034.3,1.0,1.7607421875,0.17575709103253084
AC079322.1,0.0,0.0,0.17575590045840242
ACTR1A,6.0,2.07421875,0.17565917703660816
AC009948.2,0.0,0.0,0.17552260094706448
BMP8B,5.0,1.76953125,0.17551130115811334
CXXC5,6.0,1.90771484375,0.1752150460269122
CPT1B,5.0,1.8603515625,0.1750878333361931
TRDN-AS1,0.0,1.92626953125,0.17491218736327516
PCDH17,1.0,1.759765625,0.17471040024185333
HSPB8,6.0,2.4375,0.1746841488730351
GOT2,5.0,1.87255859375,0.17460561309407524
DPY19L2,0.0,0.0,0.17436634788060262
ATP5F1C,0.0,1.8154296875,0.17434234334165966
ETFA,5.0,1.99560546875,0.17411134099961162
AC124947.1,0.0,0.0,0.17344181597397137
AC008467.1,0.0,0.0,0.17332207562614235
STX16,1.0,1.76953125,0.1731634271016687
SQSTM1,6.0,2.4560546875,0.17310158719499347
ZNF793-AS1,1.0,1.7666015625,0.17309973208857365
AC004839.2,0.0,0.0,0.17281533486088899
PPP2R3B,1.0,1.82421875,0.1726367126139368
RNF217-AS1,0.0,0.0,0.17233245887554738
