Gene,Annotation,Median_GSS,PCC
AC009166.5,0.0,0.0,0.27307768360932444
LINC00968,0.0,0.0,0.27307768360932444
DCSTAMP,0.0,0.0,0.27307768360932444
RP5-916L7.2,0.0,0.0,0.254042371620895
ZFHX3,0.0,0.0,0.2437486527158191
NKX3-1,0.0,0.0,0.23101401717779196
IL12A,0.0,0.0,0.23023093722832152
PEG10,0.0,0.0,0.22630341836719045
VLDLR,0.0,0.0,0.22617588535964903
SHANK1,0.0,0.0,0.22574109512696208
HOXD9,0.0,0.0,0.22093731061692393
CTD-2235H24.2,0.0,0.0,0.21911961330220048
ARL5C,0.0,0.0,0.21911961330220048
AIFM3,4.0,1.8681640625,0.2189806944976322
ADAM32,0.0,0.0,0.21327490796894316
EFNA3,0.0,0.0,0.21304535986117945
CPB1,0.0,0.0,0.2083045977264902
ZNF880,4.0,1.83203125,0.20824884972617175
RP11-664D1.1,0.0,0.0,0.20740542074115273
AC092580.4,4.0,1.8349609375,0.2054363256909359
RP11-143K11.1,0.0,0.0,0.20493399276690688
RP11-834C11.6,0.0,0.0,0.20338392046469106
PCDHGB1,0.0,0.0,0.20329910273437415
PARD6G,4.0,1.8212890625,0.20133427389032543
AC010090.1,0.0,0.0,0.2011714859241034
ANO4,0.0,0.0,0.20102504030861043
EXTL1,0.0,0.0,0.19960827316154628
RPL34-AS1,0.0,0.0,0.19868526107295373
AC098823.3,0.0,0.0,0.19837854122508555
CTC-261N6.2,0.0,0.0,0.19799133454346168
THSD7A,0.0,0.0,0.19749828304476752
RP11-513G11.3,0.0,0.0,0.1968577455139234
SEMA6D,4.0,1.87109375,0.19586057377133415
RP11-474P2.4,0.0,0.0,0.19520545640085502
C18orf56,5.0,1.86376953125,0.19326998580461263
PAQR3,2.0,1.759765625,0.1931274198192584
ACVR2B-AS1,0.0,0.0,0.19304454797148057
CTD-2263F21.1,0.0,0.0,0.19303807893434272
DUSP2,4.0,2.00390625,0.19257411503693833
RP5-827C21.6,0.0,0.0,0.19118191825043962
DCXR,2.0,1.720703125,0.19107789533581404
RP11-7I15.4,0.0,0.0,0.19101426563346474
RP1-92O14.3,0.0,0.0,0.19075683926315193
DLK1,0.0,0.0,0.190448956243941
MID2,5.0,1.88330078125,0.18995937596226378
RP11-178F10.2,0.0,0.0,0.18960840610960966
PLCB4,0.0,0.0,0.18953929654526108
CPA5,0.0,0.0,0.18857259097015622
C11orf63,0.0,0.0,0.18731164076768259
BIK,0.0,0.0,0.18647707144322995
TREM1,0.0,0.0,0.18637362480998723
RP11-758N13.1,0.0,0.0,0.18547362830120434
ROR1,0.0,0.0,0.18547362830120434
CTD-2616J11.11,0.0,0.0,0.18547362830120434
MRAP2,0.0,0.0,0.18516196804230528
RP11-290F5.2,0.0,0.0,0.18153785452318602
GDF6,0.0,0.0,0.18120883672008228
POU2F2,2.0,1.771484375,0.1798212003245593
UBASH3A,4.0,1.876953125,0.17969575818528769
ZIK1,0.0,0.0,0.1784244006419162
RP11-65J21.3,0.0,0.0,0.17836291497868614
IGLON5,0.0,0.0,0.17724149462105696
NMRK2,0.0,0.0,0.17674721258100765
L1CAM,0.0,0.0,0.17569540163840636
COX7A1,4.0,2.26953125,0.17518750251126985
CUBN,0.0,0.0,0.17516446194093135
RNF144A,4.0,1.76953125,0.17500099497672206
RAP2C-AS1,0.0,0.0,0.17385234336123717
C18orf54,0.0,0.0,0.17332484130718545
GREB1L,0.0,0.0,0.17261657572518355
TMEM65,0.0,0.0,0.17235669853814845
MAML3,0.0,0.0,0.17219546123964657
SIGLEC11,5.0,2.1171875,0.17197377261318517
IL17B,0.0,0.0,0.1708321173536762
FAM84A,0.0,0.0,0.17073224669656936
PTPN23,0.0,1.7451171875,0.1702267396716127
LTC4S,4.0,1.9453125,0.17009932717251233
RP11-15L13.4,0.0,0.0,0.1696809103553704
OTUD1,0.0,0.0,0.1690875443767064
CTD-2154B17.4,0.0,0.0,0.1685046557236067
C19orf38,5.0,1.81396484375,0.16830357083672637
SCN11A,0.0,0.0,0.16770969931348648
PDLIM4,4.0,1.93359375,0.16728394480202913
RP11-589P10.5,0.0,0.0,0.16700548684437455
SIGLEC15,0.0,0.0,0.16695639017968802
ARHGEF7,3.0,1.76953125,0.16670622039219915
RP13-379O24.3,0.0,0.0,0.16660084844835282
RP3-333H23.8,0.0,0.0,0.16541131108540166
RP3-522D1.1,0.0,0.0,0.1648348173726898
RBM43,0.0,0.0,0.1647526508081515
ZNF823,2.0,1.7607421875,0.1639300825792022
RP11-1008C21.1,0.0,0.0,0.1632445521876752
CHM,0.0,0.0,0.16320729858435906
TNFSF9,0.0,0.0,0.1630052903633062
CEP89,0.0,0.0,0.16255601744609358
RP11-297C4.3,0.0,0.0,0.16232123376448712
ZP3,0.0,0.0,0.16213349764522667
NXPE3,2.0,0.8603515625,0.16190327363093004
HOXA10,0.0,0.0,0.16158511017667682
ZIC4,0.0,0.0,0.16158511017667682
EID3,0.0,0.0,0.16069759483320348
TUBB4A,0.0,0.0,0.16032272150148716
MMP28,4.0,1.9189453125,0.1601294832118406
TRAT1,0.0,0.0,0.15948682895554242
CCDC134,0.0,0.0,0.15853550149488435
RP11-334J6.6,0.0,0.0,0.1578779027894779
APOBEC3C,4.0,1.916015625,0.15780741579725827
HDGFRP3,4.0,1.783203125,0.15777637790314805
NRP2,2.0,1.74365234375,0.15757692529080533
MIER2,0.0,1.7314453125,0.15745052820356586
FBXL8,4.0,1.8544921875,0.15721502669026044
ZNF726,0.0,0.0,0.15716753614379786
GNB4,0.0,0.0,0.15647496379795436
UBAC2-AS1,0.0,0.0,0.15563140526384353
RP11-863P13.2,0.0,0.0,0.15556568774651555
FRMD3,0.0,0.0,0.1554631318235059
TMEM257,0.0,0.0,0.15542045581391958
FAM195B,0.0,0.0,0.15539620864959847
RBM4,0.0,0.0,0.1553842056355239
TP53I3,4.0,1.83203125,0.15526726752259465
RP11-710C12.1,0.0,0.0,0.15506290492127672
SASH3,4.0,1.9306640625,0.15453983927850512
RP3-412A9.16,0.0,0.0,0.15441718129117005
FRZB,4.0,2.03515625,0.1543042855078561
ADAMTS15,4.0,1.8515625,0.15405810915402285
MPP2,0.0,0.0,0.15385720431629424
CTD-3193K9.4,0.0,0.0,0.15346711485765172
KCNK2,0.0,0.0,0.15346711485765172
EDC4,0.0,0.0,0.15330971515848962
BEST1,4.0,1.83203125,0.15310062709563052
TC2N,4.0,1.755859375,0.15219377322860844
CD34,4.0,2.0703125,0.15199586068587972
RP11-650P15.1,0.0,0.0,0.15176354246855564
FBXL18,0.0,0.0,0.15163015109387723
