Gene,Annotation,Median_GSS,PCC
TFAP2E,0.0,0.0,0.38070208296971264
RP11-61J19.4,0.0,0.0,0.35674137683951296
TMEM108,0.0,0.0,0.3524126936555619
RP11-498P14.5,0.0,0.0,0.35145412069814835
RP11-37N22.1,0.0,0.0,0.32561057177776787
ANO2,0.0,0.0,0.32561057177776787
AC003102.3,0.0,0.0,0.3217947272142004
S100A5,0.0,0.0,0.3217947272142004
GRIK3,0.0,0.0,0.31473385945201693
BNC1,0.0,0.0,0.31473385945201693
NCR1,0.0,0.0,0.31426107168143125
SPOCD1,0.0,0.0,0.3098219082042592
ANKRD1,0.0,0.0,0.3076154536743914
LINC00959,0.0,0.0,0.29859218169540014
AC012309.5,0.0,0.0,0.2969077778555286
RP11-307C18.1,0.0,0.0,0.29570927711129347
RP11-154H23.3,0.0,0.0,0.29377704269823307
PRAMEF4,0.0,0.0,0.29377704269823307
EPS8L1,4.0,1.7802734375,0.2903447913897781
MUC16,0.0,0.0,0.28873991941884475
LSAMP,4.0,1.798828125,0.2879332704382647
FAM101A,0.0,0.0,0.2850160047117381
TSPAN14,3.0,1.7607421875,0.2831687485719076
TP53TG5,0.0,0.0,0.2825452009908519
C20orf144,0.0,0.0,0.2821058983941854
RP11-87C12.5,0.0,0.0,0.28026644473057577
ADD2,0.0,0.0,0.2774110147932339
RP11-857B24.5,0.0,0.0,0.2768167737863294
AC004593.3,0.0,0.0,0.27328218766158385
RP11-1399P15.1,0.0,0.0,0.2727498924014213
RP11-1072C15.4,0.0,0.0,0.27231645974421825
TNFSF9,0.0,0.0,0.2722503596256902
BANK1,0.0,0.0,0.2678161259334782
SV2B,0.0,0.0,0.2676313071322099
JADE2,4.0,1.953125,0.2670555738210309
NPPA,0.0,0.0,0.2661385501889414
RP11-973H7.4,0.0,0.0,0.2661385501889414
CTD-2521M24.5,0.0,0.0,0.2657198647040111
MRVI1-AS1,0.0,0.0,0.2656258128416062
B3GNT8,0.0,0.0,0.2638698519686319
CMTM5,0.0,0.0,0.26195531126336563
RP11-797D24.3,0.0,0.0,0.26187545089438763
ARRDC5,0.0,0.0,0.26144257533684173
ST18,0.0,0.0,0.26144257533684173
ECEL1,0.0,0.0,0.2598805959570383
HCG23,0.0,0.0,0.2598805959570383
RP11-303E16.6,0.0,0.0,0.2595227196312149
AC005152.3,0.0,0.0,0.25862797175168795
ZNF571-AS1,0.0,0.0,0.2577928544687752
TBCB,3.0,1.8818359375,0.25767871817921384
SURF2,4.0,1.921875,0.2570410250655807
GLRA4,0.0,0.0,0.25638062631383524
RP1-102D24.5,0.0,0.0,0.25638062631383524
LINGO3,0.0,0.0,0.25638062631383524
CACNA1C-AS1,0.0,0.0,0.25638062631383524
FLRT1,0.0,0.0,0.25638062631383524
RYR1,0.0,0.0,0.255963339783392
MTMR7,0.0,0.0,0.25403342586330524
RP11-510H23.1,0.0,0.0,0.2531924039152934
RP11-89K11.1,0.0,0.0,0.2513744937133625
RP11-342I1.2,0.0,0.0,0.2511637177237226
TRAT1,0.0,0.0,0.25096214961320185
THSD7A,0.0,0.0,0.2507004439237953
NEIL3,0.0,0.0,0.2504447509064325
RNASE3,0.0,0.0,0.2494319720019525
C3orf70,0.0,0.0,0.24862062243508568
RP11-1379J22.5,0.0,0.0,0.24834320402277577
CORO2B,4.0,1.7666015625,0.24798722640522447
TREM2,0.0,0.0,0.24634858186355058
COLEC11,3.0,1.8994140625,0.24601839577260895
FAM27E3,0.0,0.0,0.24590115549955233
RP11-386G11.5,0.0,0.0,0.24571048431375295
RP11-107N15.1,0.0,0.0,0.24484979553496047
CACNA1C,4.0,1.876953125,0.2439926646567937
IGFBP7-AS1,0.0,0.0,0.2428258228763713
RP11-451M19.3,0.0,0.0,0.24032211295851613
KCNK17,3.0,1.7841796875,0.2403210476411554
SCMH1,0.0,0.0,0.24012130046287014
LEFTY2,0.0,0.0,0.23857275678613418
NBPF3,0.0,0.0,0.23842144425166753
GDF10,0.0,0.0,0.23755769142835076
TMEM257,0.0,0.0,0.23752793703879263
RBMS3,2.0,1.7802734375,0.23715737562395706
CYP4B1,0.0,0.0,0.23672183058008825
ZNF385D,0.0,0.0,0.2355917830450846
AK5,0.0,0.0,0.2355917830450846
ZBTB20-AS2,0.0,0.0,0.23507664114706447
PCOLCE-AS1,0.0,0.0,0.23468611559620434
SEC22C,4.0,1.8349609375,0.23428389615473275
RP11-346I3.4,0.0,0.0,0.23413958664434903
CNTD1,0.0,0.0,0.23378339773591902
RP11-693J15.5,0.0,0.0,0.23355268761428008
LIF,0.0,0.0,0.23345815752124385
PLA2G4A,0.0,0.0,0.23328137215809028
HAPLN2,0.0,0.0,0.23299647624588268
C15orf39,4.0,1.953125,0.23271695132019543
EFS,4.0,1.76953125,0.23256922601359264
AC004019.13,0.0,0.0,0.23230448347766758
HOXD9,0.0,0.0,0.23179740798127435
PLVAP,4.0,1.9248046875,0.2316832239489681
TRAF1,0.0,0.0,0.23112184769610103
FAM65A,5.0,1.86279296875,0.23099441162545906
DOCK2,4.0,1.9189453125,0.2307769020918963
C18orf54,0.0,0.0,0.23066377783575828
TFAP2A-AS1,0.0,0.0,0.2305012848539666
CYBA,4.0,2.033203125,0.2300516960404907
