Gene,Annotation,Median_GSS,PCC
KLHDC3,8,2.146484375,0.705547272100795
SULT4A1,15,2.015625,0.6956125642863551
CLSTN3,11,2.033203125,0.6829084979290507
GOT1,8,1.9677734375,0.678884139404668
FGF12,9,2.2998046875,0.6787999811028466
HABP4,12,2.21484375,0.6741604943749526
CEND1,10,1.93359375,0.6696782809632584
SYT13,15,2.255859375,0.6681129485011555
TRIM32,8,2.1240234375,0.6675240788015171
SNRPN,16,1.7373046875,0.6663596598103015
KIFAP3,16,1.994140625,0.6642865851370805
DNAJC6,15,2.134765625,0.6634860277040523
AKAP6,16,2.205078125,0.6618723763178729
SNAP91,15,2.046875,0.6607216321079576
GPR162,3,2.08984375,0.6587694702022524
MAP2K4,15,2.40234375,0.6574197934550299
MAPK9,12,2.234375,0.6573321945485971
RNF14,5,1.9365234375,0.6567903971721037
OXR1,10,2.181640625,0.6559688102827049
HPRT1,12,2.15234375,0.6514987479257377
NDFIP1,9,1.755859375,0.6508501961106478
HSPH1,8,2.02734375,0.6486155864602009
MLLT11,15,1.9423828125,0.6484295635778287
DNAJC5,15,1.9736328125,0.6483245234943286
CKMT1B,5,2.0859375,0.6476917616786417
ATP6V1H,5,2.162109375,0.6476885923148635
PFKP,8,2.18359375,0.6467979818151708
PCBP3,16,2.3671875,0.6443479218747882
EFR3A,15,2.759765625,0.6437863214512287
NAP1L2,12,2.435546875,0.6432974809442085
CNTN1,3,1.8818359375,0.6418766323329055
TSPYL1,16,2.0703125,0.6403330950369298
PGAM1,15,1.763671875,0.639823012423348
RANGAP1,12,1.9970703125,0.6375991983835457
SLC12A5,9,2.02734375,0.6372300295094269
SEMA6B,16,2.5078125,0.6358391340708003
SYNGR1,5,1.9619140625,0.6352829319593681
COPS7A,15,2.24609375,0.6339615630019149
TCF25,10,1.7666015625,0.6338820659228624
SH3GL2,15,2.044921875,0.6338294583734062
MDH1,5,1.75,0.6331930388752124
ACTR1B,9,2.130859375,0.6322958122415759
NARS1,15,2.0234375,0.63153062100792
IGSF21,8,4.44921875,0.6314969698976931
TTC3,12,1.7587890625,0.6311348451271509
USP14,15,2.197265625,0.6296971428826238
NECAP1,16,2.328125,0.6294768957920446
VDAC1,16,1.8291015625,0.6294256184627568
PPM1A,12,1.921875,0.6283584329898219
AP2B1,16,2.279296875,0.6282599811306843
HERC1,15,2.310546875,0.6276134650907695
ATP6V1C1,15,1.9912109375,0.627439365804578
ABCA3,15,2.484375,0.6264099210659547
GLS,15,2.234375,0.6263244327169458
MYO5A,3,2.041015625,0.6260953403662829
ARMCX1,15,2.494140625,0.6255184463661279
NAPG,15,2.37890625,0.6253306057899344
NKIRAS1,16,2.24609375,0.6251259110961297
OLA1,16,2.51171875,0.6248704051128816
PITPNA,15,1.9248046875,0.6238421854168591
OCIAD1,16,1.9423828125,0.6237518824113353
GOT2,16,1.9501953125,0.6237340478571578
MAPK8IP2,15,2.056640625,0.6236488674801174
TUBB3,10,1.857421875,0.6234780315128801
PPME1,8,2.0966796875,0.6231395183961677
AP3D1,16,2.34375,0.6230285673931408
G3BP2,12,1.9560546875,0.6223774561172506
DYNLT3,15,2.36328125,0.6211298130099059
COPG1,12,2.02734375,0.62073620721956
FLYWCH1,12,1.9423828125,0.6207283132157719
GABBR1,16,1.77734375,0.6206933933765063
SYN1,9,1.8603515625,0.6206722597256514
PPP5C,16,2.259765625,0.6200726693188422
OGFRL1,3,2.2734375,0.619866181490765
SYNJ1,15,1.9853515625,0.6196783700737856
KIAA1217,10,3.572265625,0.6189522131005389
NCOA7,16,2.470703125,0.6188607886490635
INA,3,2.26953125,0.6187906763841242
HERC2,16,2.34375,0.6187469325902333
WDR47,15,2.736328125,0.618587412516308
MARK4,16,2.625,0.6183855586750951
SLC25A12,15,2.298828125,0.6179541863113867
RUFY3,12,1.9765625,0.6174817719946325
SUCLA2,15,2.25,0.6174205718959609
MYL12B,16,1.8125,0.6172983915717001
IDH3A,15,2.056640625,0.6168013934865199
WDR7,15,2.5,0.6164590825970979
SLC7A8,15,3.009765625,0.6162282234552804
HSPBP1,16,2.4296875,0.6161781570209971
RNF112,15,2.607421875,0.6157849062641678
KLHDC2,16,2.36328125,0.6157626225539261
TSPYL4,10,1.91455078125,0.6151425479744206
PTPN5,13,2.654296875,0.614506158438503
DNAJA2,16,2.05078125,0.6142340162354804
MADD,15,2.435546875,0.6141829141778415
RNF11,15,1.91015625,0.6140477309633473
REPS2,16,2.6015625,0.6138591190578715
GABBR2,3,2.146484375,0.6138023780636984
INPP4A,8,2.298828125,0.6137772820082293
HIGD1A,15,1.970703125,0.6130828434617077
NSG1,13,1.9619140625,0.6127336721782651
CEP170B,10,2.166015625,0.6122622434389816
BMERB1,3,1.9365234375,0.6120828364556977
SRPK2,9,2.09765625,0.6119808878893689
C12orf43,12,2.181640625,0.6115936293329834
RETREG2,16,1.9853515625,0.6115816242819453
ARHGAP44,10,2.48046875,0.6115675481608099
NUDT18,15,2.517578125,0.6105781270969342
CRMP1,16,2.53515625,0.6104912827157923
AGTPBP1,15,2.53125,0.6103427494307154
HSPA8,3,1.720703125,0.609969982861694
DMXL2,16,2.625,0.6092211854949722
ELAVL4,5,2.400390625,0.6091926115547094
PDHB,16,2.265625,0.6086327269545463
HP1BP3,16,2.205078125,0.6081864611022313
GNG2,15,2.263671875,0.608084515510778
LZTR1,16,2.513671875,0.6077664606885289
PCLO,15,2.34375,0.6074067480903304
ASNS,16,2.470703125,0.6070459755629726
SCN2B,10,2.171875,0.6069432397958008
UBE2V2,12,2.259765625,0.6068368133251906
GDI1,12,1.8076171875,0.6063424724387061
ATRNL1,10,2.525390625,0.6062924236260021
ARHGEF9,16,2.2890625,0.6057467310816173
PGK1,15,1.791015625,0.6056309365567839
EIF4G3,9,2.017578125,0.605600582121319
ATG16L1,15,2.458984375,0.605266969721196
STK32C,8,2.740234375,0.6051888443147565
BEND6,12,2.3046875,0.6046920332294491
ZMIZ2,8,2.056640625,0.6042173771398052
