Gene,Annotation,Median_GSS,PCC
MCAM,2,4.84765625,0.6369820221795922
PADI2,2,4.958984375,0.6230084542432891
NMRAL1,2,4.77734375,0.6148923867885416
ADSS1,2,4.77734375,0.6114527833960784
TPT1,2,1.720703125,0.6104440899701301
ELOVL1,2,5.21484375,0.6099348106140554
SHISA8,2,3.6298828125,0.6070085925164119
PLEKHG3,2,4.578125,0.6049494051344918
FRMD8,2,5.578125,0.6046610731039339
CD82,2,5.46875,0.5987670693122222
GJC2,2,6.11328125,0.5950196559794774
TMEM98,2,4.1484375,0.5831052419326389
ARRDC3,2,4.171875,0.5810968655112845
CARD19,2,3.771484375,0.5809537563659026
NPC1,2,3.728515625,0.5778443848704615
GAL3ST1,2,4.994140625,0.5777400940220518
GSN,2,3.751953125,0.5740080204414397
C4A,2,4.02734375,0.5732053970788453
GAB1,2,4.85546875,0.5712309156335282
TPRN,2,5.08984375,0.5702193610805033
SLAIN1,2,3.64453125,0.569386168375777
ENPP6,2,4.607421875,0.5677758360515683
ARPC1B,2,3.9296875,0.5673981344847481
SEMA4D,2,4.337890625,0.5672508486976343
FOXJ1,2,2.7890625,0.5659074533785103
SEC14L5,2,3.9296875,0.565604625093625
ADAMTS4,2,3.9150390625,0.5649030164215447
SYNGR2,2,3.5859375,0.5594442349715942
ARHGEF10,2,4.947265625,0.5591693171552695
TSPAN15,2,4.310546875,0.5584943040670932
ANLN,2,5.361328125,0.5560216842532687
SORBS3,2,3.3125,0.5556647765188147
EVI2A,2,5.2578125,0.5542526662469903
RFFL,2,3.802734375,0.5542424268199417
TNFAIP6,2,5.63671875,0.5540965696755067
PLCL1,2,3.751953125,0.5539200499702737
CDC42EP2,2,4.69921875,0.5538611546083791
VAMP3,2,3.7177734375,0.553558753918402
PLIN3,2,3.646484375,0.5523447174486373
PLEKHH1,2,5.861328125,0.5521458926687298
FAM234A,2,3.765625,0.55136929027916
TMEM63A,2,5.3046875,0.5503142388870127
LITAF,2,5.52734375,0.5492864392596034
CARHSP1,2,4.51171875,0.5485912216733023
LPAR1,2,5.400390625,0.5477176074481397
TRIM59,2,5.017578125,0.5474342023034549
INSC,2,3.3623046875,0.5462534346996463
TTYH2,2,5.3515625,0.5457429955289509
ERBB3,2,4.06640625,0.5451457908843046
ANKRD13A,2,3.216796875,0.5444448758524446
TMEM125,2,5.265625,0.5429797731402934
REEP3,2,3.630859375,0.5422880287224714
ERMP1,2,3.359375,0.5422079109295594
JAM3,2,4.58203125,0.5416286105418148
HAPLN2,2,5.52734375,0.5399453231765753
FGFR2,2,4.91796875,0.5397335634566744
ITGB4,2,4.853515625,0.5391623940100665
ARRDC2,2,2.8447265625,0.5384805572678429
B3GNT9,2,3.1328125,0.5382770173746758
HHIP,2,3.619140625,0.5376096346856438
NIPAL4,2,3.271484375,0.5368546311793725
GJB1,2,6.2421875,0.5366742346412462
GPR62,2,4.67578125,0.5364731539514562
GALNT6,2,4.517578125,0.5362921295943655
NDE1,2,3.41015625,0.5361408029653326
RFTN1,2,3.4296875,0.5360970607938442
STXBP3,2,3.494140625,0.5358142407557034
PLXNB3,2,4.248046875,0.535701907250799
SPART,2,3.4619140625,0.5347805184957402
FA2H,2,5.189453125,0.5347632686678558
MICALL1,2,4.095703125,0.5343331840224387
CERS2,2,4.1171875,0.5338649337339503
CTSZ,8,2.44140625,0.5336853852143597
NINJ2,2,3.80859375,0.533598273776764
ENPP4,2,3.615234375,0.5330707151439883
ST6GALNAC3,2,3.00390625,0.5322288139911963
GFAP,2,4.552734375,0.5319611690509644
PTPDC1,2,3.115234375,0.5319096490050842
RNF122,2,3.34375,0.531274275117253
ASPA,2,5.77734375,0.5307488713443214
MAP4K4,2,3.5234375,0.5303983155438788
PDLIM2,2,5.0,0.5262390564826421
MYRF,2,5.58203125,0.5261314072130866
INPPL1,2,2.7080078125,0.525776911974986
YBX3,2,3.2119140625,0.5238877558052323
DOCK10,2,4.310546875,0.5229574791187359
SOX10,2,5.23046875,0.5228856548989862
PCSK6,2,3.005859375,0.5221743583610395
PRR5L,2,4.0048828125,0.5219283082442133
AIF1L,2,3.619140625,0.5218160810039846
SULF2,15,3.23828125,0.5191450995179528
ELOVL7,2,3.6875,0.51849735567135
PDE8A,2,4.646484375,0.5182664108881059
PSAT1,2,3.21484375,0.5177083595979423
UNC5B,2,5.34765625,0.5174876544725624
FRMD4B,2,3.11328125,0.5171304349795899
KCNK13,2,4.26953125,0.5169657286650363
CPM,2,3.62890625,0.5169420076706835
FBXO32,2,3.091796875,0.5165204154633821
ITGB1,14,3.197265625,0.5161026638404861
TMBIM1,2,4.130859375,0.5160671836123522
ARSG,2,4.7265625,0.5157199297879083
AGPAT4,2,3.259765625,0.5152967195888886
ACTB,2,1.720703125,0.5150720642948072
PHLDB1,2,4.16796875,0.5147136495093094
SGK2,2,3.001953125,0.5138459131907583
CA14,2,5.123046875,0.5123783503267624
GAMT,2,4.001953125,0.5109235057359555
CCDC13,2,3.3037109375,0.5108967751550445
TMEM123,2,3.185546875,0.5099937912866582
TNNI1,2,3.9072265625,0.5098869922900096
MYO1D,2,4.08203125,0.5097526291296177
CPOX,2,3.990234375,0.5092945691371533
CSF1,2,2.935546875,0.5090362110614206
XAF1,2,2.599609375,0.5086707543153046
S1PR5,2,5.16015625,0.5081093397901189
RHOG,2,5.07421875,0.5072853526192906
UGT8,2,4.9453125,0.5067241404586214
PPP1R14A,2,4.1484375,0.5065162357128855
PRR18,2,4.98046875,0.5061730817486734
RSU1,2,3.013671875,0.5061368250016176
ST18,2,3.064453125,0.505861357962764
ADO,2,3.404296875,0.5058565567491329
PRRG1,2,3.552734375,0.5046391615252198
BMP2K,2,3.15625,0.5037269542782906
PLAAT3,2,3.5,0.5033059364912478
SMCO3,2,3.552734375,0.5032347924553541
GLTP,2,4.7578125,0.5031813202952922
SLC44A1,2,3.71484375,0.5012544289837507
GJC3,2,5.12109375,0.5010787613122013
PLEKHA2,2,2.56640625,0.5003674283972569
MIF4GD,2,2.779296875,0.4992376709593037
MYO1E,2,2.623046875,0.4987067109637619
CNTN2,2,3.9697265625,0.49844031394938226
OPALIN,2,4.201171875,0.4981505999099417
FAH,2,3.046875,0.49576935541037487
NIPA1,2,3.1171875,0.49565127049847435
