Gene,Annotation,Median_GSS,PCC
DLG3,16,2.814453125,0.8303124984024041
GFRA4,15,3.267578125,0.8282747399825806
B4GALNT1,16,2.904296875,0.8176579158387105
CAP2,16,2.650390625,0.8173083251235493
MAPK14,16,2.765625,0.8131494994268798
SLC4A10,8,2.568359375,0.8103003381141738
DMXL2,16,2.625,0.8086673098123482
SLC39A10,7,2.576171875,0.8058871793208142
MAL2,16,2.76953125,0.804266098615994
CNRIP1,15,3.21484375,0.8039757547794248
DOCK3,8,2.4970703125,0.8027123283801342
LARGE1,16,3.025390625,0.8020134000454262
FAM171A2,16,3.087890625,0.8002470782912993
LRP11,16,2.623046875,0.7996245754117801
MYT1L,16,2.453125,0.7995340613142914
ACTL6B,16,2.87890625,0.7987450373663239
FABP3,16,2.181640625,0.7972287300261547
MEF2D,16,2.484375,0.7964146073835695
PPP2R2B,12,2.32421875,0.7949947170892615
EIPR1,5,2.470703125,0.7945186397420484
ARHGEF9,16,2.2890625,0.7935933833700758
PARP6,16,2.494140625,0.7930707166540951
MMP17,15,3.4296875,0.7921030248698815
BTBD10,16,2.943359375,0.7919833797402501
MRTFB,16,2.50390625,0.7914580364629153
RIMBP2,15,3.173828125,0.7913005079168307
LANCL2,11,2.583984375,0.7905178254314782
PHF24,9,2.587890625,0.7898299382404994
MADD,15,2.435546875,0.7897173509495071
ATL1,16,2.43359375,0.7879494121427972
STXBP5,16,3.177734375,0.7869180169224521
ANKRD34A,16,2.587890625,0.7866023948966283
LANCL1,16,2.193359375,0.7864972384319169
OLA1,16,2.51171875,0.7855563087874825
ST3GAL5,8,2.44921875,0.7850846896284218
RAB15,15,3.11328125,0.7845658851915737
BAP1,16,2.357421875,0.7841422046051221
VOPP1,8,2.6884765625,0.783720007135098
WDR47,15,2.736328125,0.7837152082514662
SYT16,16,3.3828125,0.7832176782021797
CYP46A1,7,2.25390625,0.7827302893358103
PPP1R9A,13,2.318359375,0.782232513379627
SLITRK1,7,2.87890625,0.7818716218465261
ERC2,15,3.50390625,0.7811225858836509
KLHDC3,8,2.146484375,0.7795149192811285
STK32C,8,2.740234375,0.7789792784783904
SPRN,16,2.955078125,0.7787690733506044
STRN4,16,2.3203125,0.7781710207933631
UNC13A,16,3.029296875,0.7781278254330866
RNF112,15,2.607421875,0.7780346698201198
GPRIN1,16,3.001953125,0.7768973859974417
KIAA1549L,9,3.080078125,0.7767275915981307
ACTR3B,16,3.251953125,0.7766096180981706
KCNQ2,15,2.400390625,0.7761153758208026
ZDHHC8,9,2.56640625,0.7760557967193444
EPHX4,16,3.802734375,0.7759593009802082
SVOP,15,2.59765625,0.7759292916136724
CDK17,16,2.890625,0.7755122075174454
SCN2A,9,2.205078125,0.7754034780924502
GUCY1B1,13,2.76171875,0.7742886378649723
PIK3R2,16,2.66796875,0.7741250506065201
SLMAP,16,2.837890625,0.7739930613792638
ACVR1B,16,2.744140625,0.773535423101163
SLC25A22,15,2.6015625,0.7734205469827405
BRINP1,15,2.6640625,0.7732293022762325
ACAP3,16,2.833984375,0.7731188997017407
TMEM198,16,3.177734375,0.7730504925615256
ENSA,16,2.02734375,0.7728557288259679
TMEM121B,16,4.1328125,0.7711825650476615
CORO1A,16,2.556640625,0.7706456820836272
TMEM240,16,2.41015625,0.7703930306561316
MTFP1,12,2.640625,0.7703133432234265
PLPPR2,16,2.625,0.7698180329507714
PLPPR4,16,2.5625,0.7696591519389975
CALM2,16,1.7236328125,0.7694579696049111
AK5,15,3.068359375,0.7683445263181242
TMEM38A,16,2.466796875,0.7680421675029593
RNF44,16,2.439453125,0.7676442734865146
MRTFA,16,4.0625,0.7675908710061156
NAT14,16,2.84765625,0.7667079794360134
LRRC4C,9,2.787109375,0.7664717270622305
CACNG3,7,3.54296875,0.7663456506077856
HERC3,16,2.841796875,0.7663039671998791
SNX10,15,2.458984375,0.7656649079993383
UNC5A,16,3.751953125,0.7652793284466907
CAMSAP2,15,2.416015625,0.765081433825732
RPUSD1,12,3.021484375,0.7636241552541866
CELSR2,16,2.373046875,0.7631210583258314
PORCN,16,3.091796875,0.7625894263756398
NOL4,9,3.01171875,0.7621892130082057
TUSC3,12,2.552734375,0.7617815816009882
ABI2,16,2.30859375,0.7616334988741769
AJM1,16,3.189453125,0.7611793424508965
ASTN1,11,2.197265625,0.7608522130735764
SLITRK5,16,3.826171875,0.7605234056780021
PTEN,9,2.337890625,0.7603816528117241
MAPK10,16,2.18359375,0.7594141023832144
NHP2,16,2.556640625,0.7584824220541381
GPD1L,16,2.87890625,0.7582546481677164
FBXO41,15,2.68359375,0.7579777376846875
DMTN,7,2.16015625,0.7578458532184916
ACTR1B,9,2.130859375,0.7577035873976183
CACNA1E,16,3.56640625,0.757470579849565
ALDOA,8,1.7236328125,0.7574049108210325
OGT,16,2.484375,0.7572622983014548
GNAZ,5,2.3203125,0.7570004595011025
R3HDM1,9,2.568359375,0.7564212868221885
BRINP2,15,2.8515625,0.7563946026907113
PACS1,16,2.615234375,0.7563686929687533
KPNA1,16,2.619140625,0.7563154503313692
TRIM32,8,2.1240234375,0.755803837063007
MAT2B,16,2.5078125,0.7553742797972061
PIP4K2C,15,3.5703125,0.7553245022548235
EXTL1,16,3.60546875,0.7552412515648617
LZTS3,16,3.326171875,0.7547171906209238
ATG16L1,15,2.458984375,0.7543565067990775
CAMKK2,9,3.068359375,0.7540963065466285
ROCK2,16,2.32421875,0.7540288017993019
FGF12,9,2.2998046875,0.753879827420341
DPYSL4,11,2.576171875,0.7537168651639685
PDE1A,8,3.306640625,0.7533521621672171
PGBD5,15,2.744140625,0.7531211105651028
NBEA,16,2.36328125,0.7527040794344612
ACTA1,13,2.8828125,0.7517689263709486
GNB5,13,2.53515625,0.7517250431847936
SMIM13,15,2.138671875,0.7516653211262758
CACNB1,16,3.33984375,0.7509499512112131
CADM3,15,2.396484375,0.7505513149475057
NRCAM,15,2.19921875,0.7503718193564353
LIN7B,16,2.80078125,0.7501521182286195
KLHL23,7,2.974609375,0.7498905046208713
EGR1,16,4.171875,0.7488417243812766
GLS,15,2.234375,0.7488405966434393
CYTH2,8,2.70703125,0.7487919133516237
SERINC1,9,1.728515625,0.7484414034062282
NUMBL,16,3.642578125,0.7482778752412673
CELF1,16,2.40625,0.7482737441953831
DBN1,16,2.52734375,0.7480265207764543
WDR7,15,2.5,0.7479369469231667
IL34,15,3.322265625,0.7477589601481214
TANC2,8,2.380859375,0.7477568626100656
RNF126,16,2.314453125,0.7474756312748619
SPTBN4,16,2.671875,0.7472546614640957
ARPP21,13,2.84375,0.7469947051398413
MPP2,11,2.494140625,0.7463441388690327
TMEM14A,16,2.8515625,0.7461889731934211
UBALD1,16,2.279296875,0.7461539373333167
STX1A,9,3.1630859375,0.7458215088766857
HS2ST1,16,2.43359375,0.7454477331920897
RAP2A,8,2.482421875,0.7452878121791603
EFTUD2,16,2.658203125,0.7451979499032546
RTCA,15,2.552734375,0.7451276294112937
PLCB1,15,2.841796875,0.7447456849229358
TCAF1,16,2.1875,0.7447078443409857
ADGRB3,16,3.125,0.7445923431537134
IPO5,11,2.255859375,0.7445867094067833
MAP9,16,2.802734375,0.7445401051652301
GABRB3,16,2.453125,0.744353859679143
FBXW7,9,2.5,0.7442073686653454
LZTR1,16,2.513671875,0.7433374028089694
CRMP1,16,2.53515625,0.743069414744725
RBFOX3,16,2.30859375,0.7429256412688409
LRRC73,16,3.185546875,0.7428742641428312
ATP6V0A1,15,1.9365234375,0.7425755066855244
PLCL2,16,3.091796875,0.742426975266889
KPNA3,16,2.59765625,0.7423777322384496
SH3GL2,15,2.044921875,0.7416374843671903
REPS2,16,2.6015625,0.7414345201664372
PRR7,16,3.451171875,0.7412365959907581
CA11,16,2.4765625,0.7408882813314861
SPCS3,16,2.927734375,0.7408250411970994
MAPK1,11,1.9482421875,0.7407596292178518
RTN3,15,1.728515625,0.7407235599800425
PPP5C,16,2.259765625,0.74063375671588
ELP1,16,2.525390625,0.740433302070708
ANXA7,15,2.765625,0.7403519963370193
MMD,15,2.498046875,0.7395917899425903
BAIAP2,16,3.12109375,0.739223642582705
POP5,15,2.228515625,0.7391114535881774
FAM131A,16,2.923828125,0.7386019841368651
PAQR9,15,3.064453125,0.7385575811573695
MTPN,9,2.080078125,0.7385391775739841
EIF4G3,9,2.017578125,0.7384262638210216
SSX2IP,16,2.740234375,0.7379219397538247
RASAL1,11,3.615234375,0.7378504263140171
AAK1,15,2.25390625,0.7376927922618128
KCNJ4,13,3.69140625,0.7376188634237162
DOHH,12,2.30859375,0.7374431901459818
ADD2,16,2.607421875,0.7371994208620658
CCDC32,16,2.8984375,0.7368094319080777
ATF2,16,2.439453125,0.736764230659779
CHRM1,16,4.0390625,0.7367404575182422
SLC6A17,9,2.201171875,0.736255566580591
WDR48,16,2.517578125,0.736125399559934
PHYHIP,9,3.126953125,0.7359207845843391
FAM189A1,16,4.71484375,0.7356484974228804
RMND5B,16,3.087890625,0.7352755341999747
RAPGEF2,15,3.13671875,0.7349980454180072
GRIA3,16,2.6328125,0.734878192482858
TOMM70,13,2.3583984375,0.7347839413015164
SYNPO,16,3.21484375,0.7345086256934531
RHOBTB2,13,2.716796875,0.7341107683450147
PCLO,15,2.34375,0.7339523197176689
TSNAX,7,2.470703125,0.7338237168979865
TGIF2-RAB5IF,15,2.40234375,0.7337486903421524
CHST1,16,2.298828125,0.7336655812264454
ELK1,16,2.8671875,0.7335873754006308
UBE2W,16,3.125,0.7329967483644783
ARFGAP1,16,2.671875,0.7324959049215733
CINP,15,2.619140625,0.7323728211621433
ANO3,15,3.818359375,0.7323566520392896
RABGAP1L,15,3.017578125,0.7321315421528851
PRICKLE2,16,2.998046875,0.7319404972108688
RYR2,15,3.779296875,0.7316689167840774
USP14,15,2.197265625,0.7310201420138971
CDIPT,15,2.21484375,0.7306774957928031
NMT1,16,2.625,0.7306303264353465
KCNMB4,15,2.939453125,0.730613608084333
PTPN5,13,2.654296875,0.7303475073111538
OGA,15,2.15234375,0.7303059940066583
AP3M2,9,2.5,0.730132057154884
MRAS,9,2.541015625,0.73013058351408
FRRS1L,16,2.314453125,0.7300284024372334
SMARCD1,13,2.435546875,0.7298572265048283
CNOT7,16,2.68359375,0.7297824724644788
SNN,16,2.43359375,0.7297029614060148
RHOF,16,2.541015625,0.7288528671206043
FBXL2,9,2.44140625,0.7284748358780133
AP2B1,16,2.279296875,0.7284740306011256
FDX2,16,2.3828125,0.7281871491156758
DNAJB6,15,2.0390625,0.727771040428999
ABI1,16,2.623046875,0.7277589827594024
PPME1,8,2.0966796875,0.7275458739274878
PFKP,8,2.18359375,0.7274353879494482
CAMSAP1,16,2.416015625,0.7271858467982738
NEDD4L,16,2.77734375,0.7268839852814045
DUSP14,7,3.4765625,0.7267560380026761
MAPK8,15,2.84375,0.7264632867712447
KCNV1,7,3.53515625,0.7263254473125684
FBXW5,16,2.443359375,0.7261483031317019
RPRD1A,16,2.2734375,0.726051977195701
RAPGEFL1,16,3.39453125,0.7260058249317377
PFKL,16,2.37890625,0.7259121829049074
ATP6V1D,12,1.958984375,0.7255983784634779
IPO11,15,2.77734375,0.7254295181183376
SLC8A2,16,3.5078125,0.7253808341539381
FHL2,16,4.5625,0.7252305488521166
BAG4,16,2.919921875,0.7251762739910306
RAP1GAP2,9,2.8359375,0.7248936211321676
KIF2A,15,2.6640625,0.7248266144249369
PPP3CB,16,2.021484375,0.7247408661711511
TMEM191B,16,2.67578125,0.7246447381349089
ASNS,16,2.470703125,0.7246142813843505
CYB561,11,2.625,0.7245846530854128
USP33,16,2.55859375,0.7244172470224941
C8orf34,8,3.345703125,0.7241844247511726
OPCML,15,2.513671875,0.7238045843562028
DYRK2,16,3.68359375,0.7237016706647245
PLK2,16,3.34375,0.7236973123977747
CPT1C,16,2.76953125,0.723435812238638
NAV3,15,2.908203125,0.7233203760891138
ING2,16,2.87109375,0.7231965901541189
NAB2,16,3.28515625,0.723179624512128
MIB1,15,2.23828125,0.7231321029699813
JOSD1,15,2.521484375,0.7229019311114353
SPATA2L,16,4.265625,0.7228535488037614
SEMA6B,16,2.5078125,0.7228476577066559
CAMK1D,15,3.029296875,0.7222708991881971
CEP19,16,2.875,0.7221983552690899
LPCAT4,7,2.619140625,0.7220208945951198
NOCT,16,3.314453125,0.7217994443503453
ACTN1,16,3.052734375,0.7217751360594756
SGIP1,15,2.50390625,0.7217504133192768
EXT1,16,3.611328125,0.7216077179212625
MICU3,15,2.416015625,0.7214375096506763
HP1BP3,16,2.205078125,0.7213336596570629
OTUB1,16,1.9736328125,0.7210217914459884
UBR3,15,2.392578125,0.7209148559039269
AMPH,15,2.333984375,0.7207591233220493
FLOT1,15,2.443359375,0.7204428996935682
AP3D1,16,2.34375,0.7204272246435112
CPSF2,12,2.16015625,0.7200840032800894
RALGAPA1,16,2.759765625,0.7199832524321789
ROBO2,16,3.029296875,0.7199686070759133
PPM1K,16,2.73046875,0.7198337809895993
LINGO1,9,2.240234375,0.7197791854490245
SFXN3,16,2.671875,0.719733108233808
NEURL4,15,2.56640625,0.7195042135801154
TNPO2,15,2.234375,0.7194989334443788
DLG2,15,2.416015625,0.7193912609577084
MARK1,9,3.01953125,0.7191562459078782
DCAF7,12,2.33984375,0.7187403954059713
TMEM68,16,3.98046875,0.7187294969774797
JAKMIP2,16,3.1328125,0.7182729061612538
PDHB,16,2.265625,0.7181723333753689
SHISA7,16,4.26953125,0.7179126052204491
GDA,12,3.083984375,0.7179110132196905
NETO2,16,3.197265625,0.717796600153217
WASF1,16,2.5625,0.7172708650420339
BSN,15,2.40234375,0.7172664054796337
TMEM132A,8,2.521484375,0.7171424830227445
MICAL2,16,3.615234375,0.7166910477580686
BRI3BP,16,2.373046875,0.7166876173686723
CAMKK1,15,3.271484375,0.7166317169945985
LPGAT1,8,2.380859375,0.716556270240507
COBL,7,2.947265625,0.7162425332778258
IRGQ,16,2.24609375,0.7161092528175917
MAP2K1,13,2.203125,0.7158984352191967
PI4KA,16,2.130859375,0.7158245787690614
ELMO2,16,2.796875,0.715553488994438
JPH3,16,2.484375,0.7155518455537109
PIP4K2B,15,2.23828125,0.7155408778467075
EGR3,16,4.21875,0.7154100761834556
NGEF,8,2.859375,0.7148353673379315
KAT2A,15,2.294921875,0.7148296934372503
NLK,9,3.1953125,0.7147599624223656
PKIA,12,2.416015625,0.7147344413062703
RTN4R,16,3.494140625,0.7146657813537995
CABP1,7,3.197265625,0.7145056972544266
CACNA1B,16,2.818359375,0.7144194753194304
GPD2,16,2.916015625,0.7141854382280813
NFYB,16,3.33984375,0.7140855874507158
ARHGAP1,12,2.7109375,0.7139859862509798
CDKN2D,16,2.44921875,0.7139447381050428
TRIM9,16,2.314453125,0.7138191007377707
KATNB1,16,2.7890625,0.7137398729466125
IPCEF1,8,4.86328125,0.7135324012244563
ITPA,16,2.4765625,0.7132850769052892
CCNY,16,2.40234375,0.7131633638953159
ASPHD2,16,2.859375,0.7129965359050756
SMYD5,12,2.59765625,0.7126897200845208
PDLIM7,16,3.255859375,0.7125159489602868
EFNA3,16,3.892578125,0.7118822220645155
SLC7A4,15,3.30078125,0.7116144366627399
NELL2,16,2.3671875,0.7115928246391007
ACSL4,15,2.85546875,0.7115257525776663
ACTR3,16,2.349609375,0.7112953311834649
ADGRB1,3,2.083984375,0.7111570596674416
TSPOAP1,7,2.400390625,0.7111527510992581
GRAMD1A,16,2.87109375,0.7109342547674196
PCMTD2,16,2.388671875,0.7106803160322301
PGS1,15,2.572265625,0.7105762934844293
KIFAP3,16,1.994140625,0.7103586930221842
UBE2K,16,2.234375,0.7103278646645954
SLC25A14,12,2.890625,0.7103027563499985
B4GALT2,9,2.671875,0.7102954865458956
MANEAL,15,2.68359375,0.7102220186860444
RIPOR1,16,3.5703125,0.7099217942389067
ATG9A,15,2.353515625,0.7098357328160032
LSM14B,13,2.5458984375,0.7096726511082941
WASL,16,2.671875,0.709362975515466
LGI1,15,2.810546875,0.7091386817343235
ADGRL1,8,1.90673828125,0.7091037687898665
P4HTM,16,2.658203125,0.7089279416665236
C2CD2L,13,2.5234375,0.7089277840748135
AP3S1,16,2.548828125,0.7087612365163665
INKA2,16,4.68359375,0.7085945586780286
SEC14L1,16,3.013671875,0.7085393448928566
