Gene,Annotation,Median_GSS,PCC
EPHX4,16,3.802734375,0.8421461270920795
CALM2,16,1.7236328125,0.8316632516602898
LARGE1,16,3.025390625,0.8310161339848374
MMP17,15,3.4296875,0.8297204271860833
B4GALNT1,16,2.904296875,0.8279757665892241
GFRA4,15,3.267578125,0.826147159051601
CAP2,16,2.650390625,0.8253725357588344
DLG3,16,2.814453125,0.824908696390756
MAPK14,16,2.765625,0.8242074855415412
EGR1,16,4.171875,0.8232422311015151
EIPR1,5,2.470703125,0.8203381000295008
PIK3R2,16,2.66796875,0.8171292353689422
ACAP3,16,2.833984375,0.8169937573300462
VOPP1,8,2.6884765625,0.816545283288792
BTBD10,16,2.943359375,0.8140288189897308
KIAA1549L,9,3.080078125,0.8135169796964151
DOCK3,8,2.4970703125,0.8128037079871158
TMEM121B,16,4.1328125,0.8123518599518642
ST3GAL5,8,2.44921875,0.8123194629018416
LRP11,16,2.623046875,0.809225086634577
MRTFA,16,4.0625,0.8086297576758611
EXTL1,16,3.60546875,0.8077446859097247
MRTFB,16,2.50390625,0.8073989860475976
SPRN,16,2.955078125,0.8073720812708669
MAT2B,16,2.5078125,0.8064524049955758
SLC39A10,7,2.576171875,0.8049611061796343
UNC13A,16,3.029296875,0.8048486656767019
ERC2,15,3.50390625,0.8045577158626851
TMEM198,16,3.177734375,0.8038589222493703
PIP4K2C,15,3.5703125,0.8030636868659351
SLC4A10,8,2.568359375,0.8025527831008191
ALDOA,8,1.7236328125,0.8018841959290005
MEF2D,16,2.484375,0.8013221301791763
STRN4,16,2.3203125,0.8013173714029954
CYTH2,8,2.70703125,0.8012404644780449
PDE1A,8,3.306640625,0.8007102281641131
CAMKK2,9,3.068359375,0.8000067245373472
PORCN,16,3.091796875,0.7993179360041541
SLMAP,16,2.837890625,0.7989357203510502
RIMBP2,15,3.173828125,0.7989330590876581
DMXL2,16,2.625,0.7980728531069368
ACTR3B,16,3.251953125,0.7980090174727774
PLCB1,15,2.841796875,0.7967463456129152
PHF24,9,2.587890625,0.7966155601916485
TMEM14A,16,2.8515625,0.7961980463106911
FBXW7,9,2.5,0.7954157444943928
PARP6,16,2.494140625,0.7945039081269145
LANCL2,11,2.583984375,0.7926253928090631
CDK17,16,2.890625,0.7920487165770433
MAL2,16,2.76953125,0.7919653764272703
MYT1L,16,2.453125,0.7914881355549929
RTN3,15,1.728515625,0.7910333754391538
FAM171A2,16,3.087890625,0.7903750194232781
CACNG3,7,3.54296875,0.7893153307268137
LRRC4C,9,2.787109375,0.7885364134390813
BRINP1,15,2.6640625,0.7868438612922649
TMEM38A,16,2.466796875,0.7861615558048513
NHP2,16,2.556640625,0.7858071847642718
PGBD5,15,2.744140625,0.7844588902453214
RAB15,15,3.11328125,0.7838226913978723
LZTS3,16,3.326171875,0.7835764555651207
PTEN,9,2.337890625,0.7830853004514493
FHL2,16,4.5625,0.7824212806905864
BRINP2,15,2.8515625,0.7818760446081063
LANCL1,16,2.193359375,0.7818155329046147
SLITRK1,7,2.87890625,0.7811075629869035
STXBP5,16,3.177734375,0.7803324987132602
CHRM1,16,4.0390625,0.780236838611904
RNF112,15,2.607421875,0.7799665470606909
REPS2,16,2.6015625,0.7792325492485259
SYT16,16,3.3828125,0.7787694410475393
ACTL6B,16,2.87890625,0.7777088786478463
ARHGEF9,16,2.2890625,0.7774424072908557
ROBO2,16,3.029296875,0.7773739549944194
ABI2,16,2.30859375,0.7771251556831786
OLA1,16,2.51171875,0.7768097007700974
CNRIP1,15,3.21484375,0.7765171519113057
CORO1A,16,2.556640625,0.776247000414462
KCNJ4,13,3.69140625,0.7760229626407369
BAP1,16,2.357421875,0.7759526250616776
GPRIN1,16,3.001953125,0.775698076137802
MADD,15,2.435546875,0.7755893385971678
INKA2,16,4.68359375,0.7751874160569417
R3HDM1,9,2.568359375,0.774989444240176
NLK,9,3.1953125,0.7747110623589555
AK5,15,3.068359375,0.7741494946786235
HERC3,16,2.841796875,0.7733978062582273
FAM189A1,16,4.71484375,0.7733390259865561
SYNPO,16,3.21484375,0.7731948833344697
RNF44,16,2.439453125,0.7731514940386586
STX1A,9,3.1630859375,0.7728068453323267
CYP46A1,7,2.25390625,0.7724845458456537
PLPPR4,16,2.5625,0.7720590181384126
TANC2,8,2.380859375,0.7714689760657502
KCNMB4,15,2.939453125,0.7712782147181574
SLC8A2,16,3.5078125,0.7710624051047252
SVOP,15,2.59765625,0.7706714511411437
IPCEF1,8,4.86328125,0.7704525397281978
ANKRD34A,16,2.587890625,0.7703221759694825
ZDHHC8,9,2.56640625,0.7702374404334245
ARPP21,13,2.84375,0.7702306817817273
CELSR2,16,2.373046875,0.7701743464516605
CABP1,7,3.197265625,0.7700168095389469
SERINC1,9,1.728515625,0.7697275243704302
TSPAN5,16,2.453125,0.7692728245347591
GPD1L,16,2.87890625,0.7691602791628691
SMIM13,15,2.138671875,0.7689145664974978
TMEM240,16,2.41015625,0.7688110602872974
PLCL2,16,3.091796875,0.7685208175031633
FABP3,16,2.181640625,0.7685158874519733
DPYSL4,11,2.576171875,0.7681712277783485
UNC5A,16,3.751953125,0.7680752000147273
RAP2A,8,2.482421875,0.7680436548785757
RYR2,15,3.779296875,0.7679416784970895
SEC14L1,16,3.013671875,0.7676838274115181
EXT1,16,3.611328125,0.7672360610477134
WDR47,15,2.736328125,0.7670564724543183
PHYHIP,9,3.126953125,0.7670403947836126
ROCK2,16,2.32421875,0.7669078941432831
PPP2R2B,12,2.32421875,0.7667971207522831
ACTA1,13,2.8828125,0.7663325822022597
MICAL2,16,3.615234375,0.7663109572846405
NRCAM,15,2.19921875,0.7660071359015349
IL34,15,3.322265625,0.7654961632700472
RPUSD1,12,3.021484375,0.7653922207089661
TMEM178A,8,4.298828125,0.7652730520818566
PPP1R9A,13,2.318359375,0.7647821433520013
RTN4R,16,3.494140625,0.7647806815858837
SPTBN4,16,2.671875,0.7647626662351107
RMND5B,16,3.087890625,0.7639037482848039
FAM131A,16,2.923828125,0.763612921742262
RBFOX3,16,2.30859375,0.7631509040586818
BAIAP2,16,3.12109375,0.7626552911894852
GUCY1B1,13,2.76171875,0.762616210199288
PLK2,16,3.34375,0.7625784373563126
DYRK2,16,3.68359375,0.7622104245313229
ACVR1B,16,2.744140625,0.7621560751325113
ANO3,15,3.818359375,0.7613781111572451
SLITRK5,16,3.826171875,0.7606564629044039
MAPK8,15,2.84375,0.7605071781396375
KHDRBS3,16,2.58984375,0.7603890089040901
