Gene,Annotation,Median_GSS,PCC
IFT57,4.0,1.8408203125,0.25299701786850637
PDGFB,4.0,1.783203125,0.2320874353701565
MAML3,0.0,0.0,0.22281760705413503
PLK5,3.0,1.7265625,0.21237588634488788
PATL2,0.0,0.0,0.2122966685991602
OLFML2B,0.0,0.0,0.202855154880718
TRPV2,4.0,1.7529296875,0.19894248440542475
ATP2B2,4.0,1.78515625,0.1959610186047816
SLC27A3,4.0,1.8125,0.19358076839299113
PCDH7,4.0,1.8486328125,0.18927005670022842
FOXP2,0.0,0.0,0.18679135215219092
MAD1L1,3.0,1.748046875,0.18488858751784756
ST6GALNAC3,0.0,0.0,0.18430313659427702
KIF3C,0.0,0.0,0.18417381385079087
ATXN7L2,0.0,0.0,0.18261255910766186
ASPM,0.0,0.0,0.18256054916730832
SMTNL2,4.0,1.82421875,0.1819871539334812
C8orf48,0.0,0.0,0.1819322387973135
TAGLN3,0.0,0.0,0.1796390386318199
REXO5,0.0,0.0,0.1794682855286316
ADRB2,0.0,0.0,0.1792283667777028
MAML2,4.0,1.8427734375,0.17840811739531093
APOBEC3H,4.0,1.8544921875,0.178217102811466
CCL17,0.0,0.0,0.17603535928371772
MUTYH,4.0,1.8076171875,0.17593603280631848
ANKRD42,4.0,1.8076171875,0.17529535912319766
CCDC148,0.0,0.0,0.17449296231300945
HIGD1B,0.0,0.0,0.17401401709441508
NUP205,4.0,1.8349609375,0.17388815266037722
RBM45,0.0,0.0,0.17185494817805055
RPP40,4.0,1.837890625,0.17165022801357846
PHF21A,4.0,1.8076171875,0.17081172849271714
COL6A6,0.0,0.0,0.17034026427259552
NFASC,4.0,1.7939453125,0.16998124523428434
KHDC3L,0.0,0.0,0.16995470105997454
ARL5C,4.0,1.77734375,0.16991671409551862
RNLS,0.0,0.0,0.16963259270496164
LSM1,3.0,1.908203125,0.16928344127934492
RAP2A,3.0,1.9306640625,0.16920542746729447
CC2D1A,3.0,1.755859375,0.16880941832366536
PRRX1,0.0,0.0,0.16859618961833645
ZSWIM5,4.0,1.77734375,0.16723682557447647
SPX,0.0,0.0,0.16711057527692583
NAP1L3,0.0,0.0,0.16698674207074968
MYO7A,0.0,0.0,0.16655198507005076
CHRNB1,4.0,1.9306640625,0.16653494540274746
KBTBD12,4.0,1.77734375,0.1662868634673961
LMCD1,4.0,1.748046875,0.16628484826280018
C1orf162,4.0,1.798828125,0.1661896086412832
SATB2,4.0,1.8212890625,0.1658267355052269
ZC3H6,0.0,0.0,0.16521188860847974
PAPLN,0.0,0.0,0.16468551844499552
XCR1,4.0,1.8349609375,0.16426804588377547
CDH4,4.0,1.8046875,0.16376500086835433
ETV1,0.0,0.0,0.16368063132502345
MAL,4.0,1.8486328125,0.1636315382180672
UPF2,4.0,1.8623046875,0.16358617083100993
MYO9A,4.0,1.8212890625,0.16323043761393088
MRGPRE,4.0,1.8544921875,0.16314282393789525
RUFY1,4.0,1.755859375,0.1629790583754757
SAFB,2.0,1.8798828125,0.1625547954926835
NAIF1,0.0,0.0,0.1625459628819796
IGFBP5,4.0,1.9423828125,0.1622142855123974
