Gene,Annotation,Median_GSS,PCC
PICALM,2.0,1.78955078125,0.4580959870606925
ATAD3A,2.0,1.83349609375,0.43530340131264605
PRKCSH,3.0,1.91015625,0.4248263486100082
COPG1,2.0,1.7939453125,0.42266460894748076
NDUFV2,1.0,1.771484375,0.41845009559472657
TRAM1,2.0,1.83935546875,0.4117024262034851
KDR,1.0,1.845703125,0.41167136518868774
RPL17,3.0,1.7373046875,0.40843054323944716
TXNDC17,3.0,1.826171875,0.4069769735253336
GRAMD1C,2.0,1.85986328125,0.4041492826301958
RPS6,1.0,1.7265625,0.3996058670080519
APRT,3.0,1.9306640625,0.3978676419721476
PXMP4,3.0,1.83203125,0.3938196421722056
PPP2R5A,2.0,1.77294921875,0.3932011389667871
ATP6AP1,3.0,1.9052734375,0.39200224834134356
NCOA4,3.0,1.939453125,0.3918584082798379
ERP44,2.0,1.8818359375,0.3910448527804723
BHMT2,1.0,1.77734375,0.39030457474446467
B2M,4.0,1.720703125,0.39014504463325017
ARPC5L,1.0,1.81982421875,0.3881355964840262
UBTF,3.0,1.87109375,0.3859948172677484
RPS25,2.0,1.734375,0.38431295904702467
SYNGR2,4.0,1.791015625,0.3832117813590426
PEX13,3.0,1.958984375,0.3830330393516568
NDUFB5,4.0,1.7421875,0.38235438497245855
VDAC2,2.0,1.82666015625,0.38124777919272723
SURF4,3.0,1.8486328125,0.38077955097728233
NADK,3.0,1.8603515625,0.38065755266018475
MED21,3.0,1.7939453125,0.3788371725009278
PUM1,2.0,1.85009765625,0.3771200608016645
TUSC2,3.0,1.8154296875,0.37686766523133897
MORF4L2,2.0,1.7802734375,0.37479605118729575
BCAP31,3.0,1.916015625,0.3739256216824282
ZC3HAV1,3.0,1.8486328125,0.3725947543822271
ACBD5,3.0,1.857421875,0.37097925957011596
YIPF3,3.0,1.9560546875,0.3707884877195329
KNG1,2.0,1.78173828125,0.3701275678839716
RPL12,3.0,1.7373046875,0.36962216109882423
MAOB,4.0,1.818359375,0.36857804826213336
C1QC,0.0,1.845703125,0.3683692680461007
TMEM59,3.0,1.7880859375,0.367645961053691
PAPOLA,2.0,1.82763671875,0.3669784880631267
DCTN5,2.0,1.8125,0.3664501958595893
SERPINF1,3.0,1.7529296875,0.36635764682647637
SELENOF,3.0,1.916015625,0.36632532143912117
SERINC1,1.0,1.8076171875,0.3654699472616971
FURIN,2.0,1.8818359375,0.3645640711234022
DDC,3.0,1.763671875,0.3639842079556941
PNO1,3.0,1.876953125,0.36303239657751696
KDELR2,2.0,1.98828125,0.3628477022369025
ABCA1,3.0,1.8876953125,0.3622238035701407
PTBP3,0.0,0.0,0.36187802468257213
LIPC,1.0,1.78515625,0.36171772810391817
RHEB,4.0,1.7802734375,0.36152774248477554
ADH5,3.0,1.728515625,0.36144089734732926
HNRNPH2,3.0,1.748046875,0.36140670970017763
RPN2,2.0,1.74072265625,0.3612126824786256
NCKAP1,3.0,1.818359375,0.3602143639659434
MBD3,1.0,1.8095703125,0.36013593215731204
RPN1,2.0,1.798828125,0.35972764001780644
RANBP10,2.0,1.89208984375,0.359411292263466
OCIAD2,2.0,1.82421875,0.3593355089929323
JUND,2.0,1.8427734375,0.35911001437649387
SLC10A1,3.0,1.7314453125,0.35850516149470996
COMMD1,3.0,2.015625,0.3585020239498493
TMED9,1.0,1.76953125,0.35831617376617564
KCTD20,3.0,1.8623046875,0.3579960985469689
CTSD,3.0,1.763671875,0.35757185971713684
SNRPE,1.0,1.7666015625,0.3574771042146426
GCLM,3.0,1.7802734375,0.3571697059461831
MRPL55,0.0,1.755859375,0.35697912712955443
MRPS36,1.0,1.7529296875,0.3568158045515398
MRPS6,3.0,1.921875,0.35654597925930537
SERP1,4.0,1.77734375,0.356463036416155
MRPS2,2.0,1.791015625,0.3563925861189599
RNF130,3.0,2.03515625,0.35636562506099645
TMX2,3.0,1.8408203125,0.35610664495092786
TAX1BP1,3.0,1.8408203125,0.35610411140852116
UBR5,0.0,0.0,0.3560136972354001
TPMT,3.0,1.8681640625,0.355419339562398
XPOT,2.0,1.83203125,0.35464202457805827
GSPT1,3.0,1.8212890625,0.3541643686230397
ZFP36L1,3.0,1.7802734375,0.35351155221501557
TFPI2,1.0,1.884765625,0.3533265892420615
BRD2,2.0,1.8251953125,0.3519424237784031
COPS4,1.0,1.75146484375,0.35114985560272627
PRKAR2A,1.0,1.81689453125,0.35001051491707613
TPT1,0.0,1.720703125,0.3493493417758132
ATP2A2,3.0,1.798828125,0.349234896338871
LPGAT1,2.0,1.771484375,0.3490613652077404
SIGMAR1,3.0,1.884765625,0.3488131555955085
RNF103,1.0,1.818359375,0.3472135876143721
IMP3,2.0,1.78955078125,0.3471624622252178
RPL36A,1.0,1.734375,0.3471250824516124
SNU13,3.0,1.884765625,0.3462372862706298
NR2C2AP,4.0,1.7880859375,0.34566201999108215
RAC1,3.0,1.8935546875,0.34497667384462266
STEAP4,3.0,2.041015625,0.34494059800943067
TMEM126A,1.0,1.876953125,0.3447324732078481
CYP51A1,2.0,1.8447265625,0.3443508205706992
SUB1,1.0,1.8212890625,0.34355758877625414
COQ8A,3.0,1.7880859375,0.3429243879366403
OXR1,3.0,1.8408203125,0.34278508912646355
IL6ST,4.0,1.9619140625,0.34262058755229013
NDUFS5,1.0,1.7451171875,0.3423978972354665
MST1,3.0,1.8017578125,0.3417025386155369
HNRNPA3,3.0,1.7958984375,0.3414423395473363
NPM1,4.0,1.7802734375,0.3413848292567862
AVPI1,3.0,1.755859375,0.3413679602502018
CHCHD7,2.0,1.7490234375,0.3412500006796539
NME1,3.0,1.7392578125,0.3412440666937035
USP24,2.0,1.8544921875,0.340701997623961
EI24,2.0,1.81396484375,0.3404597122629888
TRIM28,3.0,1.98828125,0.3401015527223246
PSME4,3.0,1.798828125,0.3399267295509734
ETFDH,1.0,1.81396484375,0.3399007073320039
RPS27,3.0,1.771484375,0.339880187482113
RPS23,1.0,1.7314453125,0.33983549944535135
MBTPS1,1.0,1.7451171875,0.33972356482578875
TEX261,3.0,1.826171875,0.3395090513139287
PGPEP1,4.0,1.927734375,0.3392480203042786
NDUFB2,3.0,1.7314453125,0.3390766488325799
KLF15,3.0,1.8486328125,0.3387215959433294
KMO,3.0,1.798828125,0.3385493009428826
SDF4,3.0,1.8076171875,0.3385305049176443
PBLD,2.0,1.77734375,0.33795724548258094
YWHAE,3.0,1.8125,0.3378927795478511
PDIA3,3.0,1.7802734375,0.33773251885376054
HSPA4,3.0,1.8818359375,0.3372511879352346
PEX7,3.0,1.970703125,0.3372268647911083
RPS19,3.0,1.734375,0.3365715924746096
ABCE1,4.0,1.8017578125,0.33631226431739397
INSIG1,2.0,1.982421875,0.33614511153475524
