Gene,Annotation,Median_GSS,PCC
CHCHD5,3.0,1.9677734375,0.34275915312501604
DYNC1I2,3.0,1.7880859375,0.3334995746341057
XIAP,3.0,1.8623046875,0.3323047609898274
DPYD,3.0,1.921875,0.3251791135151656
SNRNP200,3.0,1.8935546875,0.31532553709588695
ZBTB43,1.0,1.75146484375,0.30822782081516387
SRSF7,3.0,1.734375,0.3024731197851524
SLC19A2,3.0,2.244140625,0.30064644841181143
RPS25,2.0,1.734375,0.2952681535146774
DHX16,2.0,1.80615234375,0.2876077360653298
GBF1,3.0,1.818359375,0.2863965808468055
ALG3,3.0,1.8046875,0.28627018913007896
TPT1,0.0,1.720703125,0.28229438600050283
EPS8L2,3.0,1.994140625,0.28193521464192073
RAB10,3.0,1.8515625,0.2817571499454303
RUFY3,3.0,1.837890625,0.2803680895354365
RIOK3,3.0,1.921875,0.27953750720507686
EIF4A1,2.0,1.734375,0.2792560479046691
NFYC,3.0,1.8095703125,0.27849327242871047
LYSMD3,0.0,0.0,0.27811533809103467
DALRD3,3.0,1.93359375,0.2774312353871803
NR2C2AP,4.0,1.7880859375,0.2753647283950955
VPS41,3.0,2.02734375,0.2742287237988715
ZFAND2B,3.0,1.876953125,0.2735411135147596
MAN1A1,3.0,2.033203125,0.2716235859812643
FAM91A1,3.0,1.87109375,0.27126012317195564
SLC35B2,3.0,1.9501953125,0.27085788951443357
EWSR1,3.0,1.7939453125,0.27021699814052047
ECHDC3,3.0,1.8935546875,0.2691271731482859
ZZZ3,0.0,0.0,0.26907357173413377
PPFIA1,0.0,0.0,0.2688788815959513
TPP1,3.0,1.7265625,0.2685458447624312
PIM3,3.0,1.927734375,0.2684597009426642
FAM160B1,1.0,1.8046875,0.2681159834467148
ASF1A,1.0,1.7666015625,0.267730307294472
GGCX,3.0,2.005859375,0.2674533238084976
MRPL58,2.0,1.84716796875,0.2667207324611756
OTUD5,3.0,1.818359375,0.2666811302454898
MPRIP,4.0,1.9365234375,0.2664774135294201
GPAA1,3.0,1.953125,0.2655265472860363
GNE,3.0,1.857421875,0.26550708062129263
PLPP3,3.0,2.021484375,0.2639986823816317
YAE1,4.0,1.7802734375,0.2637556499835272
SMIM20,3.0,1.9189453125,0.263698544230147
MGRN1,2.0,1.78173828125,0.26369424580356926
MRPS18B,4.0,1.8876953125,0.2631930855924504
NDUFB2,3.0,1.7314453125,0.2622477905226381
UBXN6,1.0,1.8681640625,0.2619444276693467
CHMP5,3.0,1.9482421875,0.2618164955617092
MTG2,3.0,1.96484375,0.2616195909416471
CC2D1A,3.0,1.755859375,0.26125485733790343
SMU1,4.0,1.8740234375,0.2607136918538845
MAP2K2,3.0,1.8935546875,0.26067219363978644
NPM1,4.0,1.7802734375,0.25959914127633416
C19orf12,3.0,1.98828125,0.25595920089658536
PLEKHB1,4.0,1.7451171875,0.25550817014447874
ARHGEF3,3.0,2.05859375,0.25401961400758316
