"Potential_new_drug_targets";"OpenTargets_Drug_gene_list_overlap"
"Kcnb1";"anterior_horn_disorder_v23.12, multiple_sclerosis_v23.06"
"Kcnv1";"anterior_horn_disorder_v23.12, multiple_sclerosis_v23.06"
"Crhr1";"major_depressive_disorder_v23.06"
"Lingo1";"multiple_sclerosis_v23.06"
"Kcnq5";"epilepsy_v23.06, major_depressive_disorder_v23.06, anterior_horn_disorder_v23.12, amyotrophic_lateral_sclerosis_v23.06, multiple_sclerosis_v23.06"
"Thrb";"myocardial_infarction_v23.06, liver_disease_v23.09, coronary_artery_disease_v23.06, non-alcoholic_fatty_liver_disease_v23.06, congenital_heart_disease_v23.06, bipolar_disorder_v23.06, multiple_sclerosis_v23.06"
"Gabbr1";"liver_disease_v23.09, cirrhosis_of_liver_v23.06, autism_spectrum_disorder_v23.06, alzheimer_disease_v23.06, parkinson_disease_v23.06, multiple_sclerosis_v23.06"
"Kcna2";"anterior_horn_disorder_v23.12, multiple_sclerosis_v23.06"
"Grm5";"liver_disease_v23.09, major_depressive_disorder_v23.06, parkinson_disease_v23.06, inherited_kidney_disorder_v23.06"
"Atp2a2";"liver_disease_v23.09"
"Akt3";"liver_disease_v23.09, lung_disease_v23.06, large_intestine_disorder_v23.06"
"Braf";"liver_disease_v23.09, lung_disease_v23.06, large_intestine_disorder_v23.06"
