"ADHD.cluster";"ADHD.set";"ADHD.steam_pval";"ADHD.steam_pval_adj";"ADHD.gsMap_pval";"ADHD.gsMap_pval_adj";"ASD.cluster";"ASD.set";"ASD.steam_pval";"ASD.steam_pval_adj";"ASD.gsMap_pval";"ASD.gsMap_pval_adj";"BIP.cluster";"BIP.set";"BIP.steam_pval";"BIP.steam_pval_adj";"BIP.gsMap_pval";"BIP.gsMap_pval_adj";"ALZ.cluster";"ALZ.set";"ALZ.steam_pval";"ALZ.steam_pval_adj";"ALZ.gsMap_pval";"ALZ.gsMap_pval_adj";"SCZ.cluster";"SCZ.set";"SCZ.steam_pval";"SCZ.steam_pval_adj";"SCZ.gsMap_pval";"SCZ.gsMap_pval_adj"
"0";"all_genes";0,672832716688407;1;2,61610313545546e-06;2,35449282190991e-05;"0";"all_genes";0,00369963006434024;0,0332966705790622;0,00384130805586291;0,0345717725027662;"0";"all_genes";0,438056198514751;1;8,06599231850669e-12;7,25939308665602e-11;"0";"all_genes";0,405359448111437;1;0,0194595239717404;0,175135715745664;"0";"all_genes";0,533146681077829;1;7,52383561481815e-19;6,77145205333633e-18
"1";"all_genes";0,618838115595681;1;3,9653393857364e-07;3,56880544716276e-06;"1";"all_genes";0,003299669937257;0,029697029435313;0,000194860180237844;0,00175374162214059;"1";"all_genes";0,5036496308838;1;1,47755946324161e-18;1,32980351691745e-17;"1";"all_genes";0,413958590943798;1;0,0395358009668392;0,355822208701553;"1";"all_genes";0,525247470987738;1;2,67852126897899e-25;2,41066914208109e-24
"2";"all_genes";0,473952604306031;1;5,44837508442697e-11;4,90353757598427e-10;"2";"all_genes";0,000399960037106451;0,00359964033395806;4,37259308494475e-06;3,93533377645028e-05;"2";"all_genes";0,326567340916745;1;4,57149678905198e-24;4,11434711014678e-23;"2";"all_genes";0,329567061699287;1;0,0164929660675939;0,148436694608345;"2";"all_genes";0,342265771956;1;1,31328571032618e-34;1,18195713929356e-33
"3";"all_genes";0,981001898824652;1;0,173711707626313;1;"3";"all_genes";0,212578726016777;1;0,213731778057768;1;"3";"all_genes";0,754424563042693;1;0,00279897706991727;0,0251907936292555;"3";"all_genes";0,284671506712651;1;0,000515669427105014;0,00464102484394513;"3";"all_genes";0,889511055119269;1;0,00211001513143994;0,0189901361829594
"4";"all_genes";0,592340766506743;1;1,86778148503208e-09;1,68100333652887e-08;"4";"all_genes";0,00139985998691847;0,0125987398822663;2,3144743829584e-05;0,000208302694466256;"4";"all_genes";0,459054099358551;1;5,20033655718496e-18;4,68030290146647e-17;"4";"all_genes";0,326667327852054;1;0,00274229004343041;0,0246806103908737;"4";"all_genes";0,434656531430162;1;1,90369244703853e-27;1,71332320233468e-26
"5";"all_genes";0,85161483857761;1;0,410385540084408;1;"5";"all_genes";0,0136986288790953;0,123287659911858;0,994487570371234;1;"5";"all_genes";0,605639441095636;1;4,04656362575917e-05;0,000364190726318325;"5";"all_genes";0,268573154401041;1;0,0223754538602995;0,201379084742695;"5";"all_genes";0,75292470939496;1;0,985283700578015;1
"6";"all_genes";0,504749525094896;1;1,46843697201859e-08;1,32159327481673e-07;"6";"all_genes";0,000999900072800019;0,00899910065520017;3,90295448704503e-05;0,000351265903834053;"6";"all_genes";0,540045995395075;1;1,67964917119231e-18;1,51168425407308e-17;"6";"all_genes";0,509948947773741;1;0,0201734568836469;0,181561111952822;"6";"all_genes";0,407359266524268;1;1,13106310214796e-22;1,01795679193317e-21
"7";"all_genes";0,997000300018315;1;0,38255467114849;1;"7";"all_genes";0,699629961868845;1;0,0463554439675262;0,417198995707736;"7";"all_genes";0,853514650226179;1;0,102457560086087;0,922118040774786;"7";"all_genes";0,255174457420435;1;4,55674948811602e-05;0,000410107453930442;"7";"all_genes";0,930606946514464;1;0,00389830359007404;0,0350847323106663
"8";"all_genes";0,928907109894849;1;0,561456874429866;1;"8";"all_genes";0,024797522900233;0,223177706102097;0,215319266461826;1;"8";"all_genes";0,459154082357532;1;0,00236715940979637;0,0213044346881673;"8";"all_genes";0,32466756214108;1;0,00649125580230747;0,0584213022207672;"8";"all_genes";0,717028305054136;1;0,0432759883280058;0,389483894952052
"0";"top100";0,15498450155219;1;NA;NA;"0";"top60";0,10148984985291;0,913408648676194;NA;NA;"0";"top_NA";NA;NA;NA;NA;"0";"top60";0,00549944673454947;0,0494950206109452;NA;NA;"0";"top230";0,144385562788072;1;NA;NA
"1";"top100";0,105989401062845;0,953904609565607;NA;NA;"1";"top60";0,10548945048242;0,949405054341777;NA;NA;"1";"top_NA";NA;NA;NA;NA;"1";"top60";0,0126987215398409;0,114288493858568;NA;NA;"1";"top230";0,162383762510624;1;NA;NA
"2";"top100";0,0495950404944276;0,446355364449848;NA;NA;"2";"top60";0,0326967306745355;0,29427057607082;NA;NA;"2";"top_NA";NA;NA;NA;NA;"2";"top60";0,00929908034336389;0,083691723090275;NA;NA;"2";"top230";0,041495850468921;0,373462654220289;NA;NA
"3";"top100";0,967203279679867;1;NA;NA;"3";"top60";0,76812319554775;1;NA;NA;"3";"top_NA";NA;NA;NA;NA;"3";"top60";0,00389960842499138;0,0350964758249225;NA;NA;"3";"top230";0,660433949497044;1;NA;NA
"4";"top100";0,0836916308337564;0,753224677503808;NA;NA;"4";"top60";0,07639236053546;0,68753124481914;NA;NA;"4";"top_NA";NA;NA;NA;NA;"4";"top60";0,00569942443498016;0,0512948199148215;NA;NA;"4";"top230";0,112588740286331;1;NA;NA
"5";"top100";0,253274672524766;1;NA;NA;"5";"top60";0,159984003302086;1;NA;NA;"5";"top_NA";NA;NA;NA;NA;"5";"top60";0,00379961855645002;0,0341965670080502;NA;NA;"5";"top230";0,257874209692346;1;NA;NA
"6";"top100";0,0687931206944813;0,619138086250332;NA;NA;"6";"top60";0,0642935712873068;0,578642141585761;NA;NA;"6";"top_NA";NA;NA;NA;NA;"6";"top60";0,0164983685160024;0,148485316644021;NA;NA;"6";"top230";0,0930906901368545;0,83781621123169;NA;NA
"7";"top100";0,998700129981373;1;NA;NA;"7";"top60";0,969503050709978;1;NA;NA;"7";"top_NA";NA;NA;NA;NA;"7";"top60";0,00379961855645002;0,0341965670080502;NA;NA;"7";"top230";0,90540946453037;1;NA;NA
"8";"top100";0,552744725541092;1;NA;NA;"8";"top60";0,327767221800235;1;NA;NA;"8";"top_NA";NA;NA;NA;NA;"8";"top60";0,00309968812849727;0,0278971931564754;NA;NA;"8";"top230";0,43005699897726;1;NA;NA
