"ADHD.cluster";"ADHD.set";"ADHD.steam_pval";"ADHD.steam_pval_adj";"ADHD.gsMap_pval";"ADHD.gsMap_pval_adj";"ASD.cluster";"ASD.set";"ASD.steam_pval";"ASD.steam_pval_adj";"ASD.gsMap_pval";"ASD.gsMap_pval_adj";"BIP.cluster";"BIP.set";"BIP.steam_pval";"BIP.steam_pval_adj";"BIP.gsMap_pval";"BIP.gsMap_pval_adj";"ALZ.cluster";"ALZ.set";"ALZ.steam_pval";"ALZ.steam_pval_adj";"ALZ.gsMap_pval";"ALZ.gsMap_pval_adj";"SCZ.cluster";"SCZ.set";"SCZ.steam_pval";"SCZ.steam_pval_adj";"SCZ.gsMap_pval";"SCZ.gsMap_pval_adj"
"0";"all_genes";0,968103189618598;1;0,00177270684756825;0,0124089479329778;"0";"all_genes";0,996800319918631;1;0,0857606537824901;0,600324576477431;"0";"all_genes";0,83351665087128;1;7,11728670342859e-05;0,000498210069240002;"0";"all_genes";0,284371585904844;1;0,030528011037612;0,213696077263284;"0";"all_genes";0,988001199839652;1;0,000133166374093774;0,000932164618656417
"1";"all_genes";0,9578042196172;1;0,00124303776203538;0,00870126433424767;"1";"all_genes";0,996400360056593;1;0,0450132190196485;0,31509253313754;"1";"all_genes";0,855914413682692;1;5,18175105312935e-06;3,62722573719054e-05;"1";"all_genes";0,258174176248554;1;0,0132251339295709;0,0925759375069964;"1";"all_genes";0,98650135020742;1;3,82054279657318e-06;2,67437995760123e-05
"2";"all_genes";0,977802220112195;1;0,0252518287734789;0,176762801414352;"2";"all_genes";0,998000199953294;1;0,113953783876044;0,797676487132307;"2";"all_genes";0,879612029289143;1;0,000415632109460495;0,00290942476622347;"2";"all_genes";0,248175153974761;1;0,00789346996691953;0,0552542897684367;"2";"all_genes";0,992200779742414;1;7,43479932746594e-05;0,000520435952922615
"3";"all_genes";0,996100389686914;1;0,0721386640885954;0,504970648620168;"3";"all_genes";0,9994000600463;1;0,301232087651353;1;"3";"all_genes";0,921307867855817;1;0,00197545736035687;0,0138282015224981;"3";"all_genes";0,243875627579751;1;9,14314634892222e-07;6,40020244424555e-06;"3";"all_genes";0,994300569126296;1;0,000323238111727298;0,00226266678209108
"4";"all_genes";0,988501150231218;1;0,0102519716417575;0,0717638014923026;"4";"all_genes";0,998900109876023;1;0,0414725476517948;0,290307833562563;"4";"all_genes";0,889611032153985;1;2,6123971200942e-05;0,000182867798406594;"4";"all_genes";0,161683834360793;1;1,91933859805538e-07;1,34353701863876e-06;"4";"all_genes";0,989801019953869;1;0,00043830265442002;0,00306811858094014
"5";"all_genes";0,981001898824652;1;0,00259981338633231;0,0181986937043261;"5";"all_genes";0,998700129981373;1;0,159755901431539;1;"5";"all_genes";0,854714535995893;1;0,000156496398981409;0,00109547479286987;"5";"all_genes";0,280471928060285;1;0,00906387920469931;0,0634471544328952;"5";"all_genes";0,991300869245888;1;0,000140966656176911;0,000986766593238375
"6";"all_genes";0,994900508874914;1;0,0112724641210128;0,0789072488470895;"6";"all_genes";0,98650134975312;1;0,607675391718419;1;"6";"all_genes";0,891210880458432;1;0,000895438944993665;0,00626807261495566;"6";"all_genes";0,223777645468349;1;9,03272500485386e-06;6,3229075033977e-05;"6";"all_genes";0,991600840015221;1;0,00057706848993544;0,00403947942954808
"0";"top_NA";NA;NA;NA;NA;"0";"top_NA";NA;NA;NA;NA;"0";"top_NA";NA;NA;NA;NA;"0";"top60";0,0555943939209171;0,38916075744642;NA;NA;"0";"top_NA";NA;NA;NA;NA
"1";"top_NA";NA;NA;NA;NA;"1";"top_NA";NA;NA;NA;NA;"1";"top_NA";NA;NA;NA;NA;"1";"top60";0,0548945210181904;0,384261647127333;NA;NA;"1";"top_NA";NA;NA;NA;NA
"2";"top_NA";NA;NA;NA;NA;"2";"top_NA";NA;NA;NA;NA;"2";"top_NA";NA;NA;NA;NA;"2";"top60";0,0446955205820063;0,312868644074044;NA;NA;"2";"top_NA";NA;NA;NA;NA
"3";"top_NA";NA;NA;NA;NA;"3";"top_NA";NA;NA;NA;NA;"3";"top_NA";NA;NA;NA;NA;"3";"top60";0,0517947808671267;0,362563466069887;NA;NA;"3";"top_NA";NA;NA;NA;NA
"4";"top_NA";NA;NA;NA;NA;"4";"top_NA";NA;NA;NA;NA;"4";"top_NA";NA;NA;NA;NA;"4";"top60";0,0263973298976472;0,18478130928353;NA;NA;"4";"top_NA";NA;NA;NA;NA
"5";"top_NA";NA;NA;NA;NA;"5";"top_NA";NA;NA;NA;NA;"5";"top_NA";NA;NA;NA;NA;"5";"top60";0,0645935271532231;0,452154690072562;NA;NA;"5";"top_NA";NA;NA;NA;NA
"6";"top_NA";NA;NA;NA;NA;"6";"top_NA";NA;NA;NA;NA;"6";"top_NA";NA;NA;NA;NA;"6";"top60";0,0817918440968776;0,572542908678143;NA;NA;"6";"top_NA";NA;NA;NA;NA
