Gene,Annotation,Median_GSS,PCC
NLK,2.0,2.462890625,0.6854109909324624
FAM131A,2.0,2.353515625,0.6750168176904593
SLC12A5,2.0,2.3203125,0.6733121571445773
PSD3,2.0,2.435546875,0.6711806350863332
NRXN3,2.0,2.21875,0.6710071576971206
ATP9A,2.0,2.12890625,0.6698577740718997
FRRS1L,2.0,2.4765625,0.6691011243671879
BTBD8,2.0,2.40625,0.6675644267060074
CDK5R2,6.0,2.0859375,0.6672647307262035
PRRT1,2.0,2.1875,0.6649917443517865
CTNNA2,4.0,2.21484375,0.6644331557136267
CREG2,2.0,2.40234375,0.6643930060896025
NUDCD3,6.0,2.259765625,0.6640959034055125
MBOAT7,2.0,2.18359375,0.6640742545114398
CDK5R1,2.0,2.328125,0.6634078998784884
GABRB3,2.0,2.28515625,0.6626150115300316
GRIA2,2.0,2.447265625,0.6618610466518803
NRCAM,6.0,2.240234375,0.6616599795141506
PJA2,6.0,2.177734375,0.6603442213488597
CYP46A1,2.0,2.67578125,0.6603256722594192
NSG1,2.0,2.095703125,0.6583645084330265
RBFOX1,2.0,2.279296875,0.6582765921907923
ARNT2,2.0,2.349609375,0.658191762671045
UBQLN1,4.0,1.994140625,0.6574915945436964
YJEFN3,2.0,2.42578125,0.6574039092964212
CLSTN3,2.0,2.146484375,0.6572465638402382
BEX2,2.0,2.23828125,0.6566441516933141
PAK1,6.0,2.28125,0.6557700833553611
R3HDM1,2.0,2.2734375,0.6551758595715748
AAK1,6.0,2.111328125,0.6551248070884075
RAB3C,6.0,2.25390625,0.654798089400373
CHL1,2.0,2.328125,0.6547305535345659
NDRG3,2.0,2.095703125,0.6547000599485501
H2AFZ,2.0,2.244140625,0.6546296388637761
DLGAP1,2.0,2.181640625,0.6533283216699698
ATL1,4.0,2.205078125,0.6529779144226878
OPTN,2.0,2.078125,0.6524376737079073
TMEM130,2.0,2.162109375,0.6524178293471787
CRMP1,6.0,2.1875,0.6523505345854559
DBNDD1,2.0,2.14453125,0.6522865526841736
SLC39A10,6.0,2.279296875,0.6516615895498873
NCKAP1,2.0,2.32421875,0.6516610095827948
HDGFL3,6.0,2.11328125,0.6512286774725541
MEF2C,2.0,2.30078125,0.6505854128487389
HPCA,6.0,2.5,0.6488667822702272
NEGR1,2.0,2.138671875,0.6487970418588671
MFSD4A,2.0,2.263671875,0.6484653099231866
ACSL3,2.0,2.14453125,0.6483795884273914
ITFG1,6.0,2.2734375,0.6478785070875179
VSTM2L,2.0,2.376953125,0.6477471531164853
PTMS,2.0,2.244140625,0.6473481803583339
NRXN2,2.0,2.14453125,0.6469024154375884
CAP2,6.0,2.23828125,0.6463686585310597
GABRA1,4.0,2.22265625,0.6462587839703148
GUCY1B1,2.0,2.134765625,0.6454767396028723
ISCU,2.0,2.1875,0.645362844084718
ATP6V0A1,6.0,2.083984375,0.6451674716474307
FBXO44,4.0,2.083984375,0.6448658707949918
PDE2A,2.0,2.234375,0.6448038170117874
CYCS,2.0,2.17578125,0.6442848802196804
SUMO2,2.0,2.09765625,0.6442167762838757
TMEM132B,2.0,2.15625,0.6440349641462749
PPP3R1,2.0,2.146484375,0.6437145931481464
SERINC3,6.0,2.19140625,0.6432045370928343
SLC25A6,2.0,2.029296875,0.6431917577354586
AASDHPPT,2.0,2.130859375,0.6431375821957024
SV2A,2.0,2.240234375,0.6430284718235718
CACNG3,2.0,2.28125,0.642974703056708
CAMK2A,2.0,2.337890625,0.6427952609034312
ATP5MC1,6.0,2.21875,0.6425620228578579
SSBP4,2.0,2.32421875,0.6425372784548739
RHBDD2,2.0,2.181640625,0.6422030878163153
CAMKK1,2.0,2.16796875,0.6420732961323867
NRXN1,2.0,2.337890625,0.6415829605996344
VPS26B,2.0,2.080078125,0.6414257863216282
NPTXR,2.0,2.41015625,0.641418146421656
BEX5,2.0,2.30859375,0.6413938513478362
SNX3,2.0,2.193359375,0.6412606017539626
RAB6B,6.0,2.21875,0.6409854627795653
ARPP21,2.0,2.400390625,0.6405995504497574
TSPAN13,2.0,2.15625,0.6405586541806562
PSMA1,6.0,2.03515625,0.6405384149299355
ATP2B2,4.0,2.212890625,0.6404192147100434
SYBU,2.0,2.150390625,0.6403636560341092
CABP1,4.0,2.1875,0.6399001159864178
SYNE1,2.0,2.07421875,0.6396758125131308
TCEAL2,6.0,2.091796875,0.6396031358082033
ZBTB18,2.0,2.255859375,0.6392372964828661
CHCHD10,2.0,2.166015625,0.6392238103746236
GLS,6.0,2.255859375,0.639076515960008
HSPH1,6.0,2.228515625,0.6390245243189084
EPHA4,2.0,2.103515625,0.6389787641530731
RIMS3,2.0,2.05078125,0.6386144040415134
HPRT1,6.0,2.21875,0.6384327579856861
GOT1,6.0,2.24609375,0.6384321511249667
KIF3A,6.0,2.171875,0.6378980206619326
PPP3CB,2.0,2.181640625,0.6376607052444895
GRINA,2.0,2.25,0.6372928537976024
GHITM,6.0,2.09765625,0.6364987907383027
TMOD2,6.0,2.36328125,0.6364262152947676
NTM,2.0,2.2890625,0.6363094335834001
GABRD,2.0,2.3046875,0.6359582374773428
SYT5,2.0,2.1875,0.6359336029686015
GABBR2,2.0,2.3203125,0.6348919826622991
FXYD7,6.0,2.212890625,0.6348427803742721
PDP1,2.0,2.30078125,0.6345312293150502
ATP6V1H,2.0,2.16796875,0.6344361306105843
SLC4A10,2.0,2.240234375,0.6343400498729027
CTSB,6.0,2.166015625,0.634322853326923
SNU13,6.0,2.208984375,0.6336822476964025
TOMM20,2.0,2.091796875,0.6335128649314938
SCN2A,2.0,2.28125,0.6332604885898502
PACSIN1,2.0,2.193359375,0.6328717030707673
MAPK10,6.0,2.205078125,0.6328015434932726
MORF4L2,6.0,2.177734375,0.6325866680256745
ABI2,2.0,2.275390625,0.6325396890215251
SYN2,6.0,2.439453125,0.6319631597427954
B4GAT1,1.0,2.04296875,0.6319283207752304
UQCRFS1,2.0,2.111328125,0.6319100175504014
WASF1,2.0,2.392578125,0.6318413881790476
PLCB1,2.0,2.259765625,0.6317045103010207
C12orf57,2.0,2.044921875,0.6316934059808038
RAB2A,2.0,2.05859375,0.6316631836758203
ENSA,2.0,2.162109375,0.6312608699436497
CAMKK2,2.0,2.373046875,0.6306440183495282
ADGRL1,6.0,2.138671875,0.6304771692301738
SNCA,6.0,2.30859375,0.6303442719161788
NUDT4,6.0,2.33984375,0.6303089358239998
SLC25A4,6.0,2.22265625,0.629942084381063
MLLT11,6.0,2.22265625,0.629670728501233
GABRB2,2.0,2.34765625,0.6295530396010347
WSB2,6.0,2.263671875,0.6290660130287267
CDKN2D,6.0,2.21875,0.6290620527713249
BRK1,2.0,2.205078125,0.6287811469556757
CRIP2,2.0,2.21484375,0.6284749731553918
SYNGR1,4.0,2.23828125,0.6284532747366778
CAMK4,2.0,2.392578125,0.628298027295751
KIF3C,6.0,2.22265625,0.6282968237359823
TMEM151B,4.0,2.046875,0.6282311365450999
TOLLIP,6.0,2.275390625,0.6280322218211318
