Gene,Annotation,Median_GSS,PCC
SLC12A5,2.0,2.3203125,0.8171511475218138
HPCA,6.0,2.5,0.7992486379944422
GRINA,2.0,2.25,0.7942224532890766
ISCU,2.0,2.1875,0.7931659405617598
SV2A,2.0,2.240234375,0.7925923758225158
CDK5R1,2.0,2.328125,0.792514468938019
PJA2,6.0,2.177734375,0.7922442952356433
PSD3,2.0,2.435546875,0.7920197627000776
BEX5,2.0,2.30859375,0.7912468539379947
MEF2C,2.0,2.30078125,0.791119068966525
NPTXR,2.0,2.41015625,0.7901203875282334
NRXN1,2.0,2.337890625,0.7897434142831253
CLSTN3,2.0,2.146484375,0.7896439439583627
BEX2,2.0,2.23828125,0.7887713941653994
NSG2,2.0,2.373046875,0.7883720137739734
CAMKK2,2.0,2.373046875,0.7879536506674528
GABBR2,2.0,2.3203125,0.786902777437984
ATP6V0A1,6.0,2.083984375,0.7861058052931643
GABRA1,4.0,2.22265625,0.7860588839160588
NSF,6.0,2.275390625,0.7859444777210872
CYC1,6.0,2.1015625,0.7856144714026361
COX5A,6.0,2.091796875,0.7852532334501878
SLC25A4,6.0,2.22265625,0.7849442758511705
MAPK10,6.0,2.205078125,0.7831165462884457
VSTM2L,2.0,2.376953125,0.7827843544274565
CREG2,2.0,2.40234375,0.7824642433060376
CYCS,2.0,2.17578125,0.7823125858502977
PRRT1,2.0,2.1875,0.7822923000202475
SLC25A3,2.0,2.17578125,0.7809428923747511
ARNT2,2.0,2.349609375,0.7802749705389481
NRCAM,6.0,2.240234375,0.7801851432947224
GRIA2,2.0,2.447265625,0.7799959430180476
CHCHD10,2.0,2.166015625,0.7795641729147881
ATP2B2,4.0,2.212890625,0.779386352455996
SEZ6L2,2.0,2.177734375,0.7787296543394273
ATP5MC1,6.0,2.21875,0.7773412022908338
DSTN,2.0,2.083984375,0.7771194494664908
GABRB2,2.0,2.34765625,0.7767490203052323
RAB3C,6.0,2.25390625,0.776596805032016
ZBTB18,2.0,2.255859375,0.7765213892930303
ARPP21,2.0,2.400390625,0.7764766805942567
DBNDD1,2.0,2.14453125,0.7761221849352248
NRN1,6.0,2.44921875,0.7752275924933073
ATP6V1G2,6.0,2.234375,0.7749957460216942
PAK1,6.0,2.28125,0.7748832624976574
INA,1.0,2.25,0.7748437514048635
CABP1,4.0,2.1875,0.7743085683112818
ACSL3,2.0,2.14453125,0.7741465288353744
ATP6V1H,2.0,2.16796875,0.7739900102515983
ATP2A2,6.0,2.1875,0.7738458959654738
RGS4,2.0,2.166015625,0.7736489769283259
CYP46A1,2.0,2.67578125,0.7735482384249185
SCG5,6.0,2.138671875,0.7735461828529665
TSPAN13,2.0,2.15625,0.7734275027596237
OPTN,2.0,2.078125,0.7733030363493123
FAM131A,2.0,2.353515625,0.7732015518866887
MLLT11,6.0,2.22265625,0.7730206541618865
RAB6B,6.0,2.21875,0.772790664453463
NCKAP1,2.0,2.32421875,0.7727821134639133
NUDT4,6.0,2.33984375,0.7726509655579851
KLHDC3,6.0,2.1875,0.772561307680956
NLK,2.0,2.462890625,0.7721636919225486
COX7B,6.0,2.150390625,0.7718037065204725
YJEFN3,2.0,2.42578125,0.7711668646330215
KIF3A,6.0,2.171875,0.7710381033345494
GABRD,2.0,2.3046875,0.7704453727822538
SLC39A10,6.0,2.279296875,0.7702655886597635
ENSA,2.0,2.162109375,0.7702466749267896
PI4KA,2.0,2.197265625,0.7700389776045932
GUCY1B1,2.0,2.134765625,0.7699434140648352
CAMK2A,2.0,2.337890625,0.7698050459136799
PREPL,6.0,2.177734375,0.7694968530607698
SELENOH,6.0,2.17578125,0.7684976483096567
PDE2A,2.0,2.234375,0.7683240001086231
UQCRFS1,2.0,2.111328125,0.7679418714569476
TMEM130,2.0,2.162109375,0.767210129589126
RHBDD2,2.0,2.181640625,0.7670749966873157
CELF4,2.0,2.23828125,0.7669050029030491
RBFOX1,2.0,2.279296875,0.7664968576363768
HK1,6.0,2.119140625,0.7664707512790372
HSPH1,6.0,2.228515625,0.7664242013553569
CTNNA2,4.0,2.21484375,0.766386563766308
CALY,2.0,2.23046875,0.7663570172597186
NDRG3,2.0,2.095703125,0.7661827568859989
NAPA,2.0,2.0859375,0.766044553420277
PNMA1,6.0,2.21875,0.7659706841431232
