Gene,Annotation,Median_GSS,PCC
SLC12A5,2.0,2.3203125,0.7970057582710341
PSD3,2.0,2.435546875,0.7950569356986481
ARNT2,2.0,2.349609375,0.7872837261980298
GRINA,2.0,2.25,0.7830017497509268
CREG2,2.0,2.40234375,0.7825420317392463
ZBTB18,2.0,2.255859375,0.7810711187888217
SV2A,2.0,2.240234375,0.7803661567012049
PRRT1,2.0,2.1875,0.7794465930358686
NSG2,2.0,2.373046875,0.7773229375947777
HPCA,6.0,2.5,0.7771332484483773
NRXN1,2.0,2.337890625,0.7769196615468901
CDK5R1,2.0,2.328125,0.7750466445939497
SLC25A4,6.0,2.22265625,0.7749520563704716
MEF2C,2.0,2.30078125,0.7736826350303062
CLSTN3,2.0,2.146484375,0.7718351774945846
NPTXR,2.0,2.41015625,0.770965722475024
CAMKK2,2.0,2.373046875,0.7708464289558505
ARPP21,2.0,2.400390625,0.7706688417721359
CYP46A1,2.0,2.67578125,0.7704436328044697
BEX2,2.0,2.23828125,0.7693729438101818
NLK,2.0,2.462890625,0.7691217318770769
MBOAT7,2.0,2.18359375,0.7685284692216479
PJA2,6.0,2.177734375,0.7680565321373013
BEX5,2.0,2.30859375,0.7679956660933648
VSTM2L,2.0,2.376953125,0.7675650717308486
GRIA2,2.0,2.447265625,0.7671803808483493
RAB3C,6.0,2.25390625,0.7660385133541122
DBNDD1,2.0,2.14453125,0.7648677294506329
ENSA,2.0,2.162109375,0.7631552690581328
TMEM130,2.0,2.162109375,0.762948762060216
ISCU,2.0,2.1875,0.7624485175760495
ACSL3,2.0,2.14453125,0.7623280632498011
GABBR2,2.0,2.3203125,0.7621390470199483
FAM131A,2.0,2.353515625,0.7616955662494312
CTNNA2,4.0,2.21484375,0.7608024628047059
EPHA4,2.0,2.103515625,0.7602834616206183
GABRB2,2.0,2.34765625,0.7600066025453021
NRXN3,2.0,2.21875,0.7597354238084691
GABRA1,4.0,2.22265625,0.7597259926684116
CAMK2A,2.0,2.337890625,0.7594965417626077
CHL1,2.0,2.328125,0.7586366934451975
SLC39A10,6.0,2.279296875,0.7581795862939269
YJEFN3,2.0,2.42578125,0.7572149339457034
MYCBP2,6.0,2.23046875,0.7570171330941501
ATP5MC1,6.0,2.21875,0.756668698510676
ATP2B2,4.0,2.212890625,0.7566474619158173
OPTN,2.0,2.078125,0.7561472661753066
MAPK10,6.0,2.205078125,0.7560335978979764
NCKAP1,2.0,2.32421875,0.7555648065557679
NRCAM,6.0,2.240234375,0.755376446467881
AASDHPPT,2.0,2.130859375,0.7550685262923249
NRN1,6.0,2.44921875,0.7548143996793697
SLC25A3,2.0,2.17578125,0.7539074448748108
NUDT4,6.0,2.33984375,0.7537829975758473
R3HDM1,2.0,2.2734375,0.752530298842625
SCG2,2.0,2.314453125,0.7523784752730571
ATP6V0A1,6.0,2.083984375,0.752321781443062
ACOT7,6.0,2.259765625,0.7521344937930028
PPP3R1,2.0,2.146484375,0.7519647007911766
CHCHD10,2.0,2.166015625,0.75193242360987
GABRB3,2.0,2.28515625,0.7517303804649828
PDP1,2.0,2.30078125,0.7514744912311093
PDE2A,2.0,2.234375,0.7510947660153241
BTBD8,2.0,2.40625,0.7510356119821303
RHBDD2,2.0,2.181640625,0.751005167053256
CYC1,6.0,2.1015625,0.7508548612494186
RBFOX1,2.0,2.279296875,0.7505401598784026
PAK1,6.0,2.28125,0.7500942026898016
MLLT11,6.0,2.22265625,0.7498725116831438
TSPAN13,2.0,2.15625,0.7492948563162798
PIK3R1,2.0,2.07421875,0.7491605564436232
GABRD,2.0,2.3046875,0.7489183144070067
SCG5,6.0,2.138671875,0.7486157208884617
INA,1.0,2.25,0.7486106102956478
NSF,6.0,2.275390625,0.7479505367172803
KALRN,2.0,2.25390625,0.7473875178052111
CELF4,2.0,2.23828125,0.7464306655713466
DSTN,2.0,2.083984375,0.7464202973647696
HPRT1,6.0,2.21875,0.7464087223276538
LINGO1,2.0,2.21875,0.7464082252858977
FAM3C,6.0,2.556640625,0.7461520283993274
CYCS,2.0,2.17578125,0.7461308762136737
PCMT1,6.0,2.224609375,0.7460833707654679
FRRS1L,2.0,2.4765625,0.7459969721008178
SPINT2,2.0,2.21875,0.7459339443804591
UQCRFS1,2.0,2.111328125,0.7455876980415538
RGS4,2.0,2.166015625,0.7451878074678119
SELENOH,6.0,2.17578125,0.7451163985576456
SNN,2.0,2.25,0.7449236341632158
CAP2,6.0,2.23828125,0.7448155974181891
GUCY1B1,2.0,2.134765625,0.7446280788125486
CALY,2.0,2.23046875,0.744309984770141
SNU13,6.0,2.208984375,0.7442372543301732
LDB2,2.0,2.177734375,0.7439111597558626
ATP2A2,6.0,2.1875,0.7437311293466164
NSG1,2.0,2.095703125,0.7435575290515589
WSB2,6.0,2.263671875,0.743249547320536
COX7B,6.0,2.150390625,0.7429550868109689
SEZ6L2,2.0,2.177734375,0.742945204413318
ATP6V1F,2.0,2.1171875,0.7428736239528361
TCEAL2,6.0,2.091796875,0.7427473518444487
NDRG3,2.0,2.095703125,0.7427143703019152
NAPA,2.0,2.0859375,0.7427100547120252
DLGAP1,2.0,2.181640625,0.7427010839369431
FBXO44,4.0,2.083984375,0.7426294776356797
TMEM132B,2.0,2.15625,0.7425777281967187
CABP1,4.0,2.1875,0.7423442578439515
RAB6B,6.0,2.21875,0.7422953178032856
RIMS3,2.0,2.05078125,0.7421738792510083
SLC4A10,2.0,2.240234375,0.7421211718289149
PTMS,2.0,2.244140625,0.7419787523123931
CRMP1,6.0,2.1875,0.7418991815677668
C11orf87,2.0,2.357421875,0.7418269164972114
GNAO1,2.0,2.125,0.7417812064955319
FGF12,2.0,2.19140625,0.7416957144830819
CAMKK1,2.0,2.16796875,0.741433726375504
PPFIA2,2.0,2.388671875,0.7413227841669541
DDX24,6.0,2.146484375,0.7411857646928097
ATP6V1H,2.0,2.16796875,0.7411619170810528
GLS,6.0,2.255859375,0.7411392039180601
COX5A,6.0,2.091796875,0.7410167797730637
CRYM,6.0,2.412109375,0.7404129202426337
NGEF,2.0,2.328125,0.7403983450525288
VDAC2,6.0,2.24609375,0.7399586950739246
PLCB1,2.0,2.259765625,0.7399481478005279
SYBU,2.0,2.150390625,0.7399420434919656
AAK1,6.0,2.111328125,0.7398736005708376
KLHDC3,6.0,2.1875,0.7396990619783416
FXYD7,6.0,2.212890625,0.7395829662195684
HSPH1,6.0,2.228515625,0.7390217539035246
PI4KA,2.0,2.197265625,0.73881535901126
PREPL,6.0,2.177734375,0.7380660746364209
BRK1,2.0,2.205078125,0.7378688618210189
VPS35,2.0,2.12890625,0.7377611585441364
ATP6V1G2,6.0,2.234375,0.737692188738356
CTSB,6.0,2.166015625,0.7376245583215146
HOPX,2.0,2.73046875,0.7362329487795292
PIN1,2.0,2.140625,0.7359536162694073
C1QTNF4,2.0,2.25390625,0.7356839686569312
KIF3A,6.0,2.171875,0.735537589018254
HK1,6.0,2.119140625,0.7355106824421085
ATP6V1B2,6.0,2.177734375,0.7353503206108997
USP22,6.0,2.125,0.7353392822829927
CDKN2D,6.0,2.21875,0.7351265808811451
RAB3A,6.0,2.162109375,0.7349520539286211
MFSD4A,2.0,2.263671875,0.7347197597126552
CLTC,6.0,2.15625,0.7344980904970296
PACSIN1,2.0,2.193359375,0.7343177495575326
PTK2B,2.0,2.30078125,0.7341443847941169
REEP5,2.0,2.068359375,0.7340376618240871
ADD2,6.0,2.078125,0.7339911157350677
PFN2,6.0,2.19140625,0.7338426479255173
LMO4,4.0,2.1171875,0.7333047891232679
ARF5,2.0,2.041015625,0.7331885743542097
PPP2R2C,2.0,2.134765625,0.7329490827277794
GRIN2A,2.0,2.150390625,0.7326999392546236
ITFG1,6.0,2.2734375,0.7324460025426371
UNC13A,2.0,2.150390625,0.7324220233407661
PPP3CB,2.0,2.181640625,0.7323995161925169
BEX1,6.0,2.123046875,0.7321084990893286
UBE2V2,6.0,2.140625,0.7320285299516605
MYL12B,2.0,2.0625,0.7318991867127969
CACNG3,2.0,2.28125,0.7318074413285038
NUDCD3,6.0,2.259765625,0.7316525508940702
GABARAPL1,6.0,2.09765625,0.7315344143548457
FBXW7,2.0,2.197265625,0.7313921128648033
SPTAN1,2.0,2.05859375,0.7311748493066091
RCAN2,4.0,2.15625,0.7311104542703831
VPS26B,2.0,2.080078125,0.7306096884080583
ATP9A,2.0,2.12890625,0.730459994431029
MKL2,2.0,2.25390625,0.730381303041907
GHITM,6.0,2.09765625,0.7301438795618101
PTPRN,2.0,2.18359375,0.7301328015531544
MEG3,2.0,2.3046875,0.7299321705990043
ADGRL1,6.0,2.138671875,0.7297704030712664
PNMA2,6.0,2.310546875,0.7296608802710384
H2AFZ,2.0,2.244140625,0.7295072542357571
PNMA1,6.0,2.21875,0.7295060702250344
GNG3,4.0,2.033203125,0.7294879486442766
VDAC1,6.0,2.125,0.7292580184760686
ATP6AP2,6.0,2.234375,0.7291346190752335
TSPYL1,2.0,2.16015625,0.7290277729650859
NLRP1,6.0,2.23828125,0.728566912644137
CADM3,2.0,2.421875,0.7284986739145078
SYNGR1,4.0,2.23828125,0.7283823112504064
NDUFA12,6.0,2.197265625,0.7282353612472321
SCN2A,2.0,2.28125,0.7275529667298131
CDK5R2,6.0,2.0859375,0.7275148273467515
SULT4A1,6.0,2.32421875,0.7274402334644737
CAMSAP2,2.0,2.021484375,0.7272231458752118
ATP1A1,2.0,2.123046875,0.7267360976957161
CHGB,6.0,2.26953125,0.7266072727322083
SNX3,2.0,2.193359375,0.7264573353609272
CMIP,2.0,2.05078125,0.726441578971859
NEGR1,2.0,2.138671875,0.7263724077241217
NPTN,2.0,2.205078125,0.7261591589899334
TAGLN3,6.0,2.21875,0.7260435102481902
MTPN,2.0,2.228515625,0.7257975742679165
CYFIP2,6.0,2.244140625,0.7257971720442442
B4GAT1,1.0,2.04296875,0.7255861237310003
UBE2N,6.0,2.0625,0.7252852582050243
TOLLIP,6.0,2.275390625,0.7249835971143137
NDUFC1,6.0,2.21484375,0.7248456764852977
SCG3,2.0,2.16015625,0.7245482458008013
MRPL33,2.0,2.208984375,0.7243233978262233
LPCAT4,2.0,2.123046875,0.7238214467059786
NDFIP1,6.0,2.052734375,0.723689524029172
NRXN2,2.0,2.14453125,0.7235926386171598
NISCH,2.0,2.177734375,0.7233716389949626
ATP5PO,6.0,2.150390625,0.7232486271834574
LZTS3,2.0,2.25390625,0.7232240733770924
RTN4R,6.0,2.328125,0.7230509298850375
WASF1,2.0,2.392578125,0.7228818217468035
ATP5IF1,6.0,2.095703125,0.7226489869396602
TMOD2,6.0,2.36328125,0.722343241741376
STMN3,6.0,2.05078125,0.7221288438285279
HLF,2.0,2.16015625,0.722032125920658
ANXA6,6.0,2.091796875,0.7219271547659768
ABR,2.0,2.275390625,0.721831370785075
GOT1,6.0,2.24609375,0.7217074265418717
SERPINI1,6.0,2.123046875,0.7216442740193212
ABI2,2.0,2.275390625,0.721619286429985
GABRG2,6.0,2.193359375,0.7214762447725106
ATL1,4.0,2.205078125,0.7212705244198878
SYN1,6.0,2.212890625,0.7211691936549989
SYNGR3,6.0,2.259765625,0.7210935108398717
CNIH2,4.0,2.107421875,0.7210736348771634
RASGRF1,2.0,2.052734375,0.7209929038653932
RBFOX3,2.0,2.279296875,0.7209219704856342
KCNV1,2.0,2.1875,0.7207803664041652
SNAP91,6.0,2.3671875,0.720644067484019
NDRG4,6.0,2.140625,0.7206325942537005
ITPR1,2.0,2.330078125,0.720462421188197
MYH10,2.0,2.05859375,0.7198459866621484
SSU72,2.0,2.08984375,0.7196297202645143
NELL2,6.0,2.22265625,0.7195517436078777
MDH2,6.0,2.177734375,0.7195404492888088
ZFAND5,6.0,2.103515625,0.7193991466925086
ALDOA,6.0,2.21875,0.719359324857726
ATP6V0D1,6.0,2.138671875,0.7192953500811329
C12orf57,2.0,2.044921875,0.7192896021884899
RETREG2,4.0,2.041015625,0.7192804363843787
MYT1L,2.0,2.337890625,0.7189351378300433
FXYD6,2.0,2.095703125,0.7188801741754223
SYNE1,2.0,2.07421875,0.7188694337999644
CD99L2,6.0,2.119140625,0.7186335005955103
KCNAB2,2.0,2.15234375,0.717984163869523
RCN2,6.0,2.021484375,0.7179541453050491
ATXN10,6.0,2.205078125,0.7178752476416798
PPP3CA,2.0,2.193359375,0.7178444711361288
BNIP3,6.0,2.353515625,0.717436876202107
MIAT,2.0,2.181640625,0.7172904679686309
CACNA1A,2.0,2.0625,0.7170039204470555
CLIP3,2.0,2.14453125,0.7169575629380526
CLTB,2.0,2.064453125,0.7169159924957241
NCDN,2.0,2.22265625,0.7166847683457662
PIANP,6.0,2.091796875,0.7166534427700907
DPP6,2.0,2.3046875,0.7163577622900735
EIF4G3,4.0,2.140625,0.7162373344798245
LDHA,6.0,2.0703125,0.7162297374410602
BAD,2.0,2.044921875,0.7162240957744898
TMEM160,6.0,2.134765625,0.7159744705212004
USP11,6.0,2.193359375,0.7158069495559904
NDUFS8,2.0,2.080078125,0.7154232689871504
SLC25A6,2.0,2.029296875,0.7154216057686043
EIF1B,6.0,2.083984375,0.7153469277283577
FKBP1A,2.0,2.462890625,0.7153451334339592
SYT13,2.0,2.08984375,0.7152506461684099
NRSN2,6.0,2.140625,0.7147394818345508
EIF5,6.0,2.17578125,0.7143316755068503
TM2D3,2.0,2.15234375,0.7142738739853747
VDAC3,6.0,2.18359375,0.714083235739404
CD200,2.0,2.091796875,0.713738151563741
NPDC1,2.0,2.181640625,0.7136998843393931
RAB11A,6.0,2.0859375,0.7136337724588494
STUB1,2.0,2.017578125,0.7135486443584341
NDUFV1,6.0,2.08984375,0.7134157678510878
PPP2CA,6.0,2.138671875,0.71338982292597
NAP1L5,6.0,2.255859375,0.7132715525299205
HDGFL3,6.0,2.11328125,0.7131386535211426
PRKAR1B,6.0,2.146484375,0.7130255740036724
GNB1,6.0,2.009765625,0.7128611900872691
PINK1,6.0,2.25,0.7126060335795815
CAMKV,2.0,2.1015625,0.7125695152802408
CPLX1,6.0,2.2890625,0.7125376848100117
