Gene,Annotation,Median_GSS,PCC
AL138824.1,0.0,0.0,0.2791485743102994
AKAP6,5.0,1.93359375,0.2769266382370028
AC093928.1,0.0,0.0,0.27179176553600903
AC130343.2,0.0,0.0,0.2691391945240936
LINC00174,0.0,0.0,0.2691074518679948
AC093525.7,0.0,0.0,0.2683026729643651
AC063979.2,0.0,0.0,0.25919762285604314
AC084117.1,0.0,0.0,0.25846302718008274
AL158801.2,0.0,0.0,0.2533069632947698
SGSM1,1.0,1.76513671875,0.2521939629879592
ZNF252P-AS1,0.0,0.0,0.24912923713512347
TMC1,0.0,0.0,0.24852049241489643
LINC00853,0.0,0.0,0.24442852979564048
XK,5.0,1.74658203125,0.24328328783216063
FAM167A,0.0,0.0,0.24040012813538392
AC124068.2,0.0,0.0,0.23848941299974832
FO681492.1,0.0,0.0,0.23840857124833048
AL136141.1,0.0,0.0,0.23840857124833048
COX5B,0.0,1.7802734375,0.23698575432898966
COQ10A,0.0,1.771484375,0.23485668553604025
ADGRA3,2.0,1.728515625,0.2340874074441908
CMBL,1.0,1.7802734375,0.2307529446050682
IGKV3-20,0.0,0.0,0.22753625285863505
RGS12,5.0,1.7392578125,0.22721188922120084
AL136304.1,0.0,0.0,0.22440934979175123
ASB10,5.0,1.7490234375,0.2218880875440416
IL21-AS1,0.0,0.0,0.2212239922062207
AC010997.3,0.0,0.0,0.21818469696753304
BRAF,1.0,1.81103515625,0.21754421706943058
COL10A1,0.0,0.0,0.2160757405325324
AC004156.1,0.0,0.0,0.2160757405325324
USP54,0.0,1.7314453125,0.2137998342258115
NME5,0.0,0.0,0.21100212316588068
GAPT,0.0,0.0,0.21085376827975066
PLA2G4F,0.0,0.0,0.21058502930004916
KLRB1,0.0,0.0,0.20947436576896922
RBFOX1,1.0,1.8740234375,0.2092770491392229
AC107398.3,1.0,1.7529296875,0.20841941519424725
ZNF559,5.0,1.7529296875,0.20698951863531825
PAN3,0.0,1.7392578125,0.20690312139568287
ADAMTS3,0.0,0.0,0.20665690484071664
LINC00412,0.0,0.0,0.206299972559939
PRH1,0.0,0.0,0.20621944615495064
ZBTB49,0.0,0.0,0.20573541997878753
AC090229.1,0.0,0.0,0.2050740478664065
AC017083.1,0.0,0.0,0.20421608162293228
CAPN11,0.0,0.0,0.2023189151137932
LINC01248,0.0,0.0,0.2023189151137932
AC026341.1,0.0,0.0,0.2015801732391338
RBM24,1.0,1.9189453125,0.2013197681692375
FABP3,0.0,1.8427734375,0.20063322744091808
MRPS10,0.0,1.755859375,0.19890745279393623
NXPE3,1.0,1.755859375,0.19794088122343229
AC020741.1,1.0,1.783203125,0.19727400452462002
C3orf35,0.0,0.0,0.1966813883080565
AL590064.1,0.0,0.0,0.19595880098369073
AC013403.2,0.0,0.0,0.19582099724439556
AL021707.1,0.0,0.0,0.1957754755086997
AC007364.1,0.0,0.0,0.19483239410000355
AL008582.1,0.0,0.0,0.193692925263673
TRMT9B,1.0,1.75,0.19350713769692474
FGF12,5.0,1.927734375,0.19302275930375062
SEMA6D,2.0,1.748046875,0.19295542638076255
C13orf42,0.0,0.0,0.19294603538748514
