Gene,Annotation,Median_GSS,PCC
CD68,4.0,2.669921875,0.7553514455306598
TGFBI,6.0,3.587890625,0.72112846852155
CD163,4.0,2.787109375,0.7197417729258946
CD14,4.0,2.7734375,0.686561719269992
ZFP36,6.0,4.126953125,0.6800819273840374
LAPTM5,4.0,2.404296875,0.6796717770356625
IFI30,4.0,2.30078125,0.6775414992458496
MS4A4A,4.0,2.4482421875,0.6720448593985033
CTSS,4.0,2.2734375,0.6690584237043232
C1QC,4.0,2.771484375,0.6690049569986107
VSIG4,4.0,2.6015625,0.6687012586328962
C1QB,4.0,2.650390625,0.6663832091761618
TYROBP,4.0,2.375,0.661643924190748
PLTP,3.0,2.2080078125,0.659337217776536
CTSC,4.0,2.443359375,0.6578382447998893
LGMN,4.0,2.28515625,0.6573770128251953
MS4A6A,4.0,2.923828125,0.652567209578372
CYBA,3.0,2.26171875,0.6461453042759879
CEBPB,6.0,3.50390625,0.6438220680110535
FOS,6.0,4.453125,0.6400394944990077
MRC1,4.0,2.4609375,0.6378294587627571
C1QA,4.0,2.66796875,0.6362516731990727
CD44,6.0,2.6904296875,0.6350910385969053
FPR1,4.0,2.01953125,0.6322577015004769
NPC2,4.0,2.25,0.6298114773569988
CD53,6.0,2.048828125,0.6285486590515443
FCER1G,4.0,2.802734375,0.627052495760249
CAP1,6.0,3.630859375,0.6169952285801505
S100A11,6.0,2.732421875,0.6155531543368727
CCL18,6.0,3.12109375,0.6149412702787382
ARPC1B,6.0,3.0673828125,0.6146691516473045
CTSZ,6.0,2.283203125,0.6070411669560387
MAF,4.0,2.296875,0.6049091834159559
EMP3,6.0,3.060546875,0.6044690229931607
FCGR2A,4.0,2.2109375,0.6026181989577564
ENO1,6.0,2.875,0.6020319338405591
THBS1,6.0,4.9609375,0.601353470051292
MARCO,4.0,2.111328125,0.6012182843894555
S100A9,4.0,2.52734375,0.6004271918517582
TAGLN2,6.0,3.130859375,0.5992783213008585
MPEG1,4.0,2.15234375,0.5982386414154442
STAB1,4.0,2.353515625,0.5924945314224221
SERPINE2,6.0,3.587890625,0.5920656819945581
SH3BGRL,6.0,3.54296875,0.5913536294373071
EFEMP1,6.0,3.1953125,0.5908297278826454
CAPG,3.0,2.0146484375,0.588636764441962
JUNB,6.0,3.6015625,0.5881505631187053
GRN,6.0,2.1767578125,0.5871574931320039
MFSD1,6.0,2.3173828125,0.5823404032523831
MFAP5,6.0,2.74609375,0.5816522093396612
TTYH3,4.0,1.927734375,0.5796822270009144
LAMP1,6.0,2.50390625,0.5794487557867855
CCL2,6.0,3.3544921875,0.5788165503980488
ARPC3,6.0,2.6259765625,0.5779034349609775
EMP1,6.0,2.3916015625,0.5775439171276533
ARPC5,6.0,2.611328125,0.5775161121772616
LCP1,4.0,2.0517578125,0.5774296492235075
TIMP1,6.0,3.15625,0.5771252486522986
FCGRT,4.0,2.25390625,0.5760953559023315
VAMP8,4.0,2.15625,0.573779395798697
LYVE1,4.0,2.75390625,0.5736467711003543
THBS2,6.0,4.166015625,0.5734373786296748
MS4A7,4.0,2.0341796875,0.5720972059707972
FCGBP,4.0,2.107421875,0.5719576079607752
PLD3,6.0,2.169921875,0.5716903600468982
LITAF,6.0,3.2099609375,0.5707342488761715
