Gene,Annotation,Median_GSS,PCC
CACNA1C,6.0,1.90380859375,0.3200301433967855
ANK3,4.0,1.80029296875,0.2913542563949145
WNK2,1.0,1.896484375,0.2746201302044999
RBM24,1.0,1.9189453125,0.27301391488429155
CYCS,0.0,1.87109375,0.26544675536277124
FGF12,5.0,1.927734375,0.24945757531293508
AC006547.3,0.0,0.0,0.2486991080646201
CACNB2,1.0,1.8681640625,0.24758833314448883
AL162431.1,0.0,0.0,0.24663642015329665
USP2,1.0,1.7744140625,0.24460980900103796
IL1RL1,0.0,0.0,0.24446726605549002
RNF207,1.0,1.77294921875,0.2440356873797817
LINC02468,0.0,0.0,0.24223164996915209
KCNIP2,5.0,1.837890625,0.24211806438265304
FABP3,0.0,1.8427734375,0.2351146695641761
FHL2,1.0,1.7587890625,0.2330948090027346
AC040174.2,0.0,0.0,0.23284448828716597
COX7C,0.0,1.734375,0.23229104292208347
PCAT7,0.0,0.0,0.2288010599388343
PLN,0.0,1.7314453125,0.22825035037636499
MYH7B,1.0,2.0703125,0.2270925826877222
MTRNR2L8,0.0,1.8408203125,0.22643642740942685
PLEKHA7,1.0,1.908203125,0.22624530423739156
NEBL,1.0,1.8798828125,0.22604920855558114
PLXNA4,1.0,1.7607421875,0.22588100496969907
TREX2,0.0,0.0,0.22522682865173918
RYR2,1.0,1.90234375,0.22469978612629676
SLC2A5,0.0,0.0,0.22420826318495937
LMO7,0.0,1.8681640625,0.22275797427590635
SLC2A4,5.0,1.896484375,0.22193285924078898
TBC1D4,4.0,1.7666015625,0.2204362345740372
AC089999.2,0.0,0.0,0.22043108290651625
ITGA7,6.0,2.4560546875,0.2198531779320543
MGAM,0.0,0.0,0.2195367315319957
B3GALT2,1.0,1.8154296875,0.21887731351683923
GABRA4,5.0,1.9423828125,0.21788508342630974
SLC8A1,5.0,1.8994140625,0.2175733123442007
SMPX,0.0,1.9052734375,0.21677582612697865
KLHL24,1.0,1.8095703125,0.21651761716732995
HSD17B1,5.0,1.7744140625,0.21567980418684277
SLC22A7,0.0,0.0,0.2148470757724906
TMEM179,0.0,0.0,0.2148470757724906
XCL2,0.0,0.0,0.2148470757724906
AL731569.1,0.0,0.0,0.21463218533884054
CSAD,1.0,1.755859375,0.21456212039588662
NDUFA8,1.0,1.96630859375,0.21392045506601914
ANXA8L1,0.0,0.0,0.21384455201948124
KLHL7,1.0,1.826171875,0.21233640570354537
PEBP4,5.0,1.8994140625,0.21159557377015883
UGP2,0.0,1.818359375,0.21112232405152181
AL031779.1,0.0,0.0,0.2092860977784542
HOOK2,1.0,1.82275390625,0.20916166326327795
ADK,5.0,1.8603515625,0.2086996262037805
PCID2,0.0,1.7421875,0.20840743195271078
IDH2,5.0,1.861328125,0.2081871577949514
AC104393.1,0.0,0.0,0.20818432713113033
SLCO1C1,0.0,0.0,0.2077805584724423
SDHD,0.0,1.818359375,0.20776848006170248
UQCR11,0.0,1.748046875,0.20768689909980012
MYCBP2-AS1,0.0,0.0,0.2072920951814348
LINC02371,0.0,0.0,0.2070198523620524
MYOM2,0.0,1.8017578125,0.2063924523919409
HCG27,0.0,0.0,0.20603702883287597
SLF1,1.0,1.73583984375,0.20587985182901877
AC020659.1,1.0,1.7802734375,0.20506223276259966
SRL,1.0,1.86669921875,0.20280387697440325
ACADSB,5.0,1.78515625,0.2017157405142641
SH3RF2,5.0,1.92333984375,0.20167588512974222
PUS10,0.0,0.0,0.20152642557813646
RFX4,0.0,0.0,0.20143875047838045
FAM13A-AS1,0.0,0.0,0.20141708695191557
NDUFV3,5.0,2.005859375,0.20140387040921917
