Gene,Annotation,Median_GSS,PCC
APP,0.0,1.87109375,0.5836843532049426
OCIAD1,1.0,1.908203125,0.5592863835312968
C5orf27,0.0,1.8408203125,0.5483349291107008
JUND,3.0,1.8740234375,0.5456005929332679
MYO1B,0.0,1.8994140625,0.5435257377069065
RGN,0.0,1.880859375,0.542052227792324
ZKSCAN1,1.0,1.865234375,0.5377114561038385
FAXDC2,0.0,1.93359375,0.5307095365236305
SF3B1,3.0,1.96630859375,0.5301382027460517
COX17,3.0,1.89794921875,0.530124351697867
ANGPTL4,0.0,1.90234375,0.5276481543868964
CYP4F3,0.0,1.83349609375,0.5209760486267383
CNBP,3.0,1.90234375,0.519248583855057
PPP2R1B,1.0,1.921875,0.5187651522678303
ETFA,1.0,1.84716796875,0.5179348920167267
SRSF5,0.0,1.87109375,0.5169039620613294
GPT2,0.0,1.8408203125,0.5160947111501069
SLC25A25,1.0,1.87109375,0.5151893114790881
SLC25A18,3.0,1.9365234375,0.5142124780072939
SEPHS2,0.0,1.8017578125,0.5140788886749907
ALDH6A1,0.0,1.8515625,0.5136351202632473
TMEM56,0.0,1.865234375,0.5123479038912083
SNRPG,1.0,1.8408203125,0.5109432018003651
HSPD1,3.0,1.83203125,0.5107121543601837
HAO1,1.0,1.845703125,0.509537022067099
EPHX2,1.0,1.83203125,0.5094992968454412
ETS2,1.0,1.8623046875,0.5091765263230281
HNRNPH1,3.0,1.958984375,0.5091139732794749
COA4,1.0,1.84716796875,0.5081372614036753
CRHBP,0.0,1.97216796875,0.5071225991578131
UQCRH,1.0,1.8046875,0.5044903749255446
GADD45A,0.0,1.9130859375,0.5041805120417033
CDO1,0.0,1.876953125,0.5035098996305305
CBS,0.0,1.826171875,0.5024368052448658
HIBCH,1.0,1.916015625,0.5023049947465621
PRDX6,0.0,1.7373046875,0.5022919453657876
PDXDC1,1.0,2.00390625,0.5016022141822063
IVD,0.0,1.857421875,0.5011910628564034
MTHFD1,0.0,1.8994140625,0.5010525695974629
DECR2,0.0,1.890625,0.5007634652270969
OGDHL,1.0,1.826171875,0.4998103929566818
PTP4A1,3.0,1.8876953125,0.49971090595598666
CCNL2,3.0,1.908203125,0.4991683898677526
BZW1,0.0,1.880859375,0.4989993347002378
PLIN5,0.0,1.9130859375,0.4984390669257487
NDUFV1,3.0,1.8095703125,0.4971367647966538
PHYH,0.0,1.927734375,0.4964856061494516
PBLD,1.0,1.9423828125,0.4961268368351391
DDX3X,1.0,1.86669921875,0.4959308520990525
G6PC,1.0,1.7451171875,0.4951860692812608
SURF4,1.0,1.865234375,0.49486576865076837
EPS8L2,0.0,1.88330078125,0.4938877332988106
CHTF8,1.0,1.8515625,0.4936832151856094
AADAC,1.0,1.939453125,0.49282965189414674
SARDH,3.0,1.9052734375,0.4926854266472531
F11,1.0,1.8935546875,0.49264445600102735
MFSD2A,0.0,1.96484375,0.4924552479692139
RCL1,0.0,1.8935546875,0.4919457397281678
ACADSB,0.0,1.8408203125,0.49156153216098
HM13,0.0,1.82275390625,0.49140465809931017
IL1RAP,3.0,1.982421875,0.49121236541096047
LONP1,0.0,1.8427734375,0.49092129330928147
ECHS1,0.0,1.728515625,0.4907103778326079
GCDH,0.0,1.9501953125,0.4902258431575001
BPHL,0.0,1.90087890625,0.4895097301629716
GOT2,1.0,1.8818359375,0.48904153763557556
ACOX1,0.0,1.8291015625,0.4888735083854334
CYP3A5,1.0,1.81982421875,0.4887099876408948
GCGR,0.0,1.8603515625,0.4885834908944377
APOL1,0.0,1.83349609375,0.48780945444428053
C4BPB,0.0,1.76953125,0.4876494482358315
GPBP1L1,0.0,1.8876953125,0.4873621260131609
ASB13,0.0,1.92041015625,0.4857616528198095
CMPK1,1.0,1.8681640625,0.4848629984541858
HSPA9,0.0,1.826171875,0.484764663115247
KLF15,0.0,1.9423828125,0.4846881031704346
SRRM2,0.0,1.8017578125,0.48465457688227226
EIF4A1,3.0,1.8544921875,0.48427559809124804
UBR4,0.0,1.884765625,0.48419544588638436
SELK,3.0,1.93359375,0.4841166830043526
ETFDH,0.0,1.87109375,0.48411482752076074
DCPS,3.0,1.8935546875,0.4840988703996443
ID2,3.0,1.8544921875,0.4840709992910341
JUN,3.0,1.96044921875,0.48364228385916697
CBR1,0.0,1.8740234375,0.4832487259975789
SERP1,1.0,1.87841796875,0.4830887827026123
CRAT,0.0,1.8994140625,0.48307958291918496
C8A,0.0,1.7451171875,0.4830163338678708
LDHD,0.0,1.8935546875,0.48298367576995677
FLNB,0.0,1.8798828125,0.48283415463740753
ESPN,1.0,1.8427734375,0.4828245910114509
PRDX3,1.0,1.88916015625,0.48279585212357184
HPR,0.0,1.7451171875,0.4823904010517464
CFHR5,0.0,1.9619140625,0.4811607172363026
NRD1,3.0,1.96484375,0.48066824621734594
ARHGEF40,0.0,1.884765625,0.4803995491726471
PLA2G16,0.0,2.041015625,0.4797326261621981
SRSF6,3.0,1.9423828125,0.47947347922859346
HAO2,3.0,1.87548828125,0.47944921967240345
ALDH1L1,0.0,1.75,0.47943509251867844
UQCRC2,0.0,1.88916015625,0.47910906780852264
ALDH2,0.0,1.7236328125,0.4786780765731948
SMEK1,0.0,1.8349609375,0.4783770728529319
GCKR,3.0,1.92626953125,0.47835115853470944
PTPRF,0.0,1.8623046875,0.47798684565772115
PLGLB1,1.0,1.953125,0.47776244214671765
GADD45B,0.0,1.7607421875,0.4771462270189675
MARC2,3.0,1.8681640625,0.47691394171929374
NFIL3,1.0,1.92333984375,0.476670757442853
ATP5J2,0.0,1.8154296875,0.47636902134631204
NUMB,0.0,1.82763671875,0.47625261601543256
PCCB,0.0,1.890625,0.47620266707978404
CLDN14,0.0,1.970703125,0.47555842325916553
VMP1,3.0,1.927734375,0.47501299797276947
DDIT4,0.0,1.8349609375,0.47425594622287826
TMEM230,0.0,1.8681640625,0.4739517922476243
ATP6V1G1,3.0,1.81396484375,0.4738890626847173
NECAB2,3.0,2.0048828125,0.473668695582315
SLC51A,1.0,1.8818359375,0.4735961634469556
PC,0.0,1.7421875,0.47332402467457113
SKP1,1.0,1.8427734375,0.4731713855137163
SLC13A5,0.0,1.748046875,0.4723902802604844
MAOA,0.0,1.9423828125,0.4716218263883846
PPAP2B,3.0,1.8876953125,0.47146712740407964
HEBP2,0.0,1.91015625,0.47094899974936266
CEBPB,0.0,1.7529296875,0.47050335155635137
