Gene,Annotation,Median_GSS,PCC
SNX32,0.0,0.0,0.2553553967164864
PIK3CG,0.0,0.0,0.23458940797027927
ADAM32,0.0,0.0,0.23386594299923374
STT3A-AS1,0.0,0.0,0.2333548173349743
RP5-916L7.2,0.0,0.0,0.23142444888794242
ALCAM,5.0,1.9970703125,0.22119859999227243
HDAC4,5.0,1.95166015625,0.21387474562243391
STK4,0.0,0.0,0.2110752080259946
C1GALT1C1,5.0,1.94677734375,0.21042141560970992
RP11-256I23.2,0.0,0.0,0.210136239539836
RP11-112L6.3,0.0,0.0,0.20781525376140478
RP11-397G17.1,3.0,1.728515625,0.20425053537614232
ZSCAN1,0.0,0.0,0.20286109497740948
IL12A,0.0,0.0,0.20113358589710925
RP11-18H7.1,0.0,0.0,0.20052335339556013
RP11-524O1.4,0.0,0.0,0.19960177133560061
RP11-664I21.6,0.0,0.0,0.19960177133560061
XRN2,2.0,1.81689453125,0.19765066061270567
CTC-425F1.2,0.0,0.0,0.19685724068314858
KLF10,3.0,2.123046875,0.19595504683645645
TNNI3K,0.0,0.0,0.19453520421635573
AC009166.5,0.0,0.0,0.19373537833336257
LINC00968,0.0,0.0,0.19373537833336257
DCSTAMP,0.0,0.0,0.19373537833336257
SHANK1,0.0,0.0,0.19252676179950867
ARL5C,0.0,0.0,0.1923552188765287
CTD-2235H24.2,0.0,0.0,0.1923552188765287
SPOP,3.0,1.728515625,0.19145609979549644
RP11-446H18.6,0.0,0.0,0.1911898476727972
XPNPEP1,0.0,1.748046875,0.1905954553518793
AC004623.2,0.0,0.0,0.18800115098185238
CTXN1,0.0,0.0,0.18704748542082436
SGSM1,0.0,0.0,0.186686432365117
FAM131B,0.0,0.0,0.18643926536917357
CDC42,1.0,1.7529296875,0.18606256408775723
ARPC5,1.0,1.7666015625,0.18603958571990084
AC128709.4,0.0,0.0,0.18584288099480953
RP11-758N13.1,0.0,0.0,0.18522239484587785
CTD-2616J11.11,0.0,0.0,0.18522239484587785
ROR1,0.0,0.0,0.18522239484587785
CDH2,1.0,1.8994140625,0.18508753084661572
ERF,3.0,1.80859375,0.1847699746197723
CA8,0.0,0.0,0.18445042976735745
NBPF24,0.0,0.0,0.18445042976735745
PPCS,3.0,1.861328125,0.183472270109525
PAGE5,0.0,0.0,0.18271704902814015
CEACAM21,0.0,0.0,0.18254880411363336
RP11-498E2.7,0.0,0.0,0.1819673049886847
SYT7,3.0,2.072265625,0.18119282515454993
CLPTM1L,3.0,2.279296875,0.17921066815710784
UBR3,1.0,1.77294921875,0.1791318525295752
NDST1,1.0,1.89794921875,0.17895582190675655
RP11-278L15.2,0.0,0.0,0.17813789232409155
RP11-403P17.2,0.0,0.0,0.17813483912610403
CSTL1,0.0,0.0,0.17773496275759101
GLS2,3.0,2.279296875,0.17729472904043986
CTC-203F4.2,0.0,0.0,0.17727171697502164
CPB1,0.0,0.0,0.17706062059865552
PPARGC1A,1.0,1.8349609375,0.1752176709230609
