Gene,Annotation,Median_GSS,PCC
GLS2,3.0,2.279296875,0.2936629806369204
CSNK1G2,3.0,1.9052734375,0.28574267673802345
DPYD,5.0,1.87939453125,0.26307614394122947
HAL,3.0,2.00390625,0.26207011600249125
TCF4,3.0,1.728515625,0.25428452362414705
CALD1,3.0,1.8681640625,0.2530798853473806
CD276,3.0,1.7421875,0.2522410134685043
AHNAK,3.0,1.90234375,0.2507349533671445
SDSL,3.0,2.2041015625,0.24913795715639728
PSMB5,3.0,1.88916015625,0.24871446385499565
FURIN,1.0,1.798828125,0.24631222558834528
MLST8,3.0,1.8046875,0.24546043666534628
RPS4Y1,3.0,1.8740234375,0.244652109574872
HES1,3.0,2.0654296875,0.24459507781965
ARHGEF17,3.0,1.861328125,0.24455858656108934
MINOS1,3.0,1.896484375,0.24190706925257302
VEZF1,3.0,1.8349609375,0.24085835353815216
AMDHD1,3.0,1.9248046875,0.24023736049302924
MTHFD2L,3.0,2.15625,0.23856325241958604
LITAF,5.0,1.99560546875,0.23724864972937437
FOXP1,3.0,1.748046875,0.23654873360408102
SMARCB1,0.0,0.0,0.23485794829736795
C9orf3,3.0,1.86376953125,0.23211313269550116
SLPI,3.0,2.17578125,0.2313945764251791
MAD1L1,1.0,1.74072265625,0.229755430447931
NDUFA2,2.0,1.791015625,0.22905444509276618
FOSB,3.0,1.798828125,0.2288998903158804
SDS,3.0,1.7265625,0.2286597190892976
SOCS2,3.0,2.013671875,0.22843755533625362
TRIB1,3.0,2.109375,0.22799221245203566
NPW,3.0,2.1123046875,0.2279595924804935
PPP2R1A,3.0,1.86376953125,0.22768958525176897
AK1,3.0,1.8408203125,0.22632467126043343
PRDX6,0.0,1.7373046875,0.2254618840795722
GALNT2,1.0,1.8515625,0.2252988739954118
CTGF,4.0,2.38671875,0.2247721783659487
BTF3,3.0,1.8291015625,0.22456469667019882
AHSA2,3.0,1.837890625,0.22439904330029564
SLC25A20,3.0,1.88623046875,0.2235788605230505
CCL21,3.0,2.3212890625,0.22353264405064766
HMGN2,3.0,1.90234375,0.22285390169910027
C8orf4,3.0,1.884765625,0.22217863211381486
FAM83A-AS1,3.0,2.130859375,0.22193080470069546
SSU72,5.0,1.8349609375,0.22180754702095828
CLPTM1L,3.0,2.279296875,0.22116998269254248
YWHAB,2.0,1.83349609375,0.22108083869227205
PLGLB1,1.0,1.953125,0.21913515945347087
PPP2CB,3.0,1.81689453125,0.218206189671876
DGCR6L,3.0,1.8095703125,0.21795046644061847
BPHL,0.0,1.90087890625,0.21718389750043232
C1orf63,3.0,1.861328125,0.21712869534455503
LPA,3.0,2.0048828125,0.21712445666626914
COLEC11,3.0,1.8994140625,0.21637466671809583
PRDM2,3.0,1.8017578125,0.21626890462939438
PDIA5,3.0,1.8623046875,0.2159249499833017
FAM46A,3.0,1.83056640625,0.2158217770466994
CYP3A7,1.0,1.9560546875,0.21559762005587266
NPC1L1,3.0,1.9189453125,0.2151781250468872
TBL2,3.0,1.771484375,0.21504800618836029
ST3GAL1,0.0,1.8046875,0.21497166437839862
B3GAT1,3.0,1.92919921875,0.21467366485652392
