Gene,Annotation,Median_GSS,PCC
GFRA4,15,3.267578125,0.7588871690911031
SVOP,15,2.59765625,0.7301143788155299
ACTL6B,16,2.87890625,0.719001697296659
OLA1,16,2.51171875,0.7170017610821465
FAM171A2,16,3.087890625,0.7146153264686627
PPP2R2B,12,2.32421875,0.7144330017832182
USP14,15,2.197265625,0.7130369537646396
MAPK14,16,2.765625,0.7128490625377373
GNB5,13,2.53515625,0.7113223104276725
TRIM32,8,2.1240234375,0.7096859165559256
PACS1,16,2.615234375,0.7062250934040935
ASNS,16,2.470703125,0.7034609042501716
CNRIP1,15,3.21484375,0.7019033359281712
ATL1,16,2.43359375,0.700630036536474
NETO2,16,3.197265625,0.7003836961303139
FDX2,16,2.3828125,0.6982107725014577
SLITRK5,16,3.826171875,0.6971633738357057
DOHH,12,2.30859375,0.6970225535232036
UCHL5,15,2.353515625,0.6962234658529853
RHOF,16,2.541015625,0.6941468124600461
NBEA,16,2.36328125,0.6939463033149526
TMEM240,16,2.41015625,0.6932525601687652
WDR47,15,2.736328125,0.6926212107763431
USP33,16,2.55859375,0.689854433218265
DMXL2,16,2.625,0.6898007521184878
CAP2,16,2.650390625,0.6879712438139585
B4GALNT1,16,2.904296875,0.6878133453812444
MTFP1,12,2.640625,0.6876148620562861
LRP11,16,2.623046875,0.6874494779025975
CCDC32,16,2.8984375,0.6872104017973898
BTBD10,16,2.943359375,0.6866358583271676
APPL1,12,2.0859375,0.6853614273179085
LRRC4C,9,2.787109375,0.6850193338496507
HARS1,16,2.3671875,0.6850171999788373
RAP2A,8,2.482421875,0.6842729190711204
BAP1,16,2.357421875,0.6835116550950303
FBXW5,16,2.443359375,0.6826492215082562
PPP5C,16,2.259765625,0.6821841473598041
GUCY1B1,13,2.76171875,0.6816425387382385
DLG3,16,2.814453125,0.6816304688714783
KLHDC3,8,2.146484375,0.6814936287235884
BRI3BP,16,2.373046875,0.6812852531769675
TGIF2-RAB5IF,15,2.40234375,0.6808561717016242
NKIRAS1,16,2.24609375,0.6808043585746864
LANCL1,16,2.193359375,0.6805866514645984
PORCN,16,3.091796875,0.6804685512625439
NAP1L2,12,2.435546875,0.6803996929037627
RAPGEF2,15,3.13671875,0.6801266502415958
SPTBN4,16,2.671875,0.6799736915909195
TMEM14A,16,2.8515625,0.6796953103444725
ABI2,16,2.30859375,0.6796209178660546
MADD,15,2.435546875,0.6795919884606779
SLC25A14,12,2.890625,0.6791735177027448
RIMBP2,15,3.173828125,0.6790318432574332
PIK3R2,16,2.66796875,0.6787963050989395
IDH3A,15,2.056640625,0.6787909317104535
RMND5B,16,3.087890625,0.6783326513719707
MMP17,15,3.4296875,0.6782278191570278
TUSC3,12,2.552734375,0.6781933897838736
SLC4A10,8,2.568359375,0.6774074312310476
PARD6A,16,2.5390625,0.6770481668803974
DTNBP1,16,2.5703125,0.6768142618879781
SLITRK1,7,2.87890625,0.6766715962684186
DPYSL4,11,2.576171875,0.676626852357811
EIF4G3,9,2.017578125,0.6764131927235105
BAG4,16,2.919921875,0.6763264753857625
RAB24,12,2.3203125,0.6760621299944155
CDKN2D,16,2.44921875,0.6756388483162946
LIN7B,16,2.80078125,0.6755749027588986
CELSR2,16,2.373046875,0.6746071692450394
FGF12,9,2.2998046875,0.6746021475450766
ATCAY,16,2.419921875,0.6745819723911609
RALGAPA1,16,2.759765625,0.6745084241723684
MRTFB,16,2.50390625,0.674086133603645
GPD1L,16,2.87890625,0.673937580030008
PCMT1,15,2.119140625,0.673769648652262
PLCL2,16,3.091796875,0.6737133701856296
NECAP1,16,2.328125,0.6731319248941559
EIPR1,5,2.470703125,0.6730055883046465
MAPK9,12,2.234375,0.6729811677269557
SLC39A10,7,2.576171875,0.6721449846073999
STXBP5,16,3.177734375,0.6718314632191856
MAPK10,16,2.18359375,0.6707812658620385
DNAJB6,15,2.0390625,0.6706441460721659
RTCA,15,2.552734375,0.6702019848579974
DOCK3,8,2.4970703125,0.6700786650872119
NOL6,16,2.837890625,0.669775729912587
PI4KA,16,2.130859375,0.6696249343645001
NUMBL,16,3.642578125,0.6696122749820046
UBL7,16,2.646484375,0.6693909270560457
WDR48,16,2.517578125,0.6690582536174721
UNC5A,16,3.751953125,0.6683608373420666
UBR3,15,2.392578125,0.667167362617455
FABP3,16,2.181640625,0.6669385905391378
RNF126,16,2.314453125,0.6666488651210533
NCKIPSD,15,2.701171875,0.6662619795159566
GABRG2,9,2.369140625,0.6661608510473981
ATF2,16,2.439453125,0.6658917486455379
PSMB10,12,2.208984375,0.6654160065161419
SNX10,15,2.458984375,0.6653731723426723
HS2ST1,16,2.43359375,0.6653174185952955
DMTN,7,2.16015625,0.6650309880124431
KPNA1,16,2.619140625,0.6648585149205689
COPS7A,15,2.24609375,0.664801129873309
KIFAP3,16,1.994140625,0.6646420430758012
EMC4,16,2.07421875,0.6643801880035461
PARP6,16,2.494140625,0.6643338001103619
TSNAX,7,2.470703125,0.664328243307256
MYT1L,16,2.453125,0.6642488362903736
PPP1R9A,13,2.318359375,0.6641917318402487
SLC25A12,15,2.298828125,0.6637479810989233
LARGE1,16,3.025390625,0.6635628225324426
IPO5,11,2.255859375,0.6634642032314233
SLC25A22,15,2.6015625,0.662954204677707
PSMA5,12,2.17578125,0.6628327167680418
NHP2,16,2.556640625,0.6628020623934392
ANKRD34A,16,2.587890625,0.6627559062030617
ELP1,16,2.525390625,0.6626405312065484
MEF2D,16,2.484375,0.6626337222148933
RPRD1A,16,2.2734375,0.6625012076563737
RAB15,15,3.11328125,0.662365754115023
TOMM70,13,2.3583984375,0.6618515084840144
WDR7,15,2.5,0.6616270627852449
CALM2,16,1.7236328125,0.6615512491489195
MRTFA,16,4.0625,0.6614667121375245
SLMAP,16,2.837890625,0.6613319618348031
NOCT,16,3.314453125,0.6613076634357582
SERPINI1,5,2.56640625,0.660123811417884
CLSTN3,11,2.033203125,0.6591964379939328
NEDD4L,16,2.77734375,0.6587684482073423
STRN4,16,2.3203125,0.6587352014148034
ZNHIT3,16,2.697265625,0.6585121474900179
GPRIN1,16,3.001953125,0.6580334616106898
NAT14,16,2.84765625,0.6578690188554246
ATG16L1,15,2.458984375,0.657713776646702
PDE1A,8,3.306640625,0.6576667696162072
PFKP,8,2.18359375,0.65760921267579
LSM14B,13,2.5458984375,0.6571808015860428
FBXO25,16,2.765625,0.6567318133023059
ARFGAP1,16,2.671875,0.6565790216849716
GNAZ,5,2.3203125,0.6561853587753169
RABGAP1L,15,3.017578125,0.6561638178814424
RPUSD1,12,3.021484375,0.6560966356324599
ACTR3,16,2.349609375,0.6558568674793203
KLHL22,15,2.7734375,0.6553871891927404
ARFIP2,15,2.58984375,0.6552830669600611
ERC2,15,3.50390625,0.6551580671732616
ADSS2,15,2.376953125,0.655045122260215
AP3B2,16,2.240234375,0.6548607776662119
DLAT,15,2.611328125,0.654725848791076
ATG101,16,3.271484375,0.6543394368223365
MAP1S,16,2.470703125,0.6542157521916414
ANXA7,15,2.765625,0.6541763064365329
PTGES2,16,2.576171875,0.6540697315399221
EPHX4,16,3.802734375,0.6540377523128927
VPS26B,15,2.748046875,0.6537765026989162
ARPC3,16,2.212890625,0.6535053976679179
DYM,16,2.22265625,0.6531567047408384
STAU2,15,2.376953125,0.6530495748079348
TANC2,8,2.380859375,0.6527850294533319
P4HTM,16,2.658203125,0.6527366815348217
ACTR3B,16,3.251953125,0.6527106204793832
UBE2QL1,15,2.33984375,0.6525439299887086
BRWD1,16,2.55859375,0.6524061366469885
ATP6V1D,12,1.958984375,0.6523310955384686
KATNB1,16,2.7890625,0.6522882013381426
ARHGAP26,9,2.68359375,0.6522649495527861
ATP6V1C1,15,1.9912109375,0.6521475031794752
BTRC,16,2.7109375,0.6521318995551432
SCN2A,9,2.205078125,0.651958445866575
INTS1,16,2.24609375,0.6513769905720762
ZC2HC1A,16,2.759765625,0.6513579821770241
NEURL4,15,2.56640625,0.6512829938290616
CYB561,11,2.625,0.6512490796559345
CHCHD6,12,2.255859375,0.6510131892225728
TUSC2,12,2.298828125,0.6508266359590053
PGS1,15,2.572265625,0.6505280961667711
PSMA1,12,2.298828125,0.6505079821329722
PPME1,8,2.0966796875,0.650376216784739
SSU72,16,2.0234375,0.6500877478448179
HRAS,13,1.908203125,0.6500700008021821
RTN3,15,1.728515625,0.6497426205099038
ELMOD1,16,2.466796875,0.6496849872064264
KCNQ2,15,2.400390625,0.6496250988719935
NCOA7,16,2.470703125,0.6494762433579023
RYR2,15,3.779296875,0.6494726593923498
GGT7,15,2.517578125,0.6494627260952368
HERC3,16,2.841796875,0.6494119208093521
TIMM10,16,2.5703125,0.6491946215231025
TCAF1,16,2.1875,0.6490106953509513
SNX32,16,2.43359375,0.6487774875506425
KIF2A,15,2.6640625,0.6486694484714526
MARK1,9,3.01953125,0.6485798843105737
FBXO41,15,2.68359375,0.6483214060612893
CACNB1,16,3.33984375,0.6483107628986098
SNAP91,15,2.046875,0.6482533703854704
ACTR1B,9,2.130859375,0.6478473162698524
AP4S1,12,2.4296875,0.6475998366740282
SYT16,16,3.3828125,0.6475978875920715
MAP4K3,16,3.54296875,0.6472689636944409
NAB2,16,3.28515625,0.6471855504282713
UBALD1,16,2.279296875,0.6470766171219041
FBXL2,9,2.44140625,0.6468842471232956
DNAJC30,16,2.513671875,0.6468798601630515
CEP19,16,2.875,0.6466598902210501
GAK,16,2.447265625,0.6463097833025442
UMAD1,16,2.87890625,0.6462789029993958
ACTA1,13,2.8828125,0.6459527313434249
APOO,16,2.826171875,0.6459024042695317
TCEAL6,12,2.5,0.6458071729034717
ROCK2,16,2.32421875,0.6451773126853634
CDK17,16,2.890625,0.6451761296193186
ABI1,16,2.623046875,0.6451625493223885
ZNF428,16,2.494140625,0.644854188652216
SEH1L,16,3.4375,0.6448264100362426
VOPP1,8,2.6884765625,0.6447503249117493
EGR1,16,4.171875,0.6445039933917119
POP5,15,2.228515625,0.644501889666665
DNAJA2,16,2.05078125,0.6444456657592839
RTF1,16,2.38671875,0.6441853502571487
CALN1,11,2.904296875,0.6439816524495555
VSTM2A,12,2.8515625,0.643792610771005
PIP4K2C,15,3.5703125,0.6437788753477559
