Gene,Annotation,Median_GSS,PCC
DEPDC1B,0.0,0.0,0.35789524975607856
SHISA6,0.0,0.0,0.34276154159651895
FOXE1,0.0,0.0,0.32540259521966236
CELSR3,0.0,0.0,0.32288958547602703
ENHO,1.0,1.908203125,0.3049533373595474
CAMK2A,0.0,0.0,0.30408700257353327
ABLIM2,0.0,0.0,0.2940764803224267
SMCO1,0.0,0.0,0.28881931174450054
CHL1,0.0,0.0,0.28615708547243124
GHRHR,0.0,0.0,0.284031848474264
MACROD2,0.0,0.0,0.28069560896328943
PAPLN,0.0,0.0,0.280444351914724
NTM,0.0,0.0,0.2708844968954884
VIL1,0.0,0.0,0.269102626947672
CTCFL,0.0,0.0,0.2619157050996346
DMRTA1,0.0,0.0,0.25300163030499345
C12orf73,3.0,1.927734375,0.2524490767850582
SYNJ2,1.0,1.72216796875,0.25106200051982025
CYP8B1,1.0,1.734375,0.25063588766254413
ABHD15,3.0,1.7939453125,0.24872265130097088
HPD,3.0,1.7265625,0.24327077343193845
SLC35G2,0.0,0.0,0.24148086706279748
PAX5,0.0,0.0,0.24079749728278776
GRIA2,0.0,0.0,0.24061635766625375
SLC9A2,0.0,0.0,0.23964765948012565
CDO1,1.0,1.7314453125,0.23931952786547311
COMMD10,1.0,1.7607421875,0.23760679068825155
GFPT2,0.0,0.0,0.23570488467631767
METAP1D,1.0,1.880859375,0.23512236286620802
PDZD9,0.0,0.0,0.2344921788120364
MCM3,1.0,1.7373046875,0.2340210001979608
PSMC3IP,0.0,0.0,0.23327257421904743
LONP2,3.0,1.75,0.23250320881675768
PPP1R14C,0.0,0.0,0.2325009944496278
PON1,3.0,1.77734375,0.2313152304468584
BBS5,0.0,0.0,0.2311681407634103
ATP7B,2.0,1.90234375,0.2307838994176738
CSAD,3.0,2.044921875,0.22989077589143786
UPK1A,0.0,0.0,0.2298116548855292
ZNF672,1.0,1.8349609375,0.22765912328091598
RGN,3.0,1.7880859375,0.22756081599483358
RIC3,0.0,0.0,0.22615702380330188
SPX,0.0,0.0,0.22553962565026503
ACOT8,3.0,1.9306640625,0.2214446552053599
C17orf80,4.0,1.7880859375,0.22000122341219494
NR1I3,1.0,1.9853515625,0.21724524296209138
VPS13C,2.0,1.7880859375,0.21704713215511356
SGSM1,2.0,1.76220703125,0.21657230936227911
CYP1A2,3.0,1.8427734375,0.21645568188607225
CD99L2,1.0,1.771484375,0.21609117113351342
STMP1,3.0,1.8154296875,0.21574657434174246
SHCBP1,0.0,0.0,0.21542072088754485
WDR76,0.0,0.0,0.21538175328024123
SLCO1A2,3.0,1.791015625,0.21485412896527234
LRIT2,3.0,1.7529296875,0.21414833130522656
IL17RA,1.0,1.92333984375,0.21401173732476445
SOD1,3.0,1.734375,0.21350645946600605
INHBC,3.0,2.00390625,0.21294016928295162
DLEC1,2.0,1.87841796875,0.2125348529729979
MSRA,3.0,1.818359375,0.21243426674139773
TRIM32,1.0,1.7275390625,0.21227603426992356
TWIST1,0.0,0.0,0.21217633641741046
CYP2E1,1.0,1.7314453125,0.2120895923067011
UCK1,3.0,2.19140625,0.21207260487677962
AQP3,0.0,0.0,0.21203363483633816
TSKU,2.0,1.88916015625,0.21155854426811485
OSBPL11,1.0,1.8212890625,0.21141768080699935
SMYD4,2.0,1.76806640625,0.21109935243912237
NREP,2.0,1.81689453125,0.21092513029860677
LRRN3,0.0,0.0,0.21058716987490694
GID4,1.0,1.80029296875,0.21035049948495185
CYP27A1,3.0,1.8291015625,0.2102591830799338
WDPCP,1.0,1.7265625,0.21021462354468082
ANG,3.0,1.734375,0.21019029140572099
PTCD1,0.0,0.0,0.20962126167628292
TMEM150A,2.0,1.78515625,0.20954922709684523
MS4A1,0.0,0.0,0.2095491845748355
DGKE,1.0,1.72216796875,0.20927292435922182
SDK1,0.0,0.0,0.2087132657638393
ARG2,0.0,0.0,0.2087132657638393
LECT2,3.0,2.12890625,0.2079735881421042
