Gene,Annotation,Median_GSS,PCC
CDC42SE1,0.0,0.0,0.2811993598934067
DNAJC5,2.0,1.82763671875,0.28115824125867955
LDLR,4.0,1.8818359375,0.2550734938401466
SEPHS2,2.0,1.728515625,0.25182504781025394
SLC39A1,2.0,2.37890625,0.24434740323374451
SLC39A7,4.0,1.8125,0.24115945732153374
RAB27A,2.0,1.79736328125,0.23976077334058354
FMR1NB,2.0,1.77734375,0.23604877757577675
KCNAB1,0.0,0.0,0.23506032736947116
RBP1,2.0,1.970703125,0.2348160549316693
PSMG2,4.0,1.890625,0.23454042125830216
CNGA1,0.0,0.0,0.2331564755928585
ZNRF2,4.0,1.78515625,0.2324658562051513
GM2A,2.0,2.150390625,0.2294251609406402
ARHGEF1,4.0,1.921875,0.2283411313778301
DHX16,2.0,1.80615234375,0.22681057584731118
IRF6,2.0,1.8046875,0.22447356825355586
G6PC,4.0,2.00390625,0.22441883076077804
RUNX1T1,0.0,0.0,0.22076666984667123
EGR1,2.0,1.8603515625,0.2206709812253817
UROC1,2.0,2.419921875,0.2201112719531789
SNRNP200,3.0,1.8935546875,0.21952005534297442
RPGRIP1,2.0,2.3876953125,0.21623523772970202
SRD5A1,4.0,1.82421875,0.21592649578605144
TMEM125,2.0,1.82763671875,0.2143706765827013
PDIA3,3.0,1.7802734375,0.21316709391860109
LPIN1,4.0,2.12890625,0.2127538601416344
MRM2,0.0,0.0,0.21245434218751266
MYO1B,1.0,1.82421875,0.21197358384929746
CEBPA,2.0,1.7529296875,0.21188298073497105
ADAMTS4,0.0,0.0,0.21185170340697393
PFDN1,1.0,1.78564453125,0.20983226441266112
PYGL,0.0,1.7373046875,0.20971750641103823
ANK3,2.0,1.79736328125,0.2096818609620354
LUC7L2,2.0,1.98095703125,0.20902979804927885
GSS,2.0,1.82763671875,0.20835452764973153
TMCC2,4.0,1.791015625,0.20774962029430555
ABHD2,2.0,2.279296875,0.20756383486655364
BTBD11,0.0,0.0,0.20727237253115438
MYL7,0.0,0.0,0.20716103902979227
AJUBA,4.0,1.8291015625,0.20690945824526513
CCDC152,2.0,4.005859375,0.20686154872616921
ASB2,4.0,1.798828125,0.20672227243560778
RNPS1,4.0,1.939453125,0.2057688603429906
GPS2,4.0,2.03515625,0.20559325719100446
SLC8B1,2.0,1.7744140625,0.20555542028504856
FOXK2,4.0,1.9970703125,0.20511538845515084
FAM98B,2.0,1.77587890625,0.20476515720232166
BICD1,0.0,0.0,0.2036205006213798
NT5C3B,0.0,0.0,0.2028092140735331
ZKSCAN1,2.0,1.8076171875,0.2026736339694901
ENPP2,3.0,1.748046875,0.20233949834901688
TGM4,0.0,0.0,0.20223433005314354
SUPT16H,0.0,0.0,0.2018086068896587
CCNC,2.0,1.89208984375,0.2002016317337173
POLR3C,2.0,1.818359375,0.20014724886999116
RBMS3,4.0,1.7939453125,0.19988077814647878
REXO1,4.0,1.826171875,0.1998209892717193
GUCA1A,0.0,0.0,0.19959755123153378
NGF,4.0,1.9970703125,0.19868391585813233
DXO,0.0,0.0,0.19862199316971704
TET3,0.0,0.0,0.197841760218074
FKBP8,3.0,1.7607421875,0.19749965486297097
ABRACL,4.0,1.8603515625,0.1973783947193654
RANBP2,2.0,1.8408203125,0.19723644425029013
MIOX,0.0,0.0,0.19668096765591964
EDC4,1.0,1.75,0.19665987490418546
CDH3,0.0,0.0,0.19652199666706194
BIRC6,2.0,2.19140625,0.1965114641377892
C6orf47,2.0,1.876953125,0.19636676605253836
PRODH2,2.0,1.7607421875,0.1962353876877915
CTNND2,0.0,0.0,0.1960631024340345
TMEM176A,3.0,1.7939453125,0.19564919424491983
E2F4,0.0,0.0,0.1956369194426586
BBX,0.0,0.0,0.19561984388433717
PACS1,0.0,0.0,0.19552895102527063
TMEM215,0.0,0.0,0.19528507505305154
CKMT1B,0.0,0.0,0.19508059854730295
CMKLR1,4.0,1.8017578125,0.19485150420183853
IGBP1,2.0,1.81689453125,0.19469917576703555
PRPF39,2.0,2.02734375,0.19420779911586775
UBA3,1.0,1.7626953125,0.19396624788550354
SLC7A6,0.0,0.0,0.19324120151692437
LITAFD,0.0,0.0,0.1931095488736311
OXR1,3.0,1.8408203125,0.19301151935524927
PAPLN,0.0,0.0,0.19260306255895876
SKAP2,4.0,1.8623046875,0.19215892300856918
C7orf50,0.0,0.0,0.19171318314106428
AXIN1,4.0,1.8125,0.19162553777558675
BCAR3,3.0,1.857421875,0.19150644435366002
TMEM60,3.0,1.75,0.1914473075833247
ELOVL6,0.0,0.0,0.1908676517039707
MCCC1,3.0,1.8046875,0.1900605963281315
SF3B1,3.0,1.865234375,0.19000528121465263
ABCE1,4.0,1.8017578125,0.18994300348554896
SLC2A10,0.0,0.0,0.18987723040298687
ATP1B1,4.0,2.24609375,0.18978391572598208
EQTN,0.0,0.0,0.1895936291449283
ERBB4,0.0,0.0,0.18908412447813894
NR2F2,4.0,1.916015625,0.18861694132326323
GPBP1L1,2.0,1.90234375,0.18859857664669946
NDUFV1,3.0,1.798828125,0.18841717427414284
LPGAT1,2.0,1.771484375,0.18840821043545414
ADRB1,0.0,0.0,0.18814099472486046
SRRM2,2.0,2.263671875,0.1877293492721834
IRF2,4.0,1.9765625,0.18673809504157407
PCLO,0.0,0.0,0.1867231451330674
RPS25,2.0,1.734375,0.18663324344426224
COPE,3.0,1.837890625,0.18661288755587346
MBD6,2.0,1.84423828125,0.1865318036476284
GTF3C2,0.0,0.0,0.18649195582296774
H1-0,2.0,1.783203125,0.1864037941147683
BRICD5,0.0,0.0,0.18610223443484586
ZFAND3,4.0,1.7392578125,0.18589407637108826
UBA5,3.0,1.791015625,0.18571131652557785
DNAI3,0.0,0.0,0.18542590794847869
IL6,0.0,0.0,0.18494096251833447
CENPO,0.0,0.0,0.18481738007558637
SLC22A2,0.0,0.0,0.18460320704869698
PRRC2C,2.0,2.0341796875,0.18438326451997303
GPAA1,3.0,1.953125,0.1843382821065405
VASH2,0.0,0.0,0.18359403331907126
AFM,0.0,1.7587890625,0.1831142768158487
ECHDC1,1.0,1.7421875,0.18301154552131577
ARHGEF12,3.0,1.7880859375,0.18184841511529362
FJX1,0.0,0.0,0.18178587934442164
CC2D1A,3.0,1.755859375,0.18147482034711768
BLM,1.0,1.734375,0.18143414246998713
PSMB10,2.0,1.845703125,0.1813512363459271
YWHAZ,2.0,1.7880859375,0.18124404006336758
RMDN3,2.0,1.763671875,0.18119900319694587
NUB1,3.0,1.857421875,0.1810999563643294
RIMS4,0.0,0.0,0.1808862249497204
EME1,0.0,0.0,0.18075291695280554
CORIN,0.0,0.0,0.18042050397789205
CASP3,0.0,0.0,0.18013033612780563
