symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
SCNN1B	0.7959406542347437	0.8917817535573896	No data	0.12158615952232422	No data	0.1624010578596413	No data	No data	sodium channel epithelial 1 subunit beta
CFTR	0.7419259164677009	0.9043029357527294	No data	0.6682972229921463	No data	0.9301520176114104	No data	0.5188723678843103	CF transmembrane conductance regulator
NR3C1	0.6949526177065776	0.5073176798253137	No data	0.9968309597718835	No data	0.4861851849438901	No data	0.6032966255762607	nuclear receptor subfamily 3 group C member 1
CHRM3	0.6720441263181459	0.41156870675044077	No data	0.9989205720592441	No data	0.16419638931598238	No data	No data	cholinergic receptor muscarinic 3
ADRB2	0.632181782313664	No data	No data	0.9990822557671732	No data	0.8161754523039655	No data	No data	adrenoceptor beta 2
PDE4A	0.6138256936028135	No data	No data	0.9806570843334406	No data	0.5807914390866725	No data	No data	phosphodiesterase 4A
SERPINA1	0.6058128783955439	0.7810212480387031	No data	No data	No data	0.9107830647607228	No data	No data	serpin family A member 1
PDE4D	0.6046513675914343	No data	No data	0.9806570843334406	No data	0.2789700460129132	No data	No data	phosphodiesterase 4D
CHRM1	0.6025787764955147	No data	No data	0.9891234565093794	No data	0.041457503003792494	No data	No data	cholinergic receptor muscarinic 1
PDE4B	0.5992982146644668	No data	No data	0.9806570843334406	No data	0.10285944434579726	No data	No data	phosphodiesterase 4B
PDE4C	0.5961716434623153	No data	No data	0.9806570843334406	No data	No data	No data	No data	phosphodiesterase 4C
SCNN1A	0.5892828502205526	0.7061561478766073	No data	0.12158615952232422	No data	0.07117856422036063	No data	No data	sodium channel epithelial 1 subunit alpha
ADORA1	0.5850139213796277	0.15458685414451157	No data	0.9214952334868965	No data	0.09726892761785938	No data	No data	adenosine A1 receptor
MMP1	0.5793980159767594	0.012158615952232422	No data	0.912350871291968	No data	0.7872782434654004	No data	No data	matrix metallopeptidase 1
MMP8	0.576852045717284	No data	No data	0.912350871291968	No data	0.7305388349575531	No data	No data	matrix metallopeptidase 8
FAM13A	0.5759327058473241	0.7422627001957001	No data	No data	No data	0.8791737082858997	No data	No data	family with sequence similarity 13 member A
PDE3A	0.5722459631042832	No data	No data	0.9399333126009729	No data	0.02735688589252295	No data	No data	phosphodiesterase 3A
PDE3B	0.5721401195403444	No data	No data	0.9399333126009729	No data	0.023874793379536387	No data	No data	phosphodiesterase 3B
CA4	0.5712846134608313	No data	No data	0.9360722249447112	No data	0.07295169571339452	No data	No data	carbonic anhydrase 4
ADORA2A	0.5706581019519898	No data	No data	0.9214952334868965	No data	0.3438802476880496	No data	No data	adenosine A2a receptor
CA2	0.5699910839694349	No data	No data	0.9360722249447112	No data	0.030396539880581056	No data	No data	carbonic anhydrase 2
CA1	0.569067134332723	No data	No data	0.9360722249447112	No data	No data	No data	No data	carbonic anhydrase 1
CA12	0.569067134332723	No data	No data	0.9360722249447112	No data	No data	No data	No data	carbonic anhydrase 12
ADORA3	0.5681428264836947	No data	No data	0.9206508851568804	No data	0.2780184712348231	No data	No data	adenosine A3 receptor
MMP7	0.5679465463221103	No data	No data	0.912350871291968	No data	0.4375614293001696	No data	No data	matrix metallopeptidase 7
ADRB1	0.5659662091701093	No data	No data	0.9261298237079951	No data	0.0968322961416496	No data	No data	adrenoceptor beta 1
SCNN1G	0.5629577014107808	0.7295169571339454	No data	0.12158615952232422	No data	0.0493521598894434	No data	No data	sodium channel epithelial 1 subunit gamma
ADORA2B	0.561964888568357	No data	No data	0.9206508851568804	No data	0.07477369601997794	No data	No data	adenosine A2b receptor
MMP13	0.5597377178315411	No data	No data	0.912350871291968	No data	0.1675034383966302	No data	No data	matrix metallopeptidase 13
HMGCR	0.552057171149192	No data	No data	0.9026511182979325	No data	0.10882017658270596	No data	No data	3-hydroxy-3-methylglutaryl-CoA reductase
OPRM1	0.5512097590376843	No data	No data	0.905026388856836	No data	0.03343619386863916	No data	No data	opioid receptor mu 1
PDE5A	0.5388194803174291	No data	No data	0.8788295437532743	No data	0.14975174268937458	No data	No data	phosphodiesterase 5A
ELANE	0.535817894617561	No data	No data	0.8680387720956679	No data	0.2668195647100877	No data	No data	elastase, neutrophil expressed
TET2	0.5325813813301392	0.8651585188801688	No data	No data	No data	0.21794825703374626	No data	No data	tet methylcytosine dioxygenase 2
ADGRG6	0.5261259702889298	0.8615416164234219	No data	No data	No data	0.07791308650056937	No data	No data	adhesion G protein-coupled receptor G6
VDR	0.5208260825148906	No data	No data	0.8264682202321342	No data	0.6050227512987852	No data	No data	vitamin D receptor
TGFB2	0.5113522181905039	0.6673672846999157	No data	No data	No data	0.3116909019809899	No data	No data	transforming growth factor beta 2
THSD4	0.5010460551074223	0.8219968657138761	No data	No data	No data	0.04371697913491568	No data	No data	thrombospondin type 1 domain containing 4
BTC	0.48748854866199864	0.8008177671355962	No data	No data	No data	0.021277577916406734	No data	No data	betacellulin
ADAM19	0.4849783342924484	0.7918844991137908	No data	No data	No data	0.11736069776157407	No data	No data	ADAM metallopeptidase domain 19
MTCL1	0.48385313378527217	0.7927100279200682	No data	No data	No data	0.06383273374922022	No data	No data	microtubule crosslinking factor 1
HSPA1A	0.47651118652123897	0.7789113344398895	No data	No data	No data	0.09826768830267703	No data	No data	heat shock protein family A (Hsp70) member 1A
