symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
NOD2	0.8446716695520384	0.9289269095527403	No data	No data	No data	0.6727797577266068	0.13755176419601767	0.30202002025345337	nucleotide binding oligomerization domain containing 2
IL12B	0.6764591086913981	0.6996271554062559	No data	0.9350422117906323	No data	0.12486903825682467	No data	No data	interleukin 12B
ITGA4	0.6692003453229094	0.5025009311468849	No data	0.9740506442836313	No data	0.04985444375621157	No data	No data	integrin subunit alpha 4
TNF	0.6244842904082233	0.06866811454018058	No data	0.9907310267537944	No data	0.4147801085169937	0.013494346275827055	0.45762328529546786	tumor necrosis factor
NR3C1	0.6097675223591641	No data	No data	0.9955505683218309	No data	0.14941408839340475	No data	No data	nuclear receptor subfamily 3 group C member 1
ITGB7	0.5992127325742584	No data	No data	0.9668683040490829	No data	No data	No data	0.3758228190835041	integrin subunit beta 7
PPAT	0.5915837342043185	No data	No data	0.9731103219782165	No data	No data	No data	No data	phosphoribosyl pyrophosphate amidotransferase
PTGS2	0.5782440292111265	No data	No data	0.921352099513582	No data	0.2521977948998438	0.400648993476229	0.2983724354677836	prostaglandin-endoperoxide synthase 2
DHFR	0.5670746540513326	No data	No data	0.930970953784197	No data	0.03647584785669727	No data	No data	dihydrofolate reductase
VDR	0.5629801162355452	No data	No data	0.9085260082474218	No data	0.20959019280820132	No data	0.25751948586828266	vitamin D receptor
PPARG	0.5562936940482628	No data	No data	0.9061318465398474	No data	0.14668344490351523	0.0717690068411359	No data	peroxisome proliferator activated receptor gamma
PTGS1	0.5543661987206905	No data	No data	0.9061318465398474	No data	0.11516911221420155	No data	No data	prostaglandin-endoperoxide synthase 1
ALOX5	0.5512555682770943	No data	No data	0.9057096723748392	No data	0.021277577916406734	No data	No data	arachidonate 5-lipoxygenase
TNFSF15	0.5287261278407335	0.8589465022395278	No data	No data	No data	0.2080836351141696	0.016364181955636454	No data	TNF superfamily member 15
MMP1	0.4930738480661156	No data	No data	0.7810222052649298	No data	0.0914226597808276	0.5603043903070987	No data	matrix metallopeptidase 1
ANKRD55	0.49159968680561583	0.8067664942899059	No data	No data	No data	0.037553236325797865	No data	No data	ankyrin repeat domain 55
MMP13	0.4876082891294507	No data	No data	0.7810222052649298	No data	0.02279740491043579	0.4109959149034107	No data	matrix metallopeptidase 13
MMP7	0.48733594294033716	No data	No data	0.7810222052649298	No data	0.0667035180712751	0.23329272706242776	0.2918067828535781	matrix metallopeptidase 7
HSPA1L	0.4868290635834234	0.8007968431539079	No data	No data	No data	No data	No data	No data	heat shock protein family A (Hsp70) member 1 like
MMP8	0.48369360484726565	No data	No data	0.7810222052649298	No data	0.021277577916406734	0.2828842257659356	No data	matrix metallopeptidase 8
JAK2	0.4828459072393821	0.6365144467184124	No data	0.6015530574944626	No data	0.33039640482065136	No data	No data	Janus kinase 2
C1orf141	0.4807192947992218	0.790746737437591	No data	No data	No data	No data	No data	No data	chromosome 1 open reading frame 141
PUS10	0.47064287182788866	0.770676184697532	No data	No data	No data	0.06991204172533642	No data	No data	pseudouridine synthase 10
SMAD3	0.4693226057388853	0.7697709024290794	No data	No data	No data	0.04458293780416287	No data	No data	SMAD family member 3
LRRK2	0.4661907742188335	0.7593766320359904	No data	No data	No data	0.1270939950781183	0.050269161986440325	No data	leucine rich repeat kinase 2
TRIM22	0.4661057073282714	0.7599134970145264	No data	No data	No data	No data	0.13589997376751223	No data	tripartite motif containing 22
CDKAL1	0.4649322437072391	0.7603791823516525	No data	No data	No data	0.08798109598768183	No data	No data	CDK5 regulatory subunit associated protein 1 like 1
SNX20	0.46409013842313407	0.761282020200182	No data	No data	No data	0.03343619386863916	0.01976436039311778	No data	sorting nexin 20
STAT3	0.4625807482687996	0.6015129446232775	No data	No data	No data	0.4058561219422062	No data	No data	signal transducer and activator of transcription 3
PTGER4	0.45985121561694897	0.7500082789777471	No data	No data	No data	0.1282410556597006	No data	No data	prostaglandin E receptor 4
PTPN2	0.45895325787496094	0.7431449482301083	No data	No data	No data	0.23596622459540317	No data	No data	protein tyrosine phosphatase non-receptor type 2
IL2RA	0.4560060906251001	0.7061102596012216	No data	0.13678442946261474	No data	0.12528858588489863	0.058721840678926364	0.3488914847493093	interleukin 2 receptor subunit alpha
BACH2	0.4547817430396499	0.7434534490139121	No data	No data	No data	0.09255970595880571	No data	No data	BTB domain and CNC homolog 2
IL23R	0.453398593459449	0.7363203490366389	No data	No data	No data	0.1897181848524147	No data	No data	interleukin 23 receptor
LACC1	0.452231868107892	0.7389683048062254	No data	No data	No data	0.09837557725595689	No data	No data	laccase domain containing 1
CUL2	0.4496041976987119	0.738956834575475	No data	No data	No data	0.012158615952232422	No data	No data	cullin 2
GPR65	0.44933027713146123	0.7373748154307638	No data	No data	No data	0.024317231904464845	0.023557941612470962	No data	G protein-coupled receptor 65
GRIN2A	0.44811557380520084	No data	0.4559480982087158	0.6231290675519116	No data	No data	No data	No data	glutamate ionotropic receptor NMDA type subunit 2A
KSR1	0.44390225652260884	0.7286656781104475	No data	No data	No data	0.030396539880581056	No data	No data	kinase suppressor of ras 1
