symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
SCN1A	0.9206844205802129	0.9580376998992	0.547137717850459	0.9986624442753564	No data	0.9456141916765378	No data	0.8145603538195492	sodium voltage-gated channel alpha subunit 1
SLC2A1	0.8870170398054079	0.9626835332947207	No data	No data	No data	0.8330950623945582	No data	0.44150129828213963	solute carrier family 2 member 1
GABRA1	0.8861268376892761	0.893173752152869	No data	0.9960153265188664	No data	0.2628548822027254	No data	0.9612883120464278	gamma-aminobutyric acid type A receptor subunit alpha1
ABCD1	0.8782123371346728	0.9543194566464939	No data	No data	No data	0.5936857050284187	No data	No data	ATP binding cassette subfamily D member 1
GRIN2A	0.8739715825389344	0.946408800361948	No data	0.8948796673420698	No data	0.35296614759681855	No data	0.3463803928158413	glutamate ionotropic receptor NMDA type subunit 2A
POLG	0.8708240545949332	0.9600549456551987	No data	No data	No data	0.15292085721063592	No data	No data	DNA polymerase gamma, catalytic subunit
AGXT	0.8704541685182461	0.9455828572462237	No data	No data	No data	0.30251557079402874	No data	0.4974984795288101	alanine--glyoxylate aminotransferase
GABRG2	0.8703105589760411	0.8920810084171491	0.5319394479101685	0.9960009848770283	No data	0.25224381973921356	No data	0.7793202845203174	gamma-aminobutyric acid type A receptor subunit gamma2
SLC6A8	0.8645048189446994	0.9403970323696617	No data	No data	No data	0.11370279700353524	No data	No data	solute carrier family 6 member 8
GATM	0.8623441293383876	0.9375594447146637	No data	No data	No data	0.11508860810029636	No data	0.25818820974565543	glycine amidinotransferase
GABRB3	0.8619566643198233	0.8655533489424224	0.547137717850459	0.9951118812342709	No data	0.407883882809223	No data	0.5197234742079585	gamma-aminobutyric acid type A receptor subunit beta3
KCNT1	0.8566931746902819	0.9301416530399362	No data	No data	No data	0.3335614299624148	No data	0.6995850799540433	potassium sodium-activated channel subfamily T member 1
SCN2A	0.8558229429428773	0.9074808164290001	No data	0.9986624442753564	No data	0.30046568617053326	No data	No data	sodium voltage-gated channel alpha subunit 2
HLCS	0.8544399222134104	0.9295638201710436	No data	No data	No data	0.05662356599197586	No data	No data	holocarboxylase synthetase
CLN8	0.8530915499278303	0.9393537228587139	No data	No data	No data	0.116435994749341	No data	0.4814872918187487	CLN8 transmembrane ER and ERGIC protein
PDHA1	0.8518169352507546	0.9365999336140616	0.19453785523571876	No data	No data	0.11817047950485529	No data	No data	pyruvate dehydrogenase E1 subunit alpha 1
SCN3A	0.8506237749687279	0.8560843678742918	No data	0.9986624442753564	No data	0.11617142659931323	No data	No data	sodium voltage-gated channel alpha subunit 3
UBE3A	0.8491640081049693	0.9332289740629	No data	No data	No data	0.4358901092465988	No data	0.892004422525751	ubiquitin protein ligase E3A
GAMT	0.8489941319091955	0.923561900243004	No data	No data	No data	0.09367102832526057	No data	No data	guanidinoacetate N-methyltransferase
SCN8A	0.8472393229728296	0.9229648241781442	No data	0.9986624442753564	No data	0.3588753572969225	No data	0.941320970117246	sodium voltage-gated channel alpha subunit 8
PCDH19	0.8458914102597975	0.9287924167654407	0.24317231904464845	No data	No data	0.4075993222185857	No data	No data	protocadherin 19
TPP1	0.8457726325474373	0.9373414325318721	0.57753425773104	No data	No data	0.2401498048480141	No data	0.6211574259018938	tripeptidyl peptidase 1
TBC1D24	0.8449008967046385	0.9297571542115304	No data	No data	No data	0.17090957525358946	No data	0.6453882008938211	TBC1 domain family member 24
BTD	0.8440438132346069	0.9171460037465212	No data	No data	No data	0.29295886530594994	No data	0.3603205837444078	biotinidase
PRRT2	0.8408553529953812	0.9131303423534729	No data	No data	No data	0.5678334403248303	No data	0.36489188560311525	proline rich transmembrane protein 2
CLN6	0.8405849995487236	0.9427197389036469	No data	No data	No data	0.1947282952162518	No data	0.38314838519472416	CLN6 transmembrane ER protein
