symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
PLG	0.700727637122091	0.6524155223212725	No data	0.9745347922524656	No data	0.6752286814536749	No data	No data	plasminogen
PCSK9	0.6575338005016443	0.6776075901215979	No data	0.8931516634910733	No data	0.8567825500237326	No data	No data	proprotein convertase subtilisin/kexin type 9
ITGB3	0.6526236258450295	0.3525998626147402	No data	0.9795866427291976	No data	0.2600865178200046	No data	No data	integrin subunit beta 3
ADRB1	0.623743121992045	No data	No data	0.9978514430193638	No data	0.5631725981519421	No data	No data	adrenoceptor beta 1
P2RY12	0.6234653153517626	No data	No data	0.9937964097508362	No data	0.6351338469516097	No data	No data	purinergic receptor P2Y12
ADRB3	0.6196178007699992	No data	No data	0.9936403699262206	No data	0.5116772567782276	No data	No data	adrenoceptor beta 3
ACE	0.618987096332373	0	No data	0.9777775325109221	No data	0.8081847869131802	No data	No data	angiotensin I converting enzyme
SERPINC1	0.6167115870761211	No data	No data	0.983307458028385	No data	0.622725477762747	No data	No data	serpin family C member 1
GUCY1B1	0.6149661036606282	0.28608470031219363	No data	0.9392407947631427	No data	0.03647584785669726	No data	No data	guanylate cyclase 1 soluble subunit beta 1
HMGCR	0.6136770993201062	0.0394879976514125	No data	0.9965744042469844	No data	0.13526218422486555	No data	No data	3-hydroxy-3-methylglutaryl-CoA reductase
ADRB2	0.6132975844034892	No data	No data	0.994061560251845	No data	0.2953279300802114	No data	No data	adrenoceptor beta 2
AGTR1	0.6124241592766066	No data	No data	0.9931712854059236	No data	0.2843990667617824	No data	No data	angiotensin II receptor type 1
ADRA1A	0.6094990108858942	No data	No data	0.9938152560913136	No data	0.17528671331135076	No data	No data	adrenoceptor alpha 1A
ADRA1D	0.6072066384988499	No data	No data	0.9938152560913136	No data	0.09987114311650791	No data	No data	adrenoceptor alpha 1D
NR3C2	0.6069116091483178	No data	No data	0.9635054796244767	No data	0.6963606548706113	No data	No data	nuclear receptor subfamily 3 group C member 2
ADRA1B	0.6053412375206912	No data	No data	0.9938152560913136	No data	0.038502283848736	No data	No data	adrenoceptor alpha 1B
CACNA1C	0.6031280289578536	No data	No data	0.9883593471517018	No data	0.07480926203943004	No data	No data	calcium voltage-gated channel subunit alpha1 C
CACNA1D	0.6015932459502046	No data	No data	0.9883593471517018	No data	0.024317231904464845	No data	No data	calcium voltage-gated channel subunit alpha1 D
CACNA1S	0.6008540862408351	No data	No data	0.9883593471517018	No data	No data	No data	No data	calcium voltage-gated channel subunit alpha1 S
CACNA1F	0.6008540862408351	No data	No data	0.9883593471517018	No data	No data	No data	No data	calcium voltage-gated channel subunit alpha1 F
SLC12A3	0.5963050076068013	No data	No data	0.9784447350339204	No data	0.04863446380892969	No data	No data	solute carrier family 12 member 3
PTGS2	0.5945908003296215	No data	No data	0.9660545379694425	No data	0.24004358898078607	No data	No data	prostaglandin-endoperoxide synthase 2
PTGS1	0.593188857511843	No data	No data	0.9660545379694425	No data	0.19392179935320722	No data	No data	prostaglandin-endoperoxide synthase 1
ITGA2B	0.5905522249709804	No data	No data	0.9618249514829856	No data	0.1917723226417022	No data	No data	integrin subunit alpha 2b
F2	0.5847482177157388	No data	No data	0.9458073474429219	No data	0.3211813790710016	No data	No data	coagulation factor II, thrombin
GUCY1B2	0.5709934055097302	No data	No data	0.9392407947631427	No data	No data	No data	No data	guanylate cyclase 1 soluble subunit beta 2 (pseudogene)
F2R	0.5642480053958266	No data	No data	0.9066612367713315	No data	0.4296777400718619	No data	No data	coagulation factor II thrombin receptor
OPRM1	0.5590888507227059	No data	No data	0.9187468098918403	No data	0.01823792392834863	No data	No data	opioid receptor mu 1
LPA	0.5577627787572883	0.8782505509251897	No data	No data	No data	0.7845373494542728	No data	No data	lipoprotein(a)
TUBB2A	0.5540687243632387	No data	No data	0.906385550340404	No data	0.10030858160591748	No data	No data	tubulin beta 2A class IIa
TUBB6	0.5514816653804459	No data	No data	0.906385550340404	No data	0.015198269940290528	No data	No data	tubulin beta 6 class V
TUBB3	0.55101969056209	No data	No data	0.906385550340404	No data	No data	No data	No data	tubulin beta 3 class III
TUBB	0.55101969056209	No data	No data	0.906385550340404	No data	No data	No data	No data	tubulin beta class I
TUBB2B	0.55101969056209	No data	No data	0.906385550340404	No data	No data	No data	No data	tubulin beta 2B class IIb
TUBB8	0.55101969056209	No data	No data	0.906385550340404	No data	No data	No data	No data	tubulin beta 8 class VIII
TUBB1	0.55101969056209	No data	No data	0.906385550340404	No data	No data	No data	No data	tubulin beta 1 class VI
TUBB4A	0.55101969056209	No data	No data	0.906385550340404	No data	No data	No data	No data	tubulin beta 4A class IVa
TUBB4B	0.55101969056209	No data	No data	0.906385550340404	No data	No data	No data	No data	tubulin beta 4B class IVb
VKORC1	0.5434774424209285	No data	No data	0.8858564939197339	No data	0.16245261869510544	No data	No data	vitamin K epoxide reductase complex subunit 1
SLC5A2	0.5359745782931409	No data	No data	0.8386574222718315	No data	0.8596012161638439	No data	No data	solute carrier family 5 member 2
GLP1R	0.5329546628505357	0.06912252069132405	No data	0.8386574222718315	No data	0.6066449827967908	No data	No data	glucagon like peptide 1 receptor
PHACTR1	0.5307845777156377	0.8482839634019529	No data	No data	No data	0.49632725641840164	No data	No data	phosphatase and actin regulator 1
DPP4	0.5206502589646681	No data	No data	0.8386574222718315	No data	0.35545438271906626	No data	No data	dipeptidyl peptidase 4
F7	0.5200014511412201	0.8304109842159603	No data	No data	No data	0.49903835176486444	No data	No data	coagulation factor VII
EPOR	0.5192785012523535	No data	No data	0.8509820674453843	No data	0.06383273374922022	No data	No data	erythropoietin receptor
COL4A1	0.5092701985418627	0.8303862584118117	No data	No data	No data	0.14649095447488886	No data	No data	collagen type IV alpha 1 chain
EDNRA	0.5020391056655503	0.792277203256077	No data	0.12158615952232422	No data	0.1414108933503955	No data	No data	endothelin receptor type A
TCF21	0.5001006299999221	0.818488867335501	No data	No data	No data	0.08277389644688087	No data	No data	transcription factor 21
PDE3A	0.4992561738464522	0.4195734908874742	No data	0.7143186871936548	No data	0.09118961964174316	No data	No data	phosphodiesterase 3A
