symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
NOD2	0.8135173576385006	0.9118680333679594	No data	No data	No data	0.404202341359276	0.024253303999953763	0.30202002025345337	nucleotide binding oligomerization domain containing 2
TNF	0.635609012811145	No data	No data	0.9867892161189167	No data	0.9652252263303587	0.024694282812137466	0.45762328529546786	tumor necrosis factor
JAK2	0.635225360021686	0.6598750572621733	0.3039653988058105	0.8424424855795858	No data	0.26836496487104955	0.044717180888602215	No data	Janus kinase 2
PPARG	0.6249684640797278	No data	No data	0.9947047427620859	No data	0.6000944484853962	0.14922910938682024	No data	peroxisome proliferator activated receptor gamma
PTGS2	0.6244361639243627	No data	No data	0.9947671774904344	No data	0.46108826353595356	0.21583880380939804	0.2983724354677836	prostaglandin-endoperoxide synthase 2
NR3C1	0.6143198716930877	No data	No data	0.9959187778711344	No data	0.28648180559010994	0.012000310702214741	No data	nuclear receptor subfamily 3 group C member 1
PTGS1	0.6124992198624439	No data	No data	0.9947671774904344	No data	0.2511091933468001	0.008643174766086505	No data	prostaglandin-endoperoxide synthase 1
ALOX5	0.6104220029545779	No data	No data	0.9947439556816065	No data	0.1568543251490816	0.06800272583195965	No data	arachidonate 5-lipoxygenase
ITGB7	0.6008581551085831	No data	No data	0.9695748991760101	No data	No data	No data	0.3758228190835041	integrin subunit beta 7
ITGA4	0.5894973782747379	No data	No data	0.9661185215730386	No data	0.06746343156828963	0.008402928573624254	No data	integrin subunit alpha 4
JAK3	0.5879549813975623	No data	0.4559480982087158	0.8429402873161032	No data	0.1957640451239768	0.10574779121881082	0.3114429476164335	Janus kinase 3
TYK2	0.5696114448289507	0.34658147072018997	No data	0.8447131069354811	No data	0.2524094893931777	No data	No data	tyrosine kinase 2
MMP1	0.5572718243480278	No data	No data	0.878079011904371	No data	0.5861000853755659	0.4178618775545246	No data	matrix metallopeptidase 1
MMP7	0.5541596268594146	No data	No data	0.878079011904371	No data	0.38070637918935735	0.42727537349192823	0.2918067828535781	matrix metallopeptidase 7
MMP13	0.5481553080693363	No data	No data	0.878079011904371	No data	0.35420153232040497	0.2648146554396222	No data	matrix metallopeptidase 13
PPAT	0.5460648680504027	No data	No data	0.8982352435437204	No data	No data	No data	No data	phosphoribosyl pyrophosphate amidotransferase
MMP8	0.5424488959647339	No data	No data	0.878079011904371	No data	0.14196097398955654	0.22107087639043277	No data	matrix metallopeptidase 8
S1PR1	0.52342144354047	No data	No data	0.8441827451551154	No data	0.3101883260848897	0.05833656679405228	No data	sphingosine-1-phosphate receptor 1
JAK1	0.5219364536253982	No data	No data	0.852207340599517	No data	0.12676986720837932	No data	No data	Janus kinase 1
IL12B	0.5214497208818126	0.6970573595230928	No data	0.5830225218761449	No data	0.6719492503680988	No data	No data	interleukin 12B
TNFSF15	0.5033554177161521	0.8103088249392036	No data	No data	No data	0.3363768063825051	0.038419899596444644	No data	TNF superfamily member 15
HSPA1L	0.4887231603386825	0.8007968431539079	No data	No data	No data	0.062312906755191154	No data	No data	heat shock protein family A (Hsp70) member 1 like
TET2	0.48630085137478796	0.6804430411479517	0.4559480982087158	No data	No data	0.24740588157134938	No data	No data	tet methylcytosine dioxygenase 2
FKBP1A	0.4810184469792139	No data	No data	0.788199166070067	No data	0.06079307976116211	No data	No data	FKBP prolyl isomerase 1A
C1orf141	0.4763133275375699	0.783499255850934	No data	No data	No data	No data	No data	No data	chromosome 1 open reading frame 141
