symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
ABCB4	0.9040487969996366	0.9652978762589213	No data	No data	0.7599134970145264	0.7854781820119026	No data	0.7401305060767837	ATP binding cassette subfamily B member 4
JAG1	0.8643758188224911	0.9498643886480828	No data	No data	No data	0.8735607828852737	No data	0.5279481053261461	jagged canonical Notch ligand 1
UROD	0.8431066005873517	0.9460536980695163	No data	No data	No data	0.39449413162764263	No data	No data	uroporphyrinogen decarboxylase
HMBS	0.8558690755524982	0.9431405015958096	No data	No data	No data	0.30634205854681457	No data	No data	hydroxymethylbilane synthase
ATP8B1	0.8671738419644998	0.9415192775396357	No data	No data	No data	0.35850146947056233	No data	0.6924370200776007	ATPase phospholipid transporting 8B1
ABCB11	0.8709119374234561	0.9395773771029607	No data	No data	0.607930797611621	0.5176869146330321	No data	0.6477588224371661	ATP binding cassette subfamily B member 11
APC	0.7783874216840309	0.9157892012426666	0.8277821340452952	No data	0.7710040464216957	0.8233724562513535	No data	0.5309597312817528	APC regulator of WNT signaling pathway
PPOX	0.7900740271131418	0.9118989070560621	No data	No data	No data	0.1777956918166254	No data	No data	protoporphyrinogen oxidase
AKR1D1	0.8273926240062922	0.9111831622772988	No data	No data	No data	0.5070510295632751	No data	No data	aldo-keto reductase family 1 member D1
CPOX	0.8101518922983548	0.9080999648958221	No data	No data	No data	0.14761896551879963	No data	0.5275116852675638	coproporphyrinogen oxidase
NBAS	0.8177926374044526	0.9019185659515113	No data	No data	No data	0.023388448741447087	No data	No data	NBAS subunit of NRZ tethering complex
TRMU	0.7782719691171524	0.899118534296266	No data	No data	No data	0.02539462037356544	No data	No data	tRNA mitochondrial 2-thiouridylase
PHKG2	0.7418434146611514	0.8956908837285427	No data	No data	No data	0.09130181458004388	No data	No data	phosphorylase kinase catalytic subunit gamma 2
ALAD	0.8080416241361309	0.8905591047871587	No data	No data	No data	0.24430440057200178	No data	No data	aminolevulinate dehydratase
PKD1	0.7425612415950532	0.8886104253495072	No data	No data	No data	0.030987583711592354	No data	0.9369146706772538	polycystin 1, transient receptor potential channel interacting
HSD3B7	0.8163989118925459	0.8787528660696179	No data	No data	No data	0.03343619386863916	No data	0.25144017789216644	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7
PHKA2	0.6643771695845762	0.8724064350256222	No data	No data	No data	0.10538783844194523	No data	No data	phosphorylase kinase regulatory subunit alpha 2
LRP5	0.7746980526272856	0.8656391999511941	No data	No data	No data	0.6679372891208061	No data	0.38446678445114457	LDL receptor related protein 5
FECH	0.7729339025604499	0.8644222022804684	No data	No data	No data	0.4385328774712924	No data	0.600182232687422	ferrochelatase
CYP7B1	0.7474202354953863	0.8623156771079263	No data	No data	No data	0.2309192796209667	No data	No data	cytochrome P450 family 7 subfamily B member 1
AMACR	0.7682681337530936	0.8589920923851457	No data	No data	No data	0.8096596442874816	No data	0.49349446808711483	alpha-methylacyl-CoA racemase
TJP2	0.7356459896214799	0.8540133629427554	0.8950180470472945	No data	No data	0.2596328485514378	No data	No data	tight junction protein 2
CLDN1	0.7420217872976145	0.8527750020006221	No data	No data	No data	0.8186909953511311	No data	No data	claudin 1
GPD1	0.7584735459598112	0.8521674135206886	No data	No data	No data	0.07014508186442087	No data	No data	glycerol-3-phosphate dehydrogenase 1
NOTCH2	0.7838374878564558	0.8506806933507078	0.821677577355207	No data	No data	0.8944520569606302	No data	No data	notch receptor 2
DCDC2	0.7563450458702687	0.8479186300850264	No data	No data	No data	0.5592672937265709	No data	No data	doublecortin domain containing 2
HNF1A	0.7777441640288681	0.8366330354092482	0.8271847858444321	No data	No data	0.8887031395378314	No data	0.5592176565503688	HNF1 homeobox A
PRKCSH	0.7458896500058522	0.8362745254697429	No data	No data	No data	0.5312068430841531	No data	No data	protein kinase C substrate 80K-H
TP53	0.8312949537270935	0.832235668464295	0.924160837698745	0.07599134970145263	0.695686385011121	0.9923104572003527	No data	0.41817977258932965	tumor protein p53
GANAB	0.5127517323508562	0.8320270764927215	No data	No data	No data	0.22821176789936276	No data	No data	glucosidase II alpha subunit
PKD2	0.6433256710596087	0.830035687608967	No data	No data	No data	0.08010839215861132	No data	0.8854161644799541	polycystin 2, transient receptor potential cation channel
ALG8	0.7159732317785029	0.827054901594932	No data	No data	No data	0.03630697819069404	No data	No data	ALG8 alpha-1,3-glucosyltransferase
SEC63	0.6371844402128533	0.8270119996602621	No data	No data	No data	0.6459759532745544	No data	No data	SEC63 homolog, protein translocation regulator
FARSB	0.5162331448053507	0.8181059839192389	No data	No data	No data	0.621166802032954	No data	No data	phenylalanyl-tRNA synthetase subunit beta
BRCA2	0.720448383761523	0.8136749977922877	0.7364982603267746	No data	No data	0.4088034238804997	No data	No data	BRCA2 DNA repair associated
NR1H4	0.7731508033901694	0.8084856304002825	No data	0.9726681979051407	No data	0.959723463504769	No data	0.6132089485746769	nuclear receptor subfamily 1 group H member 4
SP110	0.70001104386908	0.8083949407137808	No data	No data	No data	0.07812417358307339	No data	No data	SP110 nuclear body protein
HFE	0.7044358314327768	0.8065653044476364	No data	No data	No data	0.6503775537212411	No data	0.6673556896615298	homeostatic iron regulator
