symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
PNPLA3	0.6790939334827435	0.7770817901157446	No data	No data	No data	0.981990166209912	No data	0.5291573201627653	patatin like phospholipase domain containing 3
PPARG	0.6255668098236903	0.3842203985252978	No data	0.9129220795671432	No data	0.9014724779974305	No data	No data	peroxisome proliferator activated receptor gamma
SLC5A2	0.5684638404889445	No data	No data	0.9013980364497944	No data	0.6736363186374783	No data	No data	solute carrier family 5 member 2
GLP1R	0.5295049545875132	No data	No data	0.8345496978437243	No data	0.7289149099827402	No data	No data	glucagon like peptide 1 receptor
NR1H4	0.48744091702794684	No data	No data	0.7565188222146966	No data	0.905689467910449	No data	No data	nuclear receptor subfamily 1 group H member 4
AGTR1	0.4686739465714479	No data	No data	0.7340595511494321	No data	0.7374700618824693	No data	No data	angiotensin II receptor type 1
NDUFA9	0.46399436065421595	No data	No data	0.7417383822629717	No data	0.42994216964421866	No data	No data	NADH:ubiquinone oxidoreductase subunit A9
NDUFA13	0.46376209737059176	0.08446021206848255	No data	0.7417383822629717	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A13
PDE4D	0.46002425801170793	No data	No data	0.7402908418249512	No data	0.3282826307102754	No data	No data	phosphodiesterase 4D
NDUFS2	0.4562845142412101	No data	No data	0.7417383822629717	No data	0.1762999313073701	No data	No data	NADH:ubiquinone oxidoreductase core subunit S2
NDUFA10	0.4562845142412101	No data	No data	0.7417383822629717	No data	0.1762999313073701	No data	No data	NADH:ubiquinone oxidoreductase subunit A10
ADORA2A	0.4559234583980831	No data	No data	0.7378591186345047	No data	0.24200701495963473	No data	No data	adenosine A2a receptor
MT-ND6	0.4551625048626226	No data	No data	0.7417383822629717	No data	0.13938752670488905	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6
NDUFB8	0.45374365274025275	No data	No data	0.7417383822629717	No data	0.09270944663577223	No data	No data	NADH:ubiquinone oxidoreductase subunit B8
PDE4A	0.45322845444208687	No data	No data	0.7402908418249512	No data	0.1047110137986216	No data	No data	phosphodiesterase 4A
NDUFB6	0.4531430854763901	No data	No data	0.7417383822629717	No data	0.07295169571339452	No data	No data	NADH:ubiquinone oxidoreductase subunit B6
NDUFA7	0.4530455574591816	No data	No data	0.7417383822629717	No data	0.0697431720593332	No data	No data	NADH:ubiquinone oxidoreductase subunit A7
NDUFA8	0.4527735056217054	No data	No data	0.7417383822629717	No data	0.06079307976116211	No data	No data	NADH:ubiquinone oxidoreductase subunit A8
NDUFA6	0.4527735056217054	No data	No data	0.7417383822629717	No data	0.06079307976116211	No data	No data	NADH:ubiquinone oxidoreductase subunit A6
NDUFS6	0.4527735056217054	No data	No data	0.7417383822629717	No data	0.06079307976116211	No data	No data	NADH:ubiquinone oxidoreductase subunit S6
NDUFS1	0.45212160782246985	No data	No data	0.7417383822629717	No data	0.039346632178752144	No data	No data	NADH:ubiquinone oxidoreductase core subunit S1
NDUFA4	0.45212160782246985	No data	No data	0.7417383822629717	No data	0.039346632178752144	No data	No data	NDUFA4 mitochondrial complex associated
NDUFA5	0.452034345912336	No data	No data	0.7417383822629717	No data	0.03647584785669727	No data	No data	NADH:ubiquinone oxidoreductase subunit A5
NDUFB3	0.4519830153769631	No data	No data	0.7417383822629717	No data	0.034787151196664985	No data	No data	NADH:ubiquinone oxidoreductase subunit B3
NDUFS5	0.4519419509486648	No data	No data	0.7417383822629717	No data	0.03343619386863916	No data	No data	NADH:ubiquinone oxidoreductase subunit S5
NDUFV1	0.45186495514560554	No data	No data	0.7417383822629717	No data	0.03090314887859074	No data	No data	NADH:ubiquinone oxidoreductase core subunit V1
NDUFB10	0.45184955598499366	No data	No data	0.7417383822629717	No data	0.030396539880581056	No data	No data	NADH:ubiquinone oxidoreductase subunit B10
NDUFA3	0.45184955598499366	No data	No data	0.7417383822629717	No data	0.030396539880581056	No data	No data	NADH:ubiquinone oxidoreductase subunit A3
NDUFAB1	0.45184955598499366	No data	No data	0.7417383822629717	No data	0.030396539880581056	No data	No data	NADH:ubiquinone oxidoreductase subunit AB1
NDUFA1	0.45184955598499366	No data	No data	0.7417383822629717	No data	0.030396539880581056	No data	No data	NADH:ubiquinone oxidoreductase subunit A1
NDUFB9	0.45180335850315806	No data	No data	0.7417383822629717	No data	0.028876712886552	No data	No data	NADH:ubiquinone oxidoreductase subunit B9
NDUFA12	0.4516647660576513	No data	No data	0.7417383822629717	No data	0.024317231904464845	No data	No data	NADH:ubiquinone oxidoreductase subunit A12
