symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
EGFR	0.9033580699248059	0.8448954136962414	0.9405201219635214	0.9952628876370094	0.9417342333554943	0.9991177465323916	No data	0.36622257857122065	epidermal growth factor receptor
TERT	0.8586751503038824	0.9311014059803738	0.8193134020311618	0.13678442946261474	No data	0.6914986652301306	No data	No data	telomerase reverse transcriptase
SMPD1	0.8470004108535747	0.9498764370312286	No data	No data	No data	0.35239482674068556	No data	0.255756486555209	sphingomyelin phosphodiesterase 1
CASR	0.8387489696943055	0.9543947548017069	No data	No data	0.7175733295872617	0.733986348245166	No data	0.6277440195483831	calcium sensing receptor
KRAS	0.8383168464781557	0.6361770560866061	0.9292699390507717	0.7553191607219827	0.9279734533244876	0.9750224590477038	No data	0.7777443600098681	KRAS proto-oncogene, GTPase
ERBB2	0.8363932575085385	0.8274613634158176	0.8120011213257353	0.9746180184311469	0.9596164497981319	0.9856541783919811	No data	0.25058907477551023	erb-b2 receptor tyrosine kinase 2
ALK	0.8253164682457904	No data	0.8807418123962987	0.9773252145380112	0.979400228199195	0.9967050397502433	No data	No data	ALK receptor tyrosine kinase
BRAF	0.8240872663005736	0.8243057069631791	0.8822938838084406	0.5931011858921753	0.9620275304391674	0.9761604997214459	No data	No data	B-Raf proto-oncogene, serine/threonine kinase
TP53	0.8232008939237044	No data	0.9540086084945355	0.16253705352810702	0.9332798154066371	0.9892776506529822	No data	0.6198014409693026	tumor protein p53
MET	0.8136348875847393	No data	0.8200918236781223	0.9767945848838528	0.9511991578132623	0.9789675599372786	No data	0.43119011647598254	MET proto-oncogene, receptor tyrosine kinase
SFTPC	0.8123055587897259	0.8947163050732632	No data	No data	0.7599134970145264	0.3390826483906496	No data	0.6463908691783297	surfactant protein C
FGFR2	0.8093598931944549	0.70259028698973	0.7646182141607987	0.9636271977490216	0.9131006962339235	0.37992056467619595	No data	0.2926578859702344	fibroblast growth factor receptor 2
ERBB4	0.8033050903210156	No data	0.8494413395824504	0.9732891850189739	0.9209458987536404	0.7477491749582127	No data	No data	erb-b2 receptor tyrosine kinase 4
SLC27A4	0.8020084817909261	0.8830883586245768	No data	No data	No data	0.22973110408706213	No data	0.36675958410911097	solute carrier family 27 member 4
FOXF1	0.8018832027280453	0.8964799696819618	No data	No data	No data	0.8302576969192335	No data	0.569965974602169	forkhead box F1
SCNN1B	0.7960852605380475	0.8917817535573896	No data	0.12158615952232422	No data	0.22067832304938872	No data	No data	sodium channel epithelial 1 subunit beta
FARSB	0.7959032126131796	0.8943450234338804	No data	No data	No data	0.04086645917278119	No data	No data	phenylalanyl-tRNA synthetase subunit beta
RB1	0.7944019501136022	0.7980657930135127	0.9040476209753809	No data	0.94521022858504	0.8939660414739282	No data	0.5284742769361602	RB transcriptional corepressor 1
KDR	0.7924008963260714	No data	0.796695803927841	0.9867359651412648	0.8430912869711078	0.9232355302507	No data	No data	kinase insert domain receptor
SFTPB	0.7877769731305375	0.8622755545544247	No data	No data	0.6694311353379837	0.8473455614280062	No data	0.6279218811610519	surfactant protein B
HPS4	0.7855965275236354	0.8826587379880446	No data	No data	No data	0.06794977620637892	No data	No data	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2
STK11	0.7854641808311545	No data	0.9100454131962903	No data	0.9453280231088899	0.9682562686796327	No data	No data	serine/threonine kinase 11
PIK3CA	0.783405087160401	0.7406758646634386	0.8795555098187497	0.1838922709310885	0.9344173500585706	0.9513703671087633	No data	No data	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
FGFR1	0.7832874534761994	No data	0.7916879138093463	0.964127361854734	0.9159784751575287	0.9503498296924361	No data	No data	fibroblast growth factor receptor 1
CDKN2A	0.7829925260261391	0.48155076880705044	0.9046708196912678	No data	0.9596563033547222	0.8802385575482009	No data	0.5942431772021183	cyclin dependent kinase inhibitor 2A
GBA1	0.7821177376716545	0.9408478145976586	No data	No data	No data	0.08010839215861132	No data	0.4228006714689421	glucosylceramidase beta 1
SLC34A2	0.7812139525975672	0.7769023155016324	0.7629656185815031	0.06079307976116211	0.7599134970145264	0.801685926586358	No data	0.38244757608081076	solute carrier family 34 member 2
EML4	0.7712361153786298	0.44235637985691456	0.9479838689291907	0.9708354436120483	No data	0.9314182184065021	No data	No data	EMAP like 4
ROS1	0.7675287695707746	0.21631367581623906	0.8881236384951459	0.8464159495287656	0.9360722249447112	0.9647257474687525	No data	No data	ROS proto-oncogene 1, receptor tyrosine kinase
FLT4	0.7665660365191304	No data	0.7376785926373581	0.9819795589911331	0.817237838131328	0.3795876285499768	No data	No data	fms related receptor tyrosine kinase 4
PDGFRA	0.7653591817987668	No data	0.6960522098690526	0.9679518472174202	0.865457038266544	0.38409421901798746	No data	0.40986609940142493	platelet derived growth factor receptor alpha
FGFR3	0.7618189619083668	No data	0.6315256267696185	0.964004898616571	0.8892459778378704	0.7410222640713108	No data	No data	fibroblast growth factor receptor 3
KMT2D	0.7591447127029093	No data	0.9019662264171463	No data	0.607930797611621	0.2576647668582629	No data	No data	lysine methyltransferase 2D
RET	0.7587943300450088	No data	0.7839865454388734	0.9449243941802711	0.9066612367713315	0.978083505787329	No data	No data	ret proto-oncogene
DICER1	0.758358159556416	0.8118735485272949	0.8521605384891806	No data	No data	0.345250027746155	No data	0.2974605392713662	dicer 1, ribonuclease III
PDGFRB	0.757461110846748	No data	0.8381820024672366	0.9808058483244815	0.865457038266544	0.6026972367711075	No data	No data	platelet derived growth factor receptor beta
KEAP1	0.7538839868680458	No data	0.9023882962867175	No data	No data	0.9464941628776334	No data	No data	kelch like ECH associated protein 1
CFTR	0.7503002860632916	0.9043029357527294	No data	0.6682972229921463	0.607930797611621	0.9323048179612856	No data	0.5574249516692911	CF transmembrane conductance regulator
MARS1	0.7457859444030364	0.8609446387924294	No data	No data	No data	0.1388618583180377	No data	No data	methionyl-tRNA synthetase 1
ARID1A	0.7433244128581835	0.49805108954544464	0.8639708699932226	No data	No data	0.8912868141275467	No data	No data	AT-rich interaction domain 1A
SMARCA4	0.7400573241119079	No data	0.8733516836331112	No data	0.607930797611621	0.90632732370153	No data	0.42497402407040374	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GNA11	0.7371456999104224	0.8507383137984065	0.8121786586425254	No data	No data	0.16218716124554816	No data	No data	G protein subunit alpha 11
POLD1	0.7349975212811284	0.08146646116556687	0.8193134020311618	0.9860686321688805	No data	0.23720332967721064	No data	0.5007981928025131	DNA polymerase delta 1, catalytic subunit
