symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
ABCA1	0.7243980702902583	0.9532638558680724	No data	No data	No data	No data	No data	No data	ATP binding cassette subfamily A member 1
APOB	0.7183549831149446	0.9453115202416423	No data	No data	No data	No data	No data	No data	apolipoprotein B
PCSK9	0.7116410326488671	0.9364763692771515	No data	No data	No data	No data	No data	No data	proprotein convertase subtilisin/kexin type 9
LDLR	0.6817734970352641	0.8971725067573468	No data	No data	No data	No data	No data	No data	low density lipoprotein receptor
NPC1L1	0.6518087154049343	0.857740674386883	No data	No data	No data	No data	No data	No data	NPC1 like intracellular cholesterol transporter 1
LIPG	0.6476585199674545	0.8522792693009293	No data	No data	No data	No data	No data	No data	lipase G, endothelial type
ANGPTL3	0.6293067662313138	0.8281294761886352	No data	No data	No data	No data	No data	No data	angiopoietin like 3
SCARB1	0.6275707360503635	0.8258449659282299	No data	No data	No data	No data	No data	No data	scavenger receptor class B member 1
ABCG5	0.6071817687186157	0.7990143234776748	No data	No data	No data	No data	No data	No data	ATP binding cassette subfamily G member 5
LIPC	0.6066949060421492	0.7983736417706393	No data	No data	No data	No data	No data	No data	lipase C, hepatic type
GIGYF1	0.5969863158368381	0.7855977268231443	No data	No data	No data	No data	No data	No data	GRB10 interacting GYF protein 1
LPA	0.528498062298895	0.8693391819845389	No data	No data	No data	No data	No data	No data	lipoprotein(a)
TMPRSS11E	0.5222151170878123	0.8590042141958261	No data	No data	No data	No data	No data	No data	transmembrane serine protease 11E
HNF4A	0.5136021394886445	0.8448365200552994	No data	No data	No data	No data	No data	No data	hepatocyte nuclear factor 4 alpha
SLC39A8	0.5127429423840129	0.8434232060596816	No data	No data	No data	No data	No data	No data	solute carrier family 39 member 8
UBASH3B	0.5083612171413957	0.8362156007535652	No data	No data	No data	No data	No data	No data	ubiquitin associated and SH3 domain containing B
TIMD4	0.5022704040295092	0.6609573405430749	No data	No data	No data	No data	No data	No data	T cell immunoglobulin and mucin domain containing 4
MYLIP	0.5021885623078556	0.8260620522612192	No data	No data	No data	No data	No data	No data	myosin regulatory light chain interacting protein
ALB	0.5021247875701258	0.6607657181282138	No data	No data	No data	No data	No data	No data	albumin
LCAT	0.49716842970604846	0.6542434522603889	No data	No data	No data	No data	No data	No data	lecithin-cholesterol acyltransferase
DNAH11	0.49527967443574816	0.8146974563248883	No data	No data	No data	No data	No data	No data	dynein axonemal heavy chain 11
FRK	0.48977690306506094	0.8056458152626063	No data	No data	No data	No data	No data	No data	fyn related Src family tyrosine kinase
HGFAC	0.4843521569697747	0.7967225198536576	No data	No data	No data	No data	No data	No data	HGF activator
MTARC1	0.4840247066486782	0.7961838889397724	No data	No data	No data	No data	No data	No data	mitochondrial amidoxime reducing component 1
ALDH1A2	0.4828577445885044	0.7942643249618354	No data	No data	No data	No data	No data	No data	aldehyde dehydrogenase 1 family member A2
VLDLR	0.47689998534661665	0.7844642634000688	No data	No data	No data	No data	No data	No data	very low density lipoprotein receptor
SLC22A1	0.47644823560869054	0.7837211693839392	No data	No data	No data	No data	No data	No data	solute carrier family 22 member 1
TRPS1	0.4755788457916194	0.7822910891503226	No data	No data	No data	No data	No data	No data	transcriptional repressor GATA binding 1
HPR	0.47444171710893357	0.6243364790504099	No data	No data	No data	No data	No data	No data	haptoglobin-related protein
TTC39B	0.47341990982956567	0.7787398034274483	No data	No data	No data	No data	No data	No data	tetratricopeptide repeat domain 39B
PNPLA3	0.46953371315363035	0.7723473049865024	No data	No data	No data	No data	No data	No data	patatin like phospholipase domain containing 3
TRIB1	0.46546393442819456	0.7656528280140826	No data	No data	No data	No data	No data	No data	tribbles pseudokinase 1
NAT2	0.4640711014797781	0.7633617235760635	No data	No data	No data	No data	No data	No data	N-acetyltransferase 2
ACVR1C	0.4616878956225719	0.7594415309051722	No data	No data	No data	No data	No data	No data	activin A receptor type 1C
MARCHF8	0.4608877385351843	0.7581253332548291	No data	No data	No data	No data	No data	No data	membrane associated ring-CH-type finger 8
ZNF229	0.45858354525675715	0.7543351102763591	No data	No data	No data	No data	No data	No data	zinc finger protein 229
CETP	0.4576905148048695	0.7528661429935761	No data	No data	No data	No data	No data	No data	cholesteryl ester transfer protein
APOH	0.45752570859185476	0.7525950492874138	No data	No data	No data	No data	No data	No data	apolipoprotein H
ABCG8	0.4559622324681052	0.7500232497834374	No data	No data	No data	No data	No data	No data	ATP binding cassette subfamily G member 8
GAS6	0.45396114553933914	0.7467316137343546	No data	No data	No data	No data	No data	No data	growth arrest specific 6
TDRD15	0.453935880068219	0.7466900539528476	No data	No data	No data	No data	No data	No data	tudor domain containing 15
ABCB11	0.4538882274124112	0.7466116689524577	No data	No data	No data	No data	No data	No data	ATP binding cassette subfamily B member 11
CMTM6	0.4411792992674644	0.7257064471823543	No data	No data	No data	No data	No data	No data	CKLF like MARVEL transmembrane domain containing 6
ST3GAL4	0.4400333127418505	0.7238213863660309	No data	No data	No data	No data	No data	No data	ST3 beta-galactoside alpha-2,3-sialyltransferase 4
SERPINA1	0.43702656617346336	0.7188755165726272	No data	No data	No data	No data	No data	No data	serpin family A member 1
SP4	0.43402374036672375	0.7139360961344181	No data	No data	No data	No data	No data	No data	Sp4 transcription factor
APOE	0.4307047115299559	0.7084765457220893	No data	No data	No data	No data	No data	No data	apolipoprotein E
IGF2R	0.4296961367207895	0.7068175167452242	No data	No data	No data	No data	No data	No data	insulin like growth factor 2 receptor
