symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
SCNN1B	0.7959097320543231	0.8917817535573896	No data	0.12158615952232422	No data	0.14993922135987905	No data	No data	sodium channel epithelial 1 subunit beta
CFTR	0.7390780848334578	0.9043029357527294	No data	0.6383273374922022	No data	0.8273907904007075	No data	0.5101268459173913	CF transmembrane conductance regulator
IL4R	0.721583457577144	0.8784322001801678	No data	0.9531784445694809	No data	0.6373575463395746	No data	No data	interleukin 4 receptor
FLG	0.7075059335609151	0.9259562458303916	No data	No data	No data	0.2856703634850844	No data	No data	filaggrin
ADORA1	0.7017847730139393	0.6442283894510021	No data	0.9907924634207398	No data	0.11398959584363837	No data	No data	adenosine A1 receptor
IL33	0.6960355422343095	0.8901603389380297	No data	0.16253705352810702	No data	0.8949510603494967	No data	0.27235299733000623	interleukin 33
TSLP	0.6735748641842298	0.7874171965748702	No data	0.8905068703456905	No data	0.9278250959225925	No data	No data	thymic stromal lymphopoietin
PDE4D	0.6650087576674685	0.3893027896486526	No data	0.9917030282888154	No data	0.21870830179536793	No data	No data	phosphodiesterase 4D
NR3C1	0.6332508026408693	No data	No data	0.9989036754211935	No data	0.6837836849803576	No data	0.3850481689372605	nuclear receptor subfamily 3 group C member 1
ADRB2	0.6315512270095157	No data	No data	0.9992187217065948	No data	0.7927018216094586	No data	No data	adrenoceptor beta 2
IGHE	0.6291954736719764	No data	No data	0.9858966726762055	No data	0.9816420950053579	No data	No data	immunoglobulin heavy constant epsilon
IL5	0.6257626238839917	0.14696491789272323	No data	0.9749916839343148	No data	0.760217618728848	No data	No data	interleukin 5
CYSLTR1	0.6243470779401477	No data	No data	0.9974956805481336	No data	0.5901570810641582	No data	No data	cysteinyl leukotriene receptor 1
PDE4A	0.6213094331156521	No data	No data	0.9917030282888154	No data	0.6060762246804907	No data	No data	phosphodiesterase 4A
CHRM3	0.609248758738925	No data	No data	0.9963049323772836	No data	0.11726027200509788	No data	No data	cholinergic receptor muscarinic 3
ADORA2A	0.6086605032509695	No data	No data	0.9906948574891212	No data	0.21010905757588758	No data	No data	adenosine A2a receptor
PDE4B	0.6076772103737548	No data	No data	0.9917030282888154	No data	0.1575967992112025	No data	No data	phosphodiesterase 4B
ADRA2B	0.6075484906417327	No data	No data	0.9834132883663147	No data	0.012158615952232422	No data	0.3137530846473576	adrenoceptor alpha 2B
PDE3B	0.6054606575013225	No data	No data	0.9907203954348306	No data	0.10432823298257066	No data	No data	phosphodiesterase 3B
ADORA2B	0.604715109323545	No data	No data	0.9906948574891212	No data	0.08031158908359157	No data	No data	adenosine A2b receptor
ADORA3	0.6036591524419052	No data	No data	0.9906948574891212	No data	0.045572211319268224	No data	No data	adenosine A3 receptor
PDE3A	0.6031209948798377	No data	No data	0.9907203954348306	No data	0.02735688589252295	No data	No data	phosphodiesterase 3A
PDE4C	0.6028868129814796	No data	No data	0.9917030282888154	No data	No data	No data	No data	phosphodiesterase 4C
ADRA2A	0.6018818048587088	No data	No data	0.9834132883663147	No data	0.13273155747853727	No data	No data	adrenoceptor alpha 2A
IL5RA	0.6010210354796913	No data	No data	0.9662469011759603	No data	0.44774129593372564	No data	No data	interleukin 5 receptor subunit alpha
ADRA1B	0.6009527221684597	No data	No data	0.9834132883663147	No data	0.102166147931953	No data	No data	adrenoceptor alpha 1B
ADRA1D	0.6007239596913013	No data	No data	0.9834132883663147	No data	0.0946402098463275	No data	No data	adrenoceptor alpha 1D
ADRB1	0.5998106035584241	No data	No data	0.9840876460228843	No data	0.05110502702255692	No data	No data	adrenoceptor beta 1
ADRB3	0.5989097668606194	No data	No data	0.9834132883663147	No data	0.03495602086266821	No data	No data	adrenoceptor beta 3
ADRA1A	0.5983714456647342	No data	No data	0.9842755919186152	No data	No data	No data	No data	adrenoceptor alpha 1A
ADRA2C	0.5978472247784008	No data	No data	0.9834132883663147	No data	No data	No data	No data	adrenoceptor alpha 2C
VDR	0.5938628116992518	No data	No data	0.945716899521925	No data	0.622846637560668	No data	No data	vitamin D receptor
SCNN1A	0.5891576037142429	0.7061561478766073	No data	0.12158615952232422	No data	0.04542594015486835	No data	No data	sodium channel epithelial 1 subunit alpha
CHRM1	0.5716578693723501	No data	No data	0.9340349488204298	No data	0.12597677083840814	No data	No data	cholinergic receptor muscarinic 1
SCNN1G	0.5629692507812397	0.7295169571339454	No data	0.12158615952232422	No data	0.050871986883472456	No data	No data	sodium channel epithelial 1 subunit gamma
ALOX5	0.5629429357835327	No data	No data	0.9131513652036191	No data	0.25694036314131036	No data	No data	arachidonate 5-lipoxygenase
IL13	0.5579930856253946	0.7316194823001874	No data	0.6608941403961972	No data	0.9455957238953924	No data	No data	interleukin 13
HRH1	0.554022074492978	No data	No data	0.9070437427362649	No data	0.08561002380250901	No data	No data	histamine receptor H1
SCN10A	0.5422095781972186	No data	No data	0.8897742701710087	No data	0.04238628616681025	No data	No data	sodium voltage-gated channel alpha subunit 10
SCN7A	0.5418451313960712	No data	No data	0.8897742701710087	No data	0.030396539880581056	No data	No data	sodium voltage-gated channel alpha subunit 7
SCN9A	0.5415679465050576	No data	No data	0.8897742701710087	No data	0.021277577916406734	No data	No data	sodium voltage-gated channel alpha subunit 9
SCN8A	0.5409211817593593	No data	No data	0.8897742701710087	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 8
SCN1A	0.5409211817593593	No data	No data	0.8897742701710087	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 1
