symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
DRD2	0.7027475742825463	0.6285553231579266	No data	0.9896784736944312	No data	0.411709203351363	No data	No data	dopamine receptor D2
HTR2A	0.6331532298755345	No data	No data	0.9925531212489244	No data	0.5265312434017514	No data	0.7447034061976155	5-hydroxytryptamine receptor 2A
HTR1A	0.632804620606204	No data	No data	0.9900362036747614	No data	0.5846514637188871	No data	0.7577418331097248	5-hydroxytryptamine receptor 1A
SLC6A4	0.6247980636599286	No data	No data	0.9984697436244794	No data	0.5855125648231452	No data	No data	solute carrier family 6 member 4
SLC6A2	0.6197989349199532	No data	No data	0.9973449819424886	No data	0.44354405490479965	No data	No data	solute carrier family 6 member 2
SLC6A3	0.6106909488430828	No data	No data	0.9876694044883962	No data	0.337416694010278	No data	No data	solute carrier family 6 member 3
GRIN2B	0.6033168396822536	No data	No data	0.979409352498447	No data	0.260020741197609	No data	No data	glutamate ionotropic receptor NMDA type subunit 2B
HTR2C	0.6027427321589974	No data	No data	0.9876654620104602	No data	0.07601128531751579	No data	No data	5-hydroxytryptamine receptor 2C
GRIN2A	0.5987561758271263	No data	No data	0.9804452833425293	No data	0.08926320958932515	No data	No data	glutamate ionotropic receptor NMDA type subunit 2A
GRIN2D	0.5978817850250451	No data	No data	0.9793412740139988	No data	0.08257726667557853	No data	No data	glutamate ionotropic receptor NMDA type subunit 2D
GRIN3A	0.5965728563730368	No data	No data	0.9793412740139988	No data	0.03951550184475537	No data	No data	glutamate ionotropic receptor NMDA type subunit 3A
GRIN1	0.596337058489374	No data	No data	0.979409352498447	No data	0.030396539880581056	No data	No data	glutamate ionotropic receptor NMDA type subunit 1
GRIN2C	0.596059551019308	No data	No data	0.9793412740139988	No data	0.02262853524443256	No data	No data	glutamate ionotropic receptor NMDA type subunit 2C
GRIN3B	0.5953717218453115	No data	No data	0.9793412740139988	No data	No data	No data	No data	glutamate ionotropic receptor NMDA type subunit 3B
HTR3A	0.592851123737256	No data	No data	0.9742831853266628	No data	0.01823792392834863	No data	No data	5-hydroxytryptamine receptor 3A
ADRA2A	0.584103057296515	No data	No data	0.9546709858783132	No data	0.1226838123513452	No data	No data	adrenoceptor alpha 2A
GABRG2	0.5833959099414497	No data	No data	0.9312090493883947	No data	No data	No data	0.5686584680859104	gamma-aminobutyric acid type A receptor subunit gamma2
ADRA2C	0.5814364359838942	No data	No data	0.9546709858783132	No data	0.03495602086266821	No data	No data	adrenoceptor alpha 2C
ADRA2B	0.5803738939016756	No data	No data	0.9546709858783132	No data	No data	No data	No data	adrenoceptor alpha 2B
