symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
HNF1A	0.6835036872571493	0.8922409964212367	No data	No data	No data	0.40546887553928457	No data	No data	HNF1 homeobox A
BACH2	0.5189831890509732	0.8391922193336688	No data	No data	No data	0.289914373037546	No data	No data	BTB domain and CNC homolog 2
INS	0.68965969230352	0.8211250725371256	No data	No data	No data	0.9197849208432832	No data	0.6622568108695903	insulin
CD226	0.5066380512974982	0.7998127896859635	No data	No data	No data	0.6713666819943497	No data	No data	CD226 molecule
GLIS3	0.4810920721465269	0.7837435922542171	No data	No data	No data	0.15232671227101102	No data	No data	GLIS family zinc finger 3
CTLA4	0.5877551247792182	0.7662092172069632	No data	No data	No data	0.4072962907535172	No data	No data	cytotoxic T-lymphocyte associated protein 4
CTSH	0.46173355857642107	0.7537824729789891	No data	No data	No data	0.11468340035870427	No data	No data	cathepsin H
UBASH3A	0.46191684383466003	0.7508834609614564	No data	No data	No data	0.1786934473570558	No data	No data	ubiquitin associated and SH3 domain containing A
ITPR3	0.45297354662268446	0.7408349022145871	No data	No data	No data	0.08544372586639189	No data	No data	inositol 1,4,5-trisphosphate receptor type 3
AIRE	0.4463755794564841	0.7256285098229963	No data	No data	No data	0.17250847401246117	No data	No data	autoimmune regulator
SIRPG	0.4432049095043587	0.7219398736996097	No data	No data	No data	0.14197097023135025	No data	No data	signal regulatory protein gamma
RTL1	0.4391842029456646	0.7193850112387876	No data	No data	No data	0.06079307976116211	No data	No data	retrotransposon Gag like 1
TCF7L2	0.4579281540483649	0.7156590563779524	No data	No data	No data	0.595262027162599	0.014807031873015564	0.3442408141475804	transcription factor 7 like 2
PTPN2	0.4413951730560796	0.7136549389120286	No data	No data	No data	0.24813208521262684	No data	No data	protein tyrosine phosphatase non-receptor type 2
IL2RA	0.6097844209801428	0.7078839390849566	No data	0.6075675889062051	No data	0.38136046907121	No data	No data	interleukin 2 receptor subunit alpha
FOXP3	0.5403353399587727	0.7051997252294805	No data	No data	No data	0.3289926760640204	No data	No data	forkhead box P3
AFF3	0.4274945593689978	0.7014833337561658	No data	No data	No data	0.034255108359163386	No data	No data	ALF transcription elongation factor 3
BAK1	0.4202953192848011	0.6913538858962504	No data	No data	No data	No data	No data	No data	BCL2 antagonist/killer 1
ANKRD55	0.41716103400839016	0.6855902938149455	No data	No data	No data	0.012158615952232422	No data	No data	ankyrin repeat domain 55
FOSL2	0.41477284587719637	0.6822698364792757	No data	No data	No data	No data	No data	No data	FOS like 2, AP-1 transcription factor subunit
IKZF1	0.42161081178652826	0.6758085781680729	No data	No data	No data	0.35418386008185054	No data	No data	IKAROS family zinc finger 1
ZSCAN16	0.41041488147655203	0.67510131595397	No data	No data	No data	No data	No data	No data	zinc finger and SCAN domain containing 16
FLI1	0.4097379822564152	0.6739878681359024	No data	No data	No data	No data	No data	No data	Fli-1 proto-oncogene, ETS transcription factor
INS-IGF2	0.4091052257279756	0.672947031693785	No data	No data	No data	No data	No data	No data	INS-IGF2 readthrough
CENPW	0.40509228387587276	0.6621834097952184	No data	No data	No data	0.08325274533959144	No data	No data	centromere protein W
PGM1	0.40246616126639206	0.6584905661472948	No data	No data	No data	0.07071417263885175	No data	No data	phosphoglucomutase 1
RNLS	0.4038693536058096	0.6575629622786653	No data	No data	No data	0.1354291470033474	No data	No data	renalase, FAD dependent amine oxidase
RASGRP1	0.40065398523590384	0.6555202285354139	No data	No data	No data	0.07050308555634772	No data	No data	RAS guanyl releasing protein 1
SH2B3	0.49813723811756405	0.653162323666671	No data	No data	No data	0.13252621565082326	No data	No data	SH2B adaptor protein 3
PRF1	0.3965037356988775	0.6439128114163506	No data	No data	No data	0.16611452099585555	No data	No data	perforin 1
IFIH1	0.4007748933020922	0.6418423317681549	No data	No data	No data	0.34803871266063713	No data	No data	interferon induced with helicase C domain 1
STAT4	0.3932846246815282	0.6351726549988727	No data	No data	No data	0.23501378561631206	No data	No data	signal transducer and activator of transcription 4
PTPN22	0.48482735151446144	0.6309423789445162	No data	No data	No data	0.3711433104318743	0.046286079625440485	No data	protein tyrosine phosphatase non-receptor type 22
HLA-DMA	0.38049368800479094	0.6246021929830194	No data	No data	No data	0.017795485403420176	0.017606585194254613	No data	major histocompatibility complex, class II, DM alpha
TH	0.3801246887994959	0.621479515279808	No data	No data	No data	0.07593467497375013	No data	No data	tyrosine hydroxylase
TAGAP	0.3679750188965572	0.604227085704462	No data	No data	No data	0.021277577916406734	No data	No data	T cell activation RhoGTPase activating protein
HLA-DQB1	0.3719011234106334	0.6038256221930028	No data	No data	No data	0.15846972423282782	No data	No data	major histocompatibility complex, class II, DQ beta 1
FUT2	0.3721656603161857	0.5980997708050848	No data	No data	No data	0.28168961444170165	No data	No data	fucosyltransferase 2 (H blood group)
C1QTNF6	0.36398994601853224	0.5961521164250264	No data	No data	No data	0.051674117796987794	No data	No data	C1q and TNF related 6
CLEC16A	0.4537971459327306	0.5953559538789145	No data	No data	No data	0.10201070186276576	No data	No data	C-type lectin domain containing 16A
IGF2	0.4546921424061569	0.5952546315579059	No data	No data	No data	0.17395913817125644	No data	No data	insulin like growth factor 2
BCL11A	0.36245548594454174	0.5921166626088961	No data	No data	No data	0.08190178801156561	No data	No data	BCL11 transcription factor A
AKAP11	0.358563892092539	0.5898103756237218	No data	No data	No data	No data	No data	No data	A-kinase anchoring protein 11
FASLG	0.35609917424521653	0.5749578340170018	No data	No data	No data	0.21596535803091152	No data	No data	Fas ligand
ZFP36L1	0.3465045976571961	0.5699737519772142	No data	No data	No data	No data	No data	No data	ZFP36 ring finger protein like 1
KLRG1	0.33716129789541727	0.553996802537208	No data	No data	No data	0.012158615952232422	No data	No data	killer cell lectin like receptor G1
RGS1	0.3392460367418211	0.553729919026433	No data	No data	No data	0.08608102820067721	No data	No data	regulator of G protein signaling 1
TNFSF15	0.33525587324600725	0.5514704544713439	No data	No data	No data	No data	No data	No data	TNF superfamily member 15
SUMO4	0.3415894100562565	0.547137717850459	No data	No data	No data	0.2950184749729971	No data	No data	small ubiquitin like modifier 4
TAB2	0.33744693954128185	0.547137717850459	No data	No data	No data	0.1587374860430344	No data	No data	TGF-beta activated kinase 1 (MAP3K7) binding protein 2
CLEC2D	0.3299300807385545	0.5427099302005285	No data	No data	No data	No data	No data	No data	C-type lectin domain family 2 member D
SHC4	0.3274027604115643	0.5385526801699012	No data	No data	No data	No data	No data	No data	SHC adaptor protein 4
LMO7	0.32618356131217974	0.5365471902289829	No data	No data	No data	No data	No data	No data	LIM domain 7
ATXN2	0.3266550695080607	0.5351366460989455	No data	No data	No data	0.04372278618363437	No data	No data	ataxin 2
CD69	0.32777884703355037	0.5298570543727376	No data	No data	No data	0.186285194658141	No data	No data	CD69 molecule
PRR15L	0.3215669156228661	0.5289531586262889	No data	No data	No data	No data	No data	No data	proline rich 15 like
ZKSCAN8	0.32064953076075114	0.5274441301879879	No data	No data	No data	No data	No data	No data	zinc finger with KRAB and SCAN domains 8
SLC25A21	0.3186699984889013	0.5241879499128203	No data	No data	No data	No data	No data	No data	solute carrier family 25 member 21
MLN	0.3195780742318896	0.5226420115689702	No data	No data	No data	0.06079307976116211	No data	No data	motilin
EFR3B	0.31549230065461314	0.5183529474702577	No data	No data	No data	0.012158615952232422	No data	No data	EFR3 homolog B
IRF4	0.31805951706767216	0.5162009936414127	No data	No data	No data	0.1396552137846696	No data	No data	interferon regulatory factor 4
JAZF1	0.31460610374317144	0.5140159930372612	No data	No data	No data	0.0697431720593332	No data	No data	JAZF zinc finger 1
ACOXL	0.31246200920342543	0.5139762789300946	No data	No data	No data	No data	No data	No data	acyl-CoA oxidase like
CAMK4	0.3116281357038392	0.5126046203418765	No data	No data	No data	No data	No data	No data	calcium/calmodulin dependent protein kinase IV
