symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
MLH1	0.9269015709778968	0.9712302151731859	0.9287527686981127	No data	0.607930797611621	0.9295133971997364	No data	0.5870432564317963	mutL homolog 1
MSH2	0.925151273568828	0.974610465756548	0.9188257992809344	No data	0.7599134970145264	0.8517648882519129	No data	0.6449167225519887	mutS homolog 2
MSH6	0.9162590632332632	0.9643990544531106	0.9088806271043877	No data	0.607930797611621	0.4060309808180598	No data	0.5221442473684842	mutS homolog 6
APC	0.8877207548249197	0.9340865444504105	0.9584129453647523	No data	0.696184136314402	0.8628330236546822	No data	0.963596834989492	APC regulator of WNT signaling pathway
PMS2	0.8827235747825992	0.9354553635993476	0.8010034654103088	No data	0.607930797611621	0.7834931955410699	No data	No data	PMS1 homolog 2, mismatch repair system component
BRAF	0.8496133948390064	0.8655044330403117	0.9089674609114838	0.9313398585336167	0.9652766185441606	0.9477587362804362	No data	No data	B-Raf proto-oncogene, serine/threonine kinase
TP53	0.8449175766494644	0.8021666654850441	0.9466057671161403	0.06079307976116211	0.42865021026889877	0.9747323243178561	No data	0.6547097707153842	tumor protein p53
KRAS	0.8376839622489102	No data	0.9608739941951622	0.5319394479101685	0.8618547538362996	0.7553106427025367	No data	0.5051128127688956	KRAS proto-oncogene, GTPase
PIK3CA	0.8312504577018025	0.6980710182160119	0.9331543225462904	0.1711310993053299	0.6392442460160122	0.8593422051787784	No data	No data	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
SMAD4	0.8218787506120875	0.7965754461357986	0.9165020458720916	No data	No data	0.7779044091300098	No data	0.772365884600464	SMAD family member 4
NOD2	0.8147863341201939	0.9118680333679594	No data	No data	No data	0.7935714167709503	No data	0.30202002025345337	nucleotide binding oligomerization domain containing 2
MLH3	0.7903575738823186	0.8752776199182362	0.547137717850459	No data	No data	0.20623336902556205	No data	No data	mutL homolog 3
FBXO11	0.7883775726886587	0.9694817282067569	0.9093708045577046	No data	No data	0.024317231904464845	No data	No data	F-box protein 11
EPCAM	0.787747856526498	0.8597890646110795	No data	0.46945767148897405	No data	0.9035186180021995	No data	0.44602067271855095	epithelial cell adhesion molecule
FBXW7	0.7860075933708006	0.547137717850459	0.9128587609920594	No data	0.607930797611621	0.7318586377974586	No data	No data	F-box and WD repeat domain containing 7
TGFBR2	0.7802249414490664	0.745649226226523	0.8862659837413421	No data	0.607930797611621	0.23664082726074798	No data	No data	transforming growth factor beta receptor 2
PPARG	0.7725110797659877	No data	0.751790866079771	0.9949758157731652	No data	0.7631712567649113	No data	No data	peroxisome proliferator activated receptor gamma
ATM	0.7719758060440001	0.7552189751631009	0.8511365546451877	No data	0.7599134970145264	0.37677031128113736	No data	0.4996566338603314	ATM serine/threonine kinase
MUTYH	0.7706413864811561	0.8551884525166095	0.8010754781028131	No data	0.7599134970145264	0.332619041068185	No data	No data	mutY DNA glycosylase
POLE	0.7655949222518026	0.8577941367816869	0.834176555671673	0.19310877846792995	0.607930797611621	0.6378204700864688	No data	0.5827110493591052	DNA polymerase epsilon, catalytic subunit
TCF7L2	0.7638183074496284	0.7916837353708205	0.9011728222293922	No data	0.607930797611621	0.25067976226761474	No data	0.32548614904126194	transcription factor 7 like 2
FGFR2	0.7585500893476247	0.540947930736001	0.8424623794180129	0.9309660035163836	0.607930797611621	0.17319688902950922	No data	No data	fibroblast growth factor receptor 2
EGFR	0.757186549031842	No data	0.6048398035799575	0.9428433577943403	0.8435001837011329	0.8976713399643199	No data	No data	epidermal growth factor receptor
SMAD3	0.7519072783965712	0.8203088290955123	0.8545646754842989	No data	No data	0.39475261603157097	No data	0.35829921384234914	SMAD family member 3
EP300	0.748386945870406	0.8539802054003612	0.8275067875330531	No data	No data	0.22410554146840214	No data	No data	E1A binding protein p300
ERBB2	0.7465433451474286	0.6839221473130737	0.8413756168105424	0.576282727781092	0.865457038266544	0.9304713627326038	No data	No data	erb-b2 receptor tyrosine kinase 2
AMER1	0.7445264892381628	0.7713121994697443	0.9104407002445519	No data	No data	0.07498478310248197	No data	No data	APC membrane recruitment protein 1
KIT	0.7441473391075522	0.5407321548604187	0.8616995036584695	0.9372865385061208	No data	0.5497558499263042	No data	0.5500044524883756	KIT proto-oncogene, receptor tyrosine kinase
ARID1A	0.7407602449349742	0.6839221473130737	0.8540544038721832	No data	No data	0.8296298481533582	No data	No data	AT-rich interaction domain 1A
KDR	0.740070322121062	No data	0.7631188899178948	0.9397729263745165	0.607930797611621	0.6672464224456502	No data	No data	kinase insert domain receptor
RAF1	0.7390127071931595	No data	0.6991779456915811	0.9302133883180103	0.607930797611621	0.1259709255897304	No data	No data	Raf-1 proto-oncogene, serine/threonine kinase
AXIN2	0.7381529503310813	0.8093095371998327	0.8411508728776061	No data	No data	0.2851525161125829	No data	No data	axin 2
CTNNB1	0.7376845872259472	0.7462629909131433	0.7780611284743958	0.12158615952232422	0.607930797611621	0.43962983376137466	No data	0.5936931472466056	catenin beta 1
FGFR3	0.7372597682298702	0.8759393182576626	0.7672543738064721	0.6059061107108257	No data	0.42222373910902206	No data	No data	fibroblast growth factor receptor 3
NRAS	0.7366378883044268	0.5836135657071562	0.8385868838863978	No data	0.8274613634158176	0.3335641828475764	No data	No data	NRAS proto-oncogene, GTPase
FLT4	0.7356417851149102	0.24452327637267426	0.7625878510544152	0.9386992014308171	No data	0.23272925676739203	No data	0.29253629981071205	fms related receptor tyrosine kinase 4
POLD1	0.7301320315744098	0.8574637742254104	0.874378746292623	0.19310877846792995	No data	0.43072334396528855	No data	0.4986940767641129	DNA polymerase delta 1, catalytic subunit
FLCN	0.7296635209407599	0.8897041599835163	0.782912061959068	No data	No data	0.051881906942987395	No data	0.28791602574886377	folliculin
NTRK1	0.7241459478638947	No data	0.8706260870481068	0.9287969013388938	0.7599134970145264	0.19954063891461524	No data	No data	neurotrophic receptor tyrosine kinase 1
GNAS	0.7195858220425743	0.3261754045322719	0.8536476582284883	No data	No data	0.1710951880679102	No data	No data	GNAS complex locus
RET	0.7180775008569004	0.6404788748898719	0.6758982534381345	0.9312326350451151	No data	0.36422200706047675	No data	0.5518135331454559	ret proto-oncogene
PDGFRA	0.7134608616873396	0	0.8986397430966756	0.9358805526715079	No data	0.4425308838636572	No data	0.25715472738971573	platelet derived growth factor receptor alpha
FGFR1	0.7073724482880659	No data	0.6965008696384855	0.9310582478795614	No data	0.5976917536434185	No data	No data	fibroblast growth factor receptor 1
PDGFRB	0.7030537952180295	No data	0.8278809528410398	0.9370027041317238	No data	0.5623724581335566	No data	No data	platelet derived growth factor receptor beta
AKT1	0.692193404045403	0.012158615952232422	0.653820004019112	0.15198269940290526	0.865457038266544	0.8875579577394035	No data	No data	AKT serine/threonine kinase 1
BRCA2	0.6873495889699744	0.8122966204224814	0.8972427310360206	No data	0.25229128100882275	0.18309044569189992	No data	No data	BRCA2 DNA repair associated
CHEK2	0.6853812544192739	0.6672245479159791	0.7009421418543703	0.06079307976116211	No data	0.3035417521887112	No data	No data	checkpoint kinase 2
PIK3R1	0.6838119372096951	0.547137717850459	0.7912793432234143	0.15269987853546182	No data	0.28531185790684815	No data	No data	phosphoinositide-3-kinase regulatory subunit 1
PTEN	0.6789160718217686	0.48634463808929684	0.772126053621699	No data	0.865457038266544	0.816389224852658	No data	0.6409984295860485	phosphatase and tensin homolog
SMAD2	0.6747516220263439	No data	0.8827959258203875	No data	No data	0.28891237384237783	No data	No data	SMAD family member 2
MTOR	0.6726559648473678	No data	0.7939679083962017	0.14977050677826298	0.25229128100882275	0.7254752403946344	No data	No data	mechanistic target of rapamycin kinase
ERBB3	0.6725870823195449	0.06532775410164729	0.7899312803155925	0.18076085711873713	0.607930797611621	0.6496100926083131	No data	No data	erb-b2 receptor tyrosine kinase 3
ABL1	0.6711626981858648	No data	0.6904796800151077	0.9292139580054287	No data	0.09800086684881185	No data	No data	ABL proto-oncogene 1, non-receptor tyrosine kinase
DDR2	0.6706624446489511	No data	0.6696948779523016	0.9287969013388938	No data	0.31356788134053043	No data	No data	discoidin domain receptor tyrosine kinase 2
JAK2	0.6700327701472636	0.6660110044465394	0.6844003720389915	0.843398524687075	0.3039653988058105	0.5192837624931871	No data	No data	Janus kinase 2
WRN	0.6629595118940393	0.8274613634158176	0.8326304121973805	No data	0.4483489632385705	0.09646015770636684	No data	No data	WRN RecQ like helicase
TOP1	0.6613238220192019	No data	0.45038231580281374	0.9729842019425851	No data	0.10114604816519873	No data	No data	DNA topoisomerase I
ACVR2A	0.6604526751839637	No data	0.8674021995169408	No data	No data	0.09637879775639926	No data	No data	activin A receptor type 2A
BCL9L	0.6555401945446202	No data	0.8609957612570882	No data	No data	0.09311135644085991	No data	No data	BCL9 like
PALB2	0.6543014908556933	0.6691321538357845	0.8657525601820495	No data	No data	0.06389599770891985	No data	No data	partner and localizer of BRCA2
KMT2D	0.6512844963375457	No data	0.8561367063310705	No data	No data	0.05141967792709927	No data	No data	lysine methyltransferase 2D
KMT2C	0.649574169854503	No data	0.853814699865685	No data	No data	0.055431467865559615	No data	No data	lysine methyltransferase 2C
JAK1	0.6485001229235129	No data	0.6758982534381345	0.8525785549513817	0.547137717850459	0.2384361698890677	No data	No data	Janus kinase 1
TYMS	0.6472262487412246	No data	No data	0.9922588513628299	0.25590117408504054	0.37817497793783855	No data	No data	thymidylate synthetase
JAK3	0.646678215129118	No data	0.8424623794180129	0.8433788806647032	No data	0.22569037552018442	No data	0.3114429476164335	Janus kinase 3
RNF43	0.6455077668745609	0.24317231904464845	0.8033814243451338	No data	0.607930797611621	0.24632181006396667	No data	0.40246538628883344	ring finger protein 43
B2M	0.6398374805459504	No data	0.8307792732576124	No data	No data	0.6304490586699352	No data	No data	beta-2-microglobulin
PTGS2	0.6380666739907664	No data	No data	0.9957010306818305	No data	0.9157889278741906	No data	0.3636338065913911	prostaglandin-endoperoxide synthase 2
TNF	0.6363805775542386	No data	No data	0.9871540635486323	No data	0.9775776837558277	No data	0.4844150995116108	tumor necrosis factor
SOX9	0.6356047185874417	0.5193222860482111	0.8375771256721084	No data	0.3024455718117815	0.8646291465451592	No data	No data	SRY-box transcription factor 9
SYK	0.6332778846224124	0.6330614946182125	0.8278809528410398	No data	No data	0.7191613593262512	No data	No data	spleen associated tyrosine kinase
BAX	0.6315014584171268	No data	0.8215509251057046	No data	No data	0.5324980882293318	No data	No data	BCL2 associated X, apoptosis regulator
