symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
GLA	0.8984317390663193	0.9593453627577557	No data	0.9382862744869636	No data	0.6107333327791099	No data	0.4009084079682837	galactosidase alpha
NF1	0.8916797961828037	0.9570234726320177	0.8182579666186416	No data	No data	0.35960859921289506	No data	0.5220730540138083	neurofibromin 1
OCRL	0.880015505912809	0.9563052767917124	No data	No data	No data	0.5821396820479146	No data	No data	OCRL inositol polyphosphate-5-phosphatase
GALT	0.8768669236532557	0.9475820737639442	No data	No data	0.607930797611621	0.13316468084249924	No data	No data	galactose-1-phosphate uridylyltransferase
SLC12A3	0.8752764574572636	0.9409016370283215	No data	0.9486237071033893	0.607930797611621	0.312822475276491	No data	0.5890800286394383	solute carrier family 12 member 3
MYH9	0.875256233213832	0.9499866650183834	No data	No data	No data	0.311244217929625	No data	0.887839588398287	myosin heavy chain 9
GNAS	0.8724148691661525	0.9591738316582277	No data	No data	No data	0.7125729329824464	No data	0.5268987559278385	GNAS complex locus
PKD2	0.871342857818837	0.9457506721585589	No data	No data	No data	0.44322054809708133	No data	0.7729239616780937	polycystin 2, transient receptor potential cation channel
FANCA	0.8699814489287987	0.9450799868937543	0.037995674850726316	No data	No data	0.2433077334063491	No data	0.417141848961174	FA complementation group A
SLC4A1	0.869847334707148	0.9491552007718461	No data	No data	0.607930797611621	0.32295516121267726	No data	0.6621196806517614	solute carrier family 4 member 1 (Diego blood group)
HPRT1	0.8673524921567911	0.9417818773246717	No data	No data	No data	0.22071177893172214	No data	0.7683057810576744	hypoxanthine phosphoribosyltransferase 1
IFT140	0.8670998779188183	0.9327754496003972	No data	No data	No data	0.31402374480183115	No data	0.38216556373858535	intraflagellar transport 140
PKHD1	0.8665496634791562	0.9403512079555649	No data	No data	No data	0.5460507521497991	No data	0.7807804737533726	PKHD1 ciliary IPT domain containing fibrocystin/polyductin
AGXT	0.8661746772855868	0.9524593178222234	No data	No data	No data	0.3025934229773047	No data	0.8228875366336966	alanine--glyoxylate aminotransferase
COL4A3	0.865858001915951	0.9401801341560404	No data	No data	No data	0.28208547892228686	No data	0.7080330245027362	collagen type IV alpha 3 chain
DYNC2H1	0.8621035514242376	0.9486812680734971	No data	No data	No data	0.5519752489022955	No data	0.31654956631637104	dynein cytoplasmic 2 heavy chain 1
SLC3A1	0.8611368688012085	0.9329393037437685	No data	No data	0.7599134970145264	0.4275355382087501	No data	0.6938034511178098	solute carrier family 3 member 1
