median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5       ;38043.5      ; 0.001669617 ;0.336248305  ;0.00000000   ;-0.0613185468;0.01269004   ;0.00000000   ;cluster_0    
5165.5       ;23182.0      ; 0.041387116 ;1.928161420  ;0.64940782   ; 0.0105041311;0.55195576   ;0.00000000   ;cluster_1    
4805.0       ;21052.5      ; 0.004574277 ;0.393984678  ;0.00000000   ;-0.1531942074;0.00000000   ;0.00000000   ;cluster_2    
5370.0       ;23638.0      ; 0.037138928 ;1.634555442  ;0.35580184   ; 0.0541709130;1.09263207   ;0.00000000   ;cluster_3    
5534.0       ;25287.0      ; 0.013666518 ;0.641918142  ;0.00000000   ;-0.0334985605;0.06767115   ;0.00000000   ;cluster_4    
6340.0       ;32458.0      ; 0.040492574 ;1.835690571  ;0.55693697   ;-0.0064579711;0.29153755   ;0.00000000   ;cluster_5    
4012.0       ;15712.0      ; 0.032192212 ;1.351683416  ;0.07292982   ; 0.0085338331;0.52234350   ;0.00000000   ;cluster_6    
6226.0       ;30340.0      ; 0.048973754 ;2.455975383  ;1.17722178   ;-0.0007928234;0.35570333   ;0.00000000   ;cluster_7    
6803.0       ;36674.0      ; 0.044301190 ;2.055560755  ;0.77680715   ;-0.0045731232;0.30596497   ;0.00000000   ;cluster_8    
6377.5       ;31876.0      ; 0.054344151 ;2.795923445  ;1.51716984   ; 0.0203658188;0.63888243   ;0.00000000   ;cluster_9    
6103.0       ;31806.0      ; 0.027058508 ;1.149397192  ;0.00000000   ; 0.0096998169;0.47448037   ;0.00000000   ;cluster_10   
6988.0       ;41195.0      ; 0.041158066 ;1.889453717  ;0.61070012   ; 0.0325689331;0.85236710   ;0.00000000   ;cluster_11   
7771.0       ;56006.0      ; 0.008978641 ;0.507562417  ;0.00000000   ;-0.0037991117;0.29916672   ;0.00000000   ;cluster_12   
6581.5       ;35309.5      ; 0.029051897 ;1.240375583  ;0.00000000   ; 0.0123094975;0.50159502   ;0.00000000   ;cluster_13   
5770.0       ;26893.0      ; 0.010417016 ;0.557093558  ;0.00000000   ;-0.0693231745;0.00493497   ;0.00000000   ;cluster_14   
8086.0       ;60122.0      ; 0.041802339 ;1.772156723  ;0.49340312   ; 0.0088699730;0.41526005   ;0.00000000   ;cluster_15   
8319.0       ;66466.0      ; 0.049982390 ;2.214713592  ;0.93595999   ; 0.0890235491;1.35757891   ;0.07882531   ;cluster_16   
7644.5       ;50543.0      ;-0.039853930 ;0.003181659  ;0.00000000   ;-0.2773418487;0.00000000   ;0.00000000   ;cluster_17   
9295.5       ;79652.5      ; 0.030446833 ;1.224069096  ;0.00000000   ;-0.0355639578;0.12094755   ;0.00000000   ;cluster_18   
