median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5      ;38043.5     ;0.04291535  ;1.076799    ;0.0000000   ;-0.031359056;0.05763849  ;0.00000000  ;cluster_0   
5165.5      ;23182.0     ;0.06829570  ;1.728202    ;0.4494482   ; 0.063620552;1.64210858  ;0.36335498  ;cluster_1   
4805.0      ;21052.5     ;0.04438675  ;1.058532    ;0.0000000   ;-0.052714739;0.01291366  ;0.00000000  ;cluster_2   
5370.0      ;23638.0     ;0.09141900  ;2.214714    ;0.9359600   ; 0.054625614;1.30807832  ;0.02932472  ;cluster_3   
5534.0      ;25287.0     ;0.06729144  ;1.657621    ;0.3788671   ; 0.007654453;0.44993743  ;0.00000000  ;cluster_4   
6340.0      ;32458.0     ;0.07782873  ;1.879469    ;0.6007159   ; 0.064751999;1.62897557  ;0.35022196  ;cluster_5   
4012.0      ;15712.0     ;0.05798937  ;1.454736    ;0.1759827   ; 0.054381697;1.36155417  ;0.08280057  ;cluster_6   
6226.0      ;30340.0     ;0.06660976  ;1.638316    ;0.3595620   ; 0.070988376;1.78255948  ;0.50380588  ;cluster_7   
6803.0      ;36674.0     ;0.07469399  ;1.809712    ;0.5309581   ; 0.041884573;1.06858556  ;0.00000000  ;cluster_8   
6377.5      ;31876.0     ;0.08394027  ;2.008817    ;0.7300638   ; 0.083559940;2.07062450  ;0.79187090  ;cluster_9   
6103.0      ;31806.0     ;0.07271292  ;1.747190    ;0.4684368   ; 0.022871698;0.68998769  ;0.00000000  ;cluster_10  
6988.0      ;41195.0     ;0.05977635  ;1.471127    ;0.1923731   ; 0.058990309;1.47370415  ;0.19495055  ;cluster_11  
7771.0      ;56006.0     ;0.04329351  ;1.028768    ;0.0000000   ;-0.014709254;0.17578739  ;0.00000000  ;cluster_12  
6581.5      ;35309.5     ;0.06166527  ;1.514322    ;0.2355684   ; 0.019132716;0.62897557  ;0.00000000  ;cluster_13  
5770.0      ;26893.0     ;0.06218525  ;1.573532    ;0.2947786   ; 0.002342463;0.36305433  ;0.00000000  ;cluster_14  
8086.0      ;60122.0     ;0.09705101  ;2.193863    ;0.9151099   ; 0.074585237;1.67370757  ;0.39495397  ;cluster_15  
8319.0      ;66466.0     ;0.05298314  ;1.154325    ;0.0000000   ; 0.085106231;1.80414377  ;0.52539017  ;cluster_16  
7644.5      ;50543.0     ;0.07095718  ;1.454736    ;0.1759827   ;-0.170437812;0.00000000  ;0.00000000  ;cluster_17  
9295.5      ;79652.5     ;0.05161601  ;1.122096    ;0.0000000   ; 0.001213482;0.33474393  ;0.00000000  ;cluster_18  
