median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5      ;38043.5     ;0.04031106  ;1.0114845   ;0.0000000000;-0.011975442;0.2020146   ;0.00000000  ;cluster_0   
5165.5      ;23182.0     ;0.05007805  ;1.2790577   ;0.0003040822; 0.079179987;1.9208622   ;0.64210858  ;cluster_1   
4805.0      ;21052.5     ;0.03516756  ;0.8333174   ;0.0000000000;-0.025283193;0.1113025   ;0.00000000  ;cluster_2   
5370.0      ;23638.0     ;0.08037929  ;1.8729386   ;0.5941850280; 0.045186956;1.0531002   ;0.00000000  ;cluster_3   
5534.0      ;25287.0     ;0.05630176  ;1.3487654   ;0.0700118123; 0.014994744;0.5672344   ;0.00000000  ;cluster_4   
6340.0      ;32458.0     ;0.06638744  ;1.5735322   ;0.2947785650; 0.054277045;1.3297976   ;0.05104397  ;cluster_5   
4012.0      ;15712.0     ;0.04346470  ;1.1152481   ;0.0000000000; 0.072255379;1.7100088   ;0.43125521  ;cluster_6   
6226.0      ;30340.0     ;0.05400111  ;1.3215250   ;0.0427714473; 0.068418013;1.6289756   ;0.35022196  ;cluster_7   
6803.0      ;36674.0     ;0.06255061  ;1.4762970   ;0.1975433595; 0.050262230;1.2321458   ;0.00000000  ;cluster_8   
6377.5      ;31876.0     ;0.06047004  ;1.4271718   ;0.1484182241; 0.068278689;1.5986429   ;0.31988929  ;cluster_9   
6103.0      ;31806.0     ;0.05669123  ;1.3354015   ;0.0566478508; 0.041200241;1.0195855   ;0.00000000  ;cluster_10  
6988.0      ;41195.0     ;0.04313701  ;1.1085060   ;0.0000000000; 0.079545805;1.8416809   ;0.56292733  ;cluster_11  
7771.0      ;56006.0     ;0.04283870  ;0.9965829   ;0.0000000000; 0.005912597;0.4108760   ;0.00000000  ;cluster_12  
6581.5      ;35309.5     ;0.05501223  ;1.3080783   ;0.0293247236; 0.049276683;1.1925084   ;0.00000000  ;cluster_13  
5770.0      ;26893.0     ;0.05252014  ;1.2449312   ;0.0000000000; 0.007268406;0.4299677   ;0.00000000  ;cluster_14  
8086.0      ;60122.0     ;0.06669660  ;1.4330171   ;0.1542634602; 0.097979768;2.0362556   ;0.75750200  ;cluster_15  
8319.0      ;66466.0     ;0.02854261  ;0.6774107   ;0.0000000000; 0.121417591;2.4815295   ;1.20277589  ;cluster_16  
7644.5      ;50543.0     ;0.05377746  ;1.0195855   ;0.0000000000;-0.141249088;0.0000000   ;0.00000000  ;cluster_17  
9295.5      ;79652.5     ;0.02895970  ;0.6916925   ;0.0000000000; 0.005280776;0.3762774   ;0.00000000  ;cluster_18  
