median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5       ;38043.5      ;-0.0044963736;0.2660441    ;0            ;-0.020518888 ;0.1246349    ;0.0000000    ;cluster_0    
5165.5       ;23182.0      ; 0.0149275879;0.5547507    ;0            ; 0.046101435 ;1.1824781    ;0.0000000    ;cluster_1    
4805.0       ;21052.5      ; 0.0151363647;0.5379450    ;0            ;-0.045251180 ;0.0270542    ;0.0000000    ;cluster_2    
5370.0       ;23638.0      ; 0.0196196403;0.6216455    ;0            ; 0.063607297 ;1.5100849    ;0.2313313    ;cluster_3    
5534.0       ;25287.0      ; 0.0035254253;0.3712459    ;0            ; 0.005144498 ;0.4158253    ;0.0000000    ;cluster_4    
6340.0       ;32458.0      ;-0.0006601821;0.3144808    ;0            ; 0.017006574 ;0.6076983    ;0.0000000    ;cluster_5    
4012.0       ;15712.0      ; 0.0056981681;0.4083112    ;0            ; 0.031577081 ;0.8871035    ;0.0000000    ;cluster_6    
6226.0       ;30340.0      ; 0.0072874199;0.4216335    ;0            ; 0.039848682 ;1.0376741    ;0.0000000    ;cluster_7    
6803.0       ;36674.0      ;-0.0019833299;0.2969241    ;0            ; 0.012815517 ;0.5213327    ;0.0000000    ;cluster_8    
6377.5       ;31876.0      ; 0.0008320211;0.3348378    ;0            ; 0.042746741 ;1.0716476    ;0.0000000    ;cluster_9    
6103.0       ;31806.0      ; 0.0016514068;0.3433704    ;0            ; 0.031886862 ;0.8592212    ;0.0000000    ;cluster_10   
6988.0       ;41195.0      ; 0.0104805361;0.4737041    ;0            ; 0.051550151 ;1.2765878    ;0.0000000    ;cluster_11   
7771.0       ;56006.0      ; 0.0047173309;0.3856736    ;0            ; 0.007858762 ;0.4410950    ;0.0000000    ;cluster_12   
6581.5       ;35309.5      ; 0.0000260306;0.3191643    ;0            ; 0.007099024 ;0.4340776    ;0.0000000    ;cluster_13   
5770.0       ;26893.0      ; 0.0212080311;0.6688186    ;0            ; 0.009710859 ;0.4794289    ;0.0000000    ;cluster_14   
8086.0       ;60122.0      ;-0.0130875163;0.1841338    ;0            ; 0.054701156 ;1.2111683    ;0.0000000    ;cluster_15   
8319.0       ;66466.0      ;-0.0025888761;0.2871413    ;0            ; 0.075560234 ;1.5287517    ;0.2499981    ;cluster_16   
7644.5       ;50543.0      ; 0.0481874782;1.2218922    ;0            ;-0.141844985 ;0.0000000    ;0.0000000    ;cluster_17   
9295.5       ;79652.5      ; 0.0003450684;0.3214340    ;0            ; 0.018239174 ;0.5406509    ;0.0000000    ;cluster_18   
