median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5    ;38043.5   ;0.18162827;4.000043  ;2.721290  ;1.0768611 ;4.000043  ;2.72129   ;cluster_0 
5165.5    ;23182.0   ;0.29217545;4.000043  ;2.721290  ;0.9588512 ;4.000043  ;2.72129   ;cluster_1 
4805.0    ;21052.5   ;0.19542831;4.000043  ;2.721290  ;1.0253824 ;4.000043  ;2.72129   ;cluster_2 
5370.0    ;23638.0   ;0.29877148;4.000043  ;2.721290  ;0.9164712 ;4.000043  ;2.72129   ;cluster_3 
5534.0    ;25287.0   ;0.24237862;4.000043  ;2.721290  ;1.0065638 ;4.000043  ;2.72129   ;cluster_4 
6340.0    ;32458.0   ;0.30258530;4.000043  ;2.721290  ;0.9365820 ;4.000043  ;2.72129   ;cluster_5 
4012.0    ;15712.0   ;0.29511817;4.000043  ;2.721290  ;1.0214829 ;4.000043  ;2.72129   ;cluster_6 
6226.0    ;30340.0   ;0.31212518;4.000043  ;2.721290  ;0.9272996 ;4.000043  ;2.72129   ;cluster_7 
6803.0    ;36674.0   ;0.28450026;4.000043  ;2.721290  ;0.9508920 ;4.000043  ;2.72129   ;cluster_8 
6377.5    ;31876.0   ;0.32663865;4.000043  ;2.721290  ;0.9239696 ;4.000043  ;2.72129   ;cluster_9 
6103.0    ;31806.0   ;0.24523833;4.000043  ;2.721290  ;0.9782234 ;4.000043  ;2.72129   ;cluster_10
6988.0    ;41195.0   ;0.27042372;4.000043  ;2.721290  ;0.9744921 ;4.000043  ;2.72129   ;cluster_11
7771.0    ;56006.0   ;0.18565225;4.000043  ;2.721290  ;1.0478962 ;4.000043  ;2.72129   ;cluster_12
6581.5    ;35309.5   ;0.23633301;4.000043  ;2.721290  ;1.0539904 ;4.000043  ;2.72129   ;cluster_13
5770.0    ;26893.0   ;0.23500824;4.000043  ;2.721290  ;0.9855836 ;4.000043  ;2.72129   ;cluster_14
8086.0    ;60122.0   ;0.31524618;4.000043  ;2.721290  ;0.8996288 ;4.000043  ;2.72129   ;cluster_15
8319.0    ;66466.0   ;0.29356991;4.000043  ;2.721290  ;0.9227583 ;4.000043  ;2.72129   ;cluster_16
7644.5    ;50543.0   ;0.08349875;2.853915  ;1.575162  ;0.8768245 ;4.000043  ;2.72129   ;cluster_17
9295.5    ;79652.5   ;0.25139843;4.000043  ;2.721290  ;1.0222997 ;4.000043  ;2.72129   ;cluster_18
