median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5      ;38043.5     ;-0.016902311;0.14909103  ;0           ;-0.001279257;0.32896319  ;0.00000000  ;cluster_0   
5165.5      ;23182.0     ; 0.029457388;0.83569057  ;0           ; 0.081222387;1.67370757  ;0.39495397  ;cluster_1   
4805.0      ;21052.5     ; 0.032303222;0.84077710  ;0           ;-0.163320548;0.00000000  ;0.00000000  ;cluster_2   
5370.0      ;23638.0     ; 0.036883445;0.95707435  ;0           ; 0.051121930;1.08096533  ;0.00000000  ;cluster_3   
5534.0      ;25287.0     ; 0.008173615;0.44822760  ;0           ;-0.006233167;0.26580382  ;0.00000000  ;cluster_4   
6340.0      ;32458.0     ; 0.044195136;1.13434737  ;0           ; 0.038498039;0.99572205  ;0.00000000  ;cluster_5   
4012.0      ;15712.0     ; 0.030568084;0.86522906  ;0           ; 0.025481132;0.79891953  ;0.00000000  ;cluster_6   
6226.0      ;30340.0     ; 0.035725991;0.94161740  ;0           ; 0.093019645;1.86650452  ;0.58775092  ;cluster_7   
6803.0      ;36674.0     ; 0.040391579;1.04483689  ;0           ; 0.020144049;0.65212824  ;0.00000000  ;cluster_8   
6377.5      ;31876.0     ; 0.033981407;0.89487400  ;0           ; 0.096489995;1.89623971  ;0.61748611  ;cluster_9   
6103.0      ;31806.0     ; 0.022368918;0.67927420  ;0           ; 0.033991113;0.83479910  ;0.00000000  ;cluster_10  
6988.0      ;41195.0     ; 0.028359253;0.79213990  ;0           ; 0.080697384;1.62529508  ;0.34654148  ;cluster_11  
7771.0      ;56006.0     ;-0.020468646;0.12701362  ;0           ; 0.069034696;1.29933971  ;0.02058611  ;cluster_12  
6581.5      ;35309.5     ; 0.018164927;0.60717068  ;0           ; 0.022093825;0.64631949  ;0.00000000  ;cluster_13  
5770.0      ;26893.0     ; 0.006162249;0.41480836  ;0           ;-0.052906870;0.01461695  ;0.00000000  ;cluster_14  
8086.0      ;60122.0     ; 0.041912049;0.98552289  ;0           ; 0.105179357;1.88277213  ;0.60401853  ;cluster_15  
8319.0      ;66466.0     ; 0.031021414;0.76174636  ;0           ; 0.109685434;1.88277213  ;0.60401853  ;cluster_16  
7644.5      ;50543.0     ;-0.029546611;0.08835327  ;0           ;-0.275276098;0.00000000  ;0.00000000  ;cluster_17  
9295.5      ;79652.5     ; 0.041639233;0.95550367  ;0           ; 0.011746155;0.42740413  ;0.00000000  ;cluster_18  
