median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5      ;38043.5     ;-0.003737151;0.290264825 ;0           ;0.4302369   ;4.000043    ;2.72129     ;cluster_0   
5165.5      ;23182.0     ; 0.029074146;0.848367196 ;0           ;0.4689396   ;4.000043    ;2.72129     ;cluster_1   
4805.0      ;21052.5     ;-0.032965321;0.065696501 ;0           ;0.3397921   ;4.000043    ;2.72129     ;cluster_2   
5370.0      ;23638.0     ; 0.012229909;0.503944435 ;0           ;0.4791449   ;4.000043    ;2.72129     ;cluster_3   
5534.0      ;25287.0     ;-0.001888829;0.317627566 ;0           ;0.4418467   ;4.000043    ;2.72129     ;cluster_4   
6340.0      ;32458.0     ; 0.026159593;0.773443522 ;0           ;0.4899315   ;4.000043    ;2.72129     ;cluster_5   
4012.0      ;15712.0     ; 0.015629884;0.585906065 ;0           ;0.4855247   ;4.000043    ;2.72129     ;cluster_6   
6226.0      ;30340.0     ; 0.023394462;0.716516062 ;0           ;0.4795183   ;4.000043    ;2.72129     ;cluster_7   
6803.0      ;36674.0     ; 0.030661182;0.839274865 ;0           ;0.4646594   ;4.000043    ;2.72129     ;cluster_8   
6377.5      ;31876.0     ; 0.024373304;0.715387144 ;0           ;0.4895603   ;4.000043    ;2.72129     ;cluster_9   
6103.0      ;31806.0     ; 0.026944157;0.764010280 ;0           ;0.4537287   ;4.000043    ;2.72129     ;cluster_10  
6988.0      ;41195.0     ; 0.025728813;0.745978974 ;0           ;0.4716526   ;4.000043    ;2.72129     ;cluster_11  
7771.0      ;56006.0     ; 0.002203093;0.360556938 ;0           ;0.4653744   ;4.000043    ;2.72129     ;cluster_12  
6581.5      ;35309.5     ; 0.015416800;0.560394998 ;0           ;0.4726892   ;4.000043    ;2.72129     ;cluster_13  
5770.0      ;26893.0     ;-0.009031202;0.224214613 ;0           ;0.4128464   ;4.000043    ;2.72129     ;cluster_14  
8086.0      ;60122.0     ; 0.022726341;0.636807623 ;0           ;0.4889201   ;4.000043    ;2.72129     ;cluster_15  
8319.0      ;66466.0     ; 0.045469252;0.985522889 ;0           ;0.5296459   ;4.000043    ;2.72129     ;cluster_16  
7644.5      ;50543.0     ;-0.090996978;0.001086987 ;0           ;0.3017364   ;4.000043    ;2.72129     ;cluster_17  
9295.5      ;79652.5     ; 0.051589343;1.114117087 ;0           ;0.4399297   ;4.000043    ;2.72129     ;cluster_18  
