median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5     ;38043.5    ;-0.03150498;0.05314923 ;0          ;0.3244178  ;4.000043   ;2.72129    ;cluster_0  
5165.5     ;23182.0    ;-0.03113693;0.05496894 ;0          ;0.3672460  ;4.000043   ;2.72129    ;cluster_1  
4805.0     ;21052.5    ;-0.01895999;0.13263487 ;0          ;0.2788083  ;4.000043   ;2.72129    ;cluster_2  
5370.0     ;23638.0    ;-0.03228090;0.05758890 ;0          ;0.3928710  ;4.000043   ;2.72129    ;cluster_3  
5534.0     ;25287.0    ;-0.03567270;0.04004859 ;0          ;0.3488287  ;4.000043   ;2.72129    ;cluster_4  
6340.0     ;32458.0    ;-0.03301064;0.05026322 ;0          ;0.3826574  ;4.000043   ;2.72129    ;cluster_5  
4012.0     ;15712.0    ;-0.03075927;0.05838295 ;0          ;0.3868554  ;4.000043   ;2.72129    ;cluster_6  
6226.0     ;30340.0    ;-0.03447452;0.04551148 ;0          ;0.3797459  ;4.000043   ;2.72129    ;cluster_7  
6803.0     ;36674.0    ;-0.03798055;0.03578380 ;0          ;0.3581164  ;4.000043   ;2.72129    ;cluster_8  
6377.5     ;31876.0    ;-0.02713943;0.08018117 ;0          ;0.3793426  ;4.000043   ;2.72129    ;cluster_9  
6103.0     ;31806.0    ;-0.03463658;0.04618713 ;0          ;0.3438221  ;4.000043   ;2.72129    ;cluster_10 
6988.0     ;41195.0    ;-0.03227490;0.05256069 ;0          ;0.3636062  ;4.000043   ;2.72129    ;cluster_11 
7771.0     ;56006.0    ;-0.04076778;0.02626923 ;0          ;0.3378202  ;4.000043   ;2.72129    ;cluster_12 
6581.5     ;35309.5    ;-0.04775692;0.01233248 ;0          ;0.3431616  ;4.000043   ;2.72129    ;cluster_13 
5770.0     ;26893.0    ;-0.02577193;0.07892945 ;0          ;0.3256825  ;4.000043   ;2.72129    ;cluster_14 
8086.0     ;60122.0    ;-0.04293244;0.03090719 ;0          ;0.3989060  ;4.000043   ;2.72129    ;cluster_15 
8319.0     ;66466.0    ;-0.04406223;0.03277634 ;0          ;0.3920838  ;4.000043   ;2.72129    ;cluster_16 
7644.5     ;50543.0    ;-0.04966085;0.01313740 ;0          ;0.2142459  ;4.000043   ;2.72129    ;cluster_17 
9295.5     ;79652.5    ;-0.01182248;0.19604037 ;0          ;0.3339096  ;4.000043   ;2.72129    ;cluster_18 
