median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
6595.5      ;38043.5     ;0.1469812   ;4.000043    ;2.721290    ;-0.033895091;4.841453e-02;0.000000000 ;cluster_0   
5165.5      ;23182.0     ;0.1572822   ;4.000043    ;2.721290    ; 0.054498887;1.375761e+00;0.097007730 ;cluster_1   
4805.0      ;21052.5     ;0.1580203   ;4.000043    ;2.721290    ;-0.088465388;4.342728e-05;0.000000000 ;cluster_2   
5370.0      ;23638.0     ;0.1617982   ;4.000043    ;2.721290    ; 0.054903682;1.285714e+00;0.006960067 ;cluster_3   
5534.0      ;25287.0     ;0.1567547   ;4.000043    ;2.721290    ;-0.017709055;1.459196e-01;0.000000000 ;cluster_4   
6340.0      ;32458.0     ;0.1594671   ;4.000043    ;2.721290    ; 0.037789853;9.996093e-01;0.000000000 ;cluster_5   
4012.0      ;15712.0     ;0.1591163   ;4.000043    ;2.721290    ; 0.034640330;9.523792e-01;0.000000000 ;cluster_6   
6226.0      ;30340.0     ;0.1490553   ;4.000043    ;2.721290    ; 0.058863818;1.438942e+00;0.160188443 ;cluster_7   
6803.0      ;36674.0     ;0.1519379   ;4.000043    ;2.721290    ; 0.039536688;1.012377e+00;0.000000000 ;cluster_8   
6377.5      ;31876.0     ;0.1565910   ;4.000043    ;2.721290    ; 0.065636322;1.534661e+00;0.255906975 ;cluster_9   
6103.0      ;31806.0     ;0.1587789   ;4.000043    ;2.721290    ; 0.020561193;6.572261e-01;0.000000000 ;cluster_10  
6988.0      ;41195.0     ;0.1523692   ;4.000043    ;2.721290    ; 0.064817187;1.562293e+00;0.283539264 ;cluster_11  
7771.0      ;56006.0     ;0.1512126   ;4.000043    ;2.721290    ; 0.004329249;3.844090e-01;0.000000000 ;cluster_12  
6581.5      ;35309.5     ;0.1498235   ;4.000043    ;2.721290    ; 0.030102967;8.230844e-01;0.000000000 ;cluster_13  
5770.0      ;26893.0     ;0.1578249   ;4.000043    ;2.721290    ;-0.035808206;4.076348e-02;0.000000000 ;cluster_14  
8086.0      ;60122.0     ;0.1472558   ;4.000043    ;2.721290    ; 0.099464128;2.200703e+00;0.921949277 ;cluster_15  
8319.0      ;66466.0     ;0.1234548   ;3.397983    ;2.119230    ; 0.137922712;2.886100e+00;1.607346474 ;cluster_16  
7644.5      ;50543.0     ;0.1122318   ;3.522922    ;2.244169    ;-0.214879332;0.000000e+00;0.000000000 ;cluster_17  
9295.5      ;79652.5     ;0.1315721   ;4.000043    ;2.721290    ; 0.053715300;1.116382e+00;0.000000000 ;cluster_18  
