median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3544.0       ; 9083.0      ; 0.021620080 ;1.1694548    ;0.00000000   ;-1.721167e-02;0.1564992153 ;0            ;cluster_0    
4101.0       ;11305.0      ; 0.034000502 ;1.9318576    ;0.70140864   ; 3.644115e-02;1.0048471357 ;0            ;cluster_1    
5542.0       ;20168.0      ; 0.032260349 ;1.8861001    ;0.65565115   ; 2.783874e-03;0.4200313147 ;0            ;cluster_2    
3280.5       ; 9212.0      ; 0.003634135 ;0.4128939    ;0.00000000   ;-1.416524e-01;0.0000000000 ;0            ;cluster_3    
5305.0       ;19287.5      ; 0.037649282 ;2.2291914    ;0.99874249   ; 1.289934e-02;0.6300858199 ;0            ;cluster_4    
5303.5       ;19593.5      ; 0.041677347 ;2.6021034    ;1.37165450   ;-6.981938e-05;0.3724727631 ;0            ;cluster_5    
5015.0       ;17961.0      ; 0.024616651 ;1.3840934    ;0.15364445   ;-8.939583e-03;0.2498436994 ;0            ;cluster_6    
5395.0       ;19955.5      ; 0.031934476 ;1.8125227    ;0.58207379   ;-1.505504e-02;0.1778753479 ;0            ;cluster_7    
4705.0       ;15072.0      ; 0.032984756 ;1.9172581    ;0.68680914   ; 5.520777e-03;0.4837725445 ;0            ;cluster_8    
2932.0       ; 8086.0      ; 0.031160115 ;1.8153520    ;0.58490308   ;-2.423640e-02;0.0979861165 ;0            ;cluster_9    
5204.0       ;17298.0      ; 0.021017265 ;1.1331656    ;0.00000000   ; 3.845817e-03;0.4137937884 ;0            ;cluster_10   
3721.0       ; 9668.0      ; 0.024117171 ;1.2967520    ;0.06630313   ; 5.800623e-03;0.4579652809 ;0            ;cluster_11   
2620.0       ; 6252.0      ; 0.012431421 ;0.7394951    ;0.00000000   ;-6.988260e-02;0.0004344683 ;0            ;cluster_12   
5242.0       ;17865.0      ; 0.023833899 ;1.2848761    ;0.05442715   ;-1.839580e-02;0.1485404745 ;0            ;cluster_13   
3837.5       ;10310.0      ; 0.018552727 ;0.9767910    ;0.00000000   ;-6.897749e-02;0.0047593196 ;0            ;cluster_14   
5303.0       ;17213.0      ; 0.016672706 ;0.9133278    ;0.00000000   ;-9.571905e-02;0.0002606288 ;0            ;cluster_15   
4686.0       ;16227.5      ;-0.005125074 ;0.1949505    ;0.00000000   ;-1.875479e-01;0.0000000000 ;0            ;cluster_16   
