median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3544.0      ; 9083.0     ;0.05373907  ;1.602103    ;0.3716545   ; 0.020266792;0.761746359 ;0.000000000 ;cluster_0   
4101.0      ;11305.0     ;0.06869071  ;2.065545    ;0.8350961   ; 0.048456318;1.434195609 ;0.203746687 ;cluster_1   
5542.0      ;20168.0     ;0.03645182  ;1.170097    ;0.0000000   ; 0.039151441;1.212582953 ;0.000000000 ;cluster_2   
3280.5      ; 9212.0     ;0.03709882  ;1.084116    ;0.0000000   ;-0.049909139;0.005946338 ;0.000000000 ;cluster_3   
5305.0      ;19287.5     ;0.05256724  ;1.596923    ;0.3664740   ; 0.059045498;1.749623425 ;0.519174504 ;cluster_4   
5303.5      ;19593.5     ;0.04532645  ;1.379907    ;0.1494585   ; 0.064920601;1.853915392 ;0.623466470 ;cluster_5   
5015.0      ;17961.0     ;0.03467227  ;1.119230    ;0.0000000   ; 0.026062104;0.884432916 ;0.000000000 ;cluster_6   
5395.0      ;19955.5     ;0.04548019  ;1.384093    ;0.1536445   ; 0.040097728;1.240375583 ;0.009926661 ;cluster_7   
4705.0      ;15072.0     ;0.03838926  ;1.206952    ;0.0000000   ; 0.047677533;1.413456123 ;0.183007201 ;cluster_8   
2932.0      ; 8086.0     ;0.03438843  ;1.123826    ;0.0000000   ; 0.037194236;1.175266965 ;0.000000000 ;cluster_9   
5204.0      ;17298.0     ;0.05541403  ;1.612654    ;0.3822047   ; 0.011294229;0.550873695 ;0.000000000 ;cluster_10  
3721.0      ; 9668.0     ;0.08209496  ;2.443741    ;1.2132920   ; 0.040431603;1.204163410 ;0.000000000 ;cluster_11  
2620.0      ; 6252.0     ;0.04973169  ;1.496253    ;0.2658038   ;-0.004556416;0.298993797 ;0.000000000 ;cluster_12  
5242.0      ;17865.0     ;0.03678094  ;1.134939    ;0.0000000   ; 0.017092089;0.680520978 ;0.000000000 ;cluster_13  
3837.5      ;10310.0     ;0.08006224  ;2.356591    ;1.1261418   ; 0.021023664;0.729131788 ;0.000000000 ;cluster_14  
5303.0      ;17213.0     ;0.07497626  ;2.236615    ;1.0061665   ;-0.027976464;0.058382949 ;0.000000000 ;cluster_15  
4686.0      ;16227.5     ;0.03981023  ;1.176569    ;0.0000000   ;-0.092570117;0.000000000 ;0.000000000 ;cluster_16  
