median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3544.0      ; 9083.0     ;0.04412102  ;1.3188022   ;0.08835327  ; 0.042629266;1.267649667 ;0.03720075  ;cluster_0   
4101.0      ;11305.0     ;0.05364313  ;1.5346606   ;0.30421165  ; 0.058998193;1.618026385 ;0.38757746  ;cluster_1   
5542.0      ;20168.0     ;0.02909180  ;0.9642136   ;0.00000000  ; 0.063913699;1.863322860 ;0.63287394  ;cluster_2   
3280.5      ; 9212.0     ;0.03035933  ;0.9034810   ;0.00000000  ;-0.014455863;0.180762780 ;0.00000000  ;cluster_3   
5305.0      ;19287.5     ;0.04308636  ;1.2993397   ;0.06889079  ; 0.061837549;1.782559483 ;0.55211056  ;cluster_4   
5303.5      ;19593.5     ;0.03203663  ;1.0030942   ;0.00000000  ; 0.064402282;1.823952168 ;0.59350325  ;cluster_5   
5015.0      ;17961.0     ;0.01849588  ;0.7144861   ;0.00000000  ; 0.053595129;1.524372239 ;0.29392332  ;cluster_6   
5395.0      ;19955.5     ;0.03832070  ;1.1739686   ;0.00000000  ; 0.050944553;1.489498417 ;0.25904950  ;cluster_7   
4705.0      ;15072.0     ;0.03190062  ;1.0264538   ;0.00000000  ; 0.077787162;2.148785079 ;0.91833616  ;cluster_8   
2932.0      ; 8086.0     ;0.02657693  ;0.9197778   ;0.00000000  ; 0.054917175;1.557563658 ;0.32711474  ;cluster_9   
5204.0      ;17298.0     ;0.05211910  ;1.4510402   ;0.22059124  ; 0.039029608;1.133165613 ;0.00000000  ;cluster_10  
3721.0      ; 9668.0     ;0.07020873  ;1.8861001   ;0.65565115  ; 0.038637354;1.120947548 ;0.00000000  ;cluster_11  
2620.0      ; 6252.0     ;0.04395893  ;1.2882362   ;0.05778728  ; 0.024746938;0.860794210 ;0.00000000  ;cluster_12  
5242.0      ;17865.0     ;0.02681750  ;0.8948740   ;0.00000000  ; 0.038879045;1.162454989 ;0.00000000  ;cluster_13  
3837.5      ;10310.0     ;0.07942863  ;2.1308117   ;0.90036279  ; 0.002031633;0.390342325 ;0.00000000  ;cluster_14  
5303.0      ;17213.0     ;0.06701553  ;1.7986463   ;0.56819738  ;-0.016006666;0.150685446 ;0.00000000  ;cluster_15  
4686.0      ;16227.5     ;0.04276915  ;1.1649873   ;0.00000000  ;-0.061651837;0.002482312 ;0.00000000  ;cluster_16  
