median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3544.0      ; 9083.0     ;8.589865e-03;0.5033905   ;0           ;-0.001327665;0.3462522399;0.0000000   ;cluster_0   
4101.0      ;11305.0     ;2.974746e-02;1.0052865   ;0           ; 0.042063815;1.2798841239;0.0494352   ;cluster_1   
5542.0      ;20168.0     ;1.004263e-02;0.5252446   ;0           ; 0.013805528;0.6232840319;0.0000000   ;cluster_2   
3280.5      ; 9212.0     ;1.313604e-02;0.5753251   ;0           ;-0.057664916;0.0016968899;0.0000000   ;cluster_3   
5305.0      ;19287.5     ;9.953752e-03;0.5230670   ;0           ; 0.016863612;0.6885014689;0.0000000   ;cluster_4   
5303.5      ;19593.5     ;9.307801e-03;0.5102255   ;0           ; 0.021206933;0.7737013401;0.0000000   ;cluster_5   
5015.0      ;17961.0     ;1.155779e-02;0.5586625   ;0           ; 0.011312377;0.5597642140;0.0000000   ;cluster_6   
5395.0      ;19955.5     ;9.619323e-04;0.3515858   ;0           ;-0.001059689;0.3387040873;0.0000000   ;cluster_7   
4705.0      ;15072.0     ;1.783464e-02;0.7011904   ;0           ; 0.008107804;0.5102255190;0.0000000   ;cluster_8   
2932.0      ; 8086.0     ;1.407828e-02;0.6238316   ;0           ; 0.010405324;0.5691624808;0.0000000   ;cluster_9   
5204.0      ;17298.0     ;7.996064e-05;0.3406978   ;0           ; 0.003609805;0.4113236477;0.0000000   ;cluster_10  
3721.0      ; 9668.0     ;2.314866e-02;0.8024872   ;0           ; 0.022566014;0.7804589011;0.0000000   ;cluster_11  
2620.0      ; 6252.0     ;2.191866e-02;0.8013863   ;0           ;-0.017538058;0.1249242618;0.0000000   ;cluster_12  
5242.0      ;17865.0     ;7.345994e-03;0.4698437   ;0           ;-0.010893215;0.1950185828;0.0000000   ;cluster_13  
3837.5      ;10310.0     ;4.235313e-03;0.4049883   ;0           ;-0.034528999;0.0352183094;0.0000000   ;cluster_14  
5303.0      ;17213.0     ;1.755783e-02;0.6784450   ;0           ;-0.043585892;0.0113507247;0.0000000   ;cluster_15  
4686.0      ;16227.5     ;1.721769e-02;0.6741175   ;0           ;-0.076050215;0.0001737352;0.0000000   ;cluster_16  
