median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3544.0      ; 9083.0     ;0.08842055  ;4.000043    ;2.7695945   ; 0.014227297;0.66538866  ;0.00000000  ;cluster_0   
4101.0      ;11305.0     ;0.11394520  ;4.000043    ;2.7695945   ; 0.067700243;1.65959931  ;0.42915039  ;cluster_1   
5542.0      ;20168.0     ;0.10168724  ;4.000043    ;2.7695945   ; 0.024529422;0.86079421  ;0.00000000  ;cluster_2   
3280.5      ; 9212.0     ;0.04831861  ;2.481529    ;1.2510806   ;-0.111109657;0.00000000  ;0.00000000  ;cluster_3   
5305.0      ;19287.5     ;0.11095580  ;4.000043    ;2.7695945   ; 0.019525959;0.77113002  ;0.00000000  ;cluster_4   
5303.5      ;19593.5     ;0.12164174  ;4.000043    ;2.7695945   ; 0.043029312;1.17591759  ;0.00000000  ;cluster_5   
5015.0      ;17961.0     ;0.09516626  ;4.000043    ;2.7695945   ; 0.010211885;0.54871762  ;0.00000000  ;cluster_6   
5395.0      ;19955.5     ;0.10421846  ;4.000043    ;2.7695945   ;-0.002644817;0.34012723  ;0.00000000  ;cluster_7   
4705.0      ;15072.0     ;0.10593154  ;4.000043    ;2.7695945   ;-0.006266404;0.29804395  ;0.00000000  ;cluster_8   
2932.0      ; 8086.0     ;0.09939230  ;4.000043    ;2.7695945   ; 0.012040215;0.64593499  ;0.00000000  ;cluster_9   
5204.0      ;17298.0     ;0.08926186  ;4.000043    ;2.7695945   ; 0.017574553;0.65154386  ;0.00000000  ;cluster_10  
3721.0      ; 9668.0     ;0.10485442  ;4.000043    ;2.7695945   ; 0.052113302;1.30456175  ;0.07411283  ;cluster_11  
2620.0      ; 6252.0     ;0.07398504  ;4.000043    ;2.7695945   ;-0.029143539;0.06493941  ;0.00000000  ;cluster_12  
5242.0      ;17865.0     ;0.09353274  ;4.000043    ;2.7695945   ;-0.020271380;0.12249932  ;0.00000000  ;cluster_13  
3837.5      ;10310.0     ;0.08027385  ;4.000043    ;2.7695945   ;-0.046977773;0.02104168  ;0.00000000  ;cluster_14  
5303.0      ;17213.0     ;0.07469677  ;4.000043    ;2.7695945   ;-0.012043099;0.21364697  ;0.00000000  ;cluster_15  
4686.0      ;16227.5     ;0.03215376  ;1.593503    ;0.3630543   ;-0.153194629;0.00000000  ;0.00000000  ;cluster_16  
