median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3544.0     ; 9083.0    ;0.020121201;0.8495940  ;0.00000000 ;0.3287295  ;4.000043   ;2.769595   ;cluster_0  
4101.0     ;11305.0    ;0.035679452;1.5086817  ;0.27823281 ;0.3367099  ;4.000043   ;2.769595   ;cluster_1  
5542.0     ;20168.0    ;0.036965925;1.5935032  ;0.36305433 ;0.3286810  ;4.000043   ;2.769595   ;cluster_2  
3280.5     ; 9212.0    ;0.008105032;0.4963889  ;0.00000000 ;0.2553075  ;4.000043   ;2.769595   ;cluster_3  
5305.0     ;19287.5    ;0.041439977;1.8386754  ;0.60822650 ;0.3428049  ;4.000043   ;2.769595   ;cluster_4  
5303.5     ;19593.5    ;0.049506344;2.4202598  ;1.18981091 ;0.3326179  ;4.000043   ;2.769595   ;cluster_5  
5015.0     ;17961.0    ;0.033109903;1.4168447  ;0.18639573 ;0.3440495  ;4.000043   ;2.769595   ;cluster_6  
5395.0     ;19955.5    ;0.036821943;1.5607107  ;0.33026181 ;0.3325282  ;4.000043   ;2.769595   ;cluster_7  
4705.0     ;15072.0    ;0.041064796;1.8416809  ;0.61123201 ;0.3563241  ;4.000043   ;2.769595   ;cluster_8  
2932.0     ; 8086.0    ;0.040406510;1.7905284  ;0.56007949 ;0.3389814  ;4.000043   ;2.769595   ;cluster_9  
5204.0     ;17298.0    ;0.015996179;0.7187827  ;0.00000000 ;0.3270282  ;4.000043   ;2.769595   ;cluster_10 
3721.0     ; 9668.0    ;0.028825193;1.1688137  ;0.00000000 ;0.3335383  ;4.000043   ;2.769595   ;cluster_11 
2620.0     ; 6252.0    ;0.021269682;0.9048741  ;0.00000000 ;0.3005114  ;4.000043   ;2.769595   ;cluster_12 
5242.0     ;17865.0    ;0.032700709;1.3160963  ;0.08564738 ;0.3140827  ;4.000043   ;2.769595   ;cluster_13 
3837.5     ;10310.0    ;0.017842707;0.7557663  ;0.00000000 ;0.3084398  ;4.000043   ;2.769595   ;cluster_14 
5303.0     ;17213.0    ;0.011430706;0.5889290  ;0.00000000 ;0.2861899  ;4.000043   ;2.769595   ;cluster_15 
4686.0     ;16227.5    ;0.003388448;0.3936621  ;0.00000000 ;0.2517419  ;4.000043   ;2.769595   ;cluster_16 
