median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3544.0    ; 9083.0   ;0.18236580;4.000043  ;2.769595  ;0.6168204 ;4.000043  ;2.769595  ;cluster_0 
4101.0    ;11305.0   ;0.22437158;4.000043  ;2.769595  ;0.5046512 ;4.000043  ;2.769595  ;cluster_1 
5542.0    ;20168.0   ;0.18905614;4.000043  ;2.769595  ;0.5539256 ;4.000043  ;2.769595  ;cluster_2 
3280.5    ; 9212.0   ;0.12781815;4.000043  ;2.769595  ;0.6423547 ;4.000043  ;2.769595  ;cluster_3 
5305.0    ;19287.5   ;0.22039000;4.000043  ;2.769595  ;0.5294123 ;4.000043  ;2.769595  ;cluster_4 
5303.5    ;19593.5   ;0.22051642;4.000043  ;2.769595  ;0.5441499 ;4.000043  ;2.769595  ;cluster_5 
5015.0    ;17961.0   ;0.19263627;4.000043  ;2.769595  ;0.5990514 ;4.000043  ;2.769595  ;cluster_6 
5395.0    ;19955.5   ;0.20190008;4.000043  ;2.769595  ;0.5579984 ;4.000043  ;2.769595  ;cluster_7 
4705.0    ;15072.0   ;0.18208877;4.000043  ;2.769595  ;0.6416837 ;4.000043  ;2.769595  ;cluster_8 
2932.0    ; 8086.0   ;0.20816075;4.000043  ;2.769595  ;0.5995221 ;4.000043  ;2.769595  ;cluster_9 
5204.0    ;17298.0   ;0.16059775;4.000043  ;2.769595  ;0.6046779 ;4.000043  ;2.769595  ;cluster_10
3721.0    ; 9668.0   ;0.22969561;4.000043  ;2.769595  ;0.5010223 ;4.000043  ;2.769595  ;cluster_11
2620.0    ; 6252.0   ;0.18404162;4.000043  ;2.769595  ;0.5941540 ;4.000043  ;2.769595  ;cluster_12
5242.0    ;17865.0   ;0.17509677;4.000043  ;2.769595  ;0.5840693 ;4.000043  ;2.769595  ;cluster_13
3837.5    ;10310.0   ;0.19843277;4.000043  ;2.769595  ;0.5159080 ;4.000043  ;2.769595  ;cluster_14
5303.0    ;17213.0   ;0.13830172;4.000043  ;2.769595  ;0.5512440 ;4.000043  ;2.769595  ;cluster_15
4686.0    ;16227.5   ;0.09372861;4.000043  ;2.769595  ;0.5979733 ;4.000043  ;2.769595  ;cluster_16
