median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3544.0       ; 9083.0      ;-0.0012464773;0.32979757   ;0            ; 0.022016589 ;0.821930175  ;0.00000000   ;cluster_0    
4101.0       ;11305.0      ; 0.0078978983;0.48816007   ;0            ; 0.059208313 ;1.489498417  ;0.25904950   ;cluster_1    
5542.0       ;20168.0      ; 0.0067855531;0.46677991   ;0            ; 0.049791594 ;1.340127227  ;0.10967831   ;cluster_2    
3280.5       ; 9212.0      ; 0.0191392545;0.68935011   ;0            ;-0.128871668 ;0.000000000  ;0.00000000   ;cluster_3    
5305.0       ;19287.5      ; 0.0149305727;0.64268040   ;0            ; 0.049081647 ;1.334462436  ;0.10401351   ;cluster_4    
5303.5       ;19593.5      ; 0.0120142760;0.57320697   ;0            ; 0.095645499 ;2.214713592  ;0.98426467   ;cluster_5    
5015.0       ;17961.0      ; 0.0100129977;0.52889846   ;0            ; 0.016487179 ;0.653690453  ;0.00000000   ;cluster_6    
5395.0       ;19955.5      ; 0.0097841732;0.52379163   ;0            ; 0.026491691 ;0.879798632  ;0.00000000   ;cluster_7    
4705.0       ;15072.0      ; 0.0080521223;0.49652511   ;0            ; 0.037743244 ;1.076281466  ;0.00000000   ;cluster_8    
2932.0       ; 8086.0      ; 0.0073429632;0.49816293   ;0            ; 0.046231033 ;1.295892910  ;0.06544399   ;cluster_9    
5204.0       ;17298.0      ;-0.0137013003;0.15712231   ;0            ; 0.050285121 ;1.269261152  ;0.03881223   ;cluster_10   
3721.0       ; 9668.0      ; 0.0121533885;0.56071073   ;0            ; 0.040651570 ;1.084116216  ;0.00000000   ;cluster_11   
2620.0       ; 6252.0      ; 0.0009675550;0.36758614   ;0            ;-0.033238808 ;0.044163341  ;0.00000000   ;cluster_12   
5242.0       ;17865.0      ; 0.0066857222;0.45796528   ;0            ;-0.005257937 ;0.292899239  ;0.00000000   ;cluster_13   
3837.5       ;10310.0      ;-0.0024168914;0.31117886   ;0            ;-0.061170555 ;0.004671521  ;0.00000000   ;cluster_14   
5303.0       ;17213.0      ;-0.0231572061;0.07945057   ;0            ;-0.034122152 ;0.061073630  ;0.00000000   ;cluster_15   
4686.0       ;16227.5      ;-0.0007251564;0.32234525   ;0            ;-0.164623523 ;0.000000000  ;0.00000000   ;cluster_16   
