median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3544.0       ; 9083.0      ; 0.0212934896;0.792947887  ;0            ;0.3246824    ;4.000043     ;2.769595     ;cluster_0    
4101.0       ;11305.0      ; 0.0314260735;1.015066301  ;0            ;0.3506344    ;4.000043     ;2.769595     ;cluster_1    
5542.0       ;20168.0      ; 0.0189268541;0.733576532  ;0            ;0.3335455    ;4.000043     ;2.769595     ;cluster_2    
3280.5       ; 9212.0      ;-0.0254806281;0.080860698  ;0            ;0.2462324    ;4.000043     ;2.769595     ;cluster_3    
5305.0       ;19287.5      ; 0.0169198574;0.693832919  ;0            ;0.3640758    ;4.000043     ;2.769595     ;cluster_4    
5303.5       ;19593.5      ; 0.0139742517;0.616766777  ;0            ;0.3570377    ;4.000043     ;2.769595     ;cluster_5    
5015.0       ;17961.0      ; 0.0001917339;0.357479990  ;0            ;0.3457599    ;4.000043     ;2.769595     ;cluster_6    
5395.0       ;19955.5      ; 0.0068491148;0.476036982  ;0            ;0.3422717    ;4.000043     ;2.769595     ;cluster_7    
4705.0       ;15072.0      ; 0.0190995892;0.728666555  ;0            ;0.3583386    ;4.000043     ;2.769595     ;cluster_8    
2932.0       ; 8086.0      ; 0.0151238195;0.666999397  ;0            ;0.3517914    ;4.000043     ;2.769595     ;cluster_9    
5204.0       ;17298.0      ; 0.0115136147;0.551646324  ;0            ;0.3209939    ;4.000043     ;2.769595     ;cluster_10   
3721.0       ; 9668.0      ; 0.0125645599;0.587414907  ;0            ;0.3502558    ;4.000043     ;2.769595     ;cluster_11   
2620.0       ; 6252.0      ;-0.0125290660;0.182808697  ;0            ;0.3125889    ;4.000043     ;2.769595     ;cluster_12   
5242.0       ;17865.0      ; 0.0089680626;0.514463950  ;0            ;0.3167619    ;4.000043     ;2.769595     ;cluster_13   
3837.5       ;10310.0      ;-0.0123998175;0.188602484  ;0            ;0.3093589    ;4.000043     ;2.769595     ;cluster_14   
5303.0       ;17213.0      ;-0.0111397460;0.194202878  ;0            ;0.2861928    ;4.000043     ;2.769595     ;cluster_15   
4686.0       ;16227.5      ;-0.0548457931;0.004627629  ;0            ;0.2398744    ;4.000043     ;2.769595     ;cluster_16   
