median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3544.0     ; 9083.0    ;-0.03325943;0.024795486;0          ;0.2675134  ;4.000043   ;2.769595   ;cluster_0  
4101.0     ;11305.0    ;-0.03435411;0.021862910;0          ;0.2963832  ;4.000043   ;2.769595   ;cluster_1  
5542.0     ;20168.0    ;-0.03384248;0.019767286;0          ;0.2737516  ;4.000043   ;2.769595   ;cluster_2  
3280.5     ; 9212.0    ;-0.01833391;0.112257392;0          ;0.2081032  ;4.000043   ;2.769595   ;cluster_3  
5305.0     ;19287.5    ;-0.02920692;0.037248057;0          ;0.2953542  ;4.000043   ;2.769595   ;cluster_4  
5303.5     ;19593.5    ;-0.03388960;0.022548458;0          ;0.2973108  ;4.000043   ;2.769595   ;cluster_5  
5015.0     ;17961.0    ;-0.03086124;0.028767579;0          ;0.2794737  ;4.000043   ;2.769595   ;cluster_6  
5395.0     ;19955.5    ;-0.03511045;0.020267495;0          ;0.2838462  ;4.000043   ;2.769595   ;cluster_7  
4705.0     ;15072.0    ;-0.03448986;0.019267653;0          ;0.2807151  ;4.000043   ;2.769595   ;cluster_8  
2932.0     ; 8086.0    ;-0.03841015;0.010015529;0          ;0.2888406  ;4.000043   ;2.769595   ;cluster_9  
5204.0     ;17298.0    ;-0.03426158;0.022274109;0          ;0.2553059  ;4.000043   ;2.769595   ;cluster_10 
3721.0     ; 9668.0    ;-0.04079794;0.010504624;0          ;0.3074000  ;4.000043   ;2.769595   ;cluster_11 
2620.0     ; 6252.0    ;-0.02111397;0.085330140;0          ;0.2494743  ;4.000043   ;2.769595   ;cluster_12 
5242.0     ;17865.0    ;-0.02905564;0.040811178;0          ;0.2562854  ;4.000043   ;2.769595   ;cluster_13 
3837.5     ;10310.0    ;-0.02715563;0.054821111;0          ;0.2773700  ;4.000043   ;2.769595   ;cluster_14 
5303.0     ;17213.0    ;-0.04155948;0.008994651;0          ;0.2299820  ;4.000043   ;2.769595   ;cluster_15 
4686.0     ;16227.5    ;-0.02548134;0.054279504;0          ;0.1814857  ;4.000043   ;2.769595   ;cluster_16 
