median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3544.0       ; 9083.0      ;0.12132348   ;4.000043     ;2.769595     ;-0.0006485976;0.355900377  ;0.0000000    ;cluster_0    
4101.0       ;11305.0      ;0.12477356   ;4.000043     ;2.769595     ; 0.0454896237;1.368599658  ;0.1381507    ;cluster_1    
5542.0       ;20168.0      ;0.11154286   ;4.000043     ;2.769595     ; 0.0324956460;1.047250984  ;0.0000000    ;cluster_2    
3280.5       ; 9212.0      ;0.10675380   ;4.000043     ;2.769595     ;-0.0816822202;0.000000000  ;0.0000000    ;cluster_3    
5305.0       ;19287.5      ;0.12049953   ;4.000043     ;2.769595     ; 0.0308149920;1.025071433  ;0.0000000    ;cluster_4    
5303.5       ;19593.5      ;0.10811616   ;4.000043     ;2.769595     ; 0.0378359635;1.158058623  ;0.0000000    ;cluster_5    
5015.0       ;17961.0      ;0.10982724   ;4.000043     ;2.769595     ; 0.0350036435;1.085700270  ;0.0000000    ;cluster_6    
5395.0       ;19955.5      ;0.11059469   ;4.000043     ;2.769595     ; 0.0191959127;0.730764038  ;0.0000000    ;cluster_7    
4705.0       ;15072.0      ;0.11643518   ;4.000043     ;2.769595     ; 0.0343947553;1.095327882  ;0.0000000    ;cluster_8    
2932.0       ; 8086.0      ;0.11517742   ;4.000043     ;2.769595     ; 0.0122992230;0.613009726  ;0.0000000    ;cluster_9    
5204.0       ;17298.0      ;0.11653836   ;4.000043     ;2.769595     ; 0.0116378432;0.553195717  ;0.0000000    ;cluster_10   
3721.0       ; 9668.0      ;0.12299224   ;4.000043     ;2.769595     ; 0.0363564779;1.085700270  ;0.0000000    ;cluster_11   
2620.0       ; 6252.0      ;0.12180599   ;4.000043     ;2.769595     ;-0.0303362628;0.037011552  ;0.0000000    ;cluster_12   
5242.0       ;17865.0      ;0.11148439   ;4.000043     ;2.769595     ; 0.0294812518;0.965014145  ;0.0000000    ;cluster_13   
3837.5       ;10310.0      ;0.11429673   ;4.000043     ;2.769595     ;-0.0404856131;0.018360700  ;0.0000000    ;cluster_14   
5303.0       ;17213.0      ;0.12845992   ;4.000043     ;2.769595     ;-0.0553610870;0.002045791  ;0.0000000    ;cluster_15   
4686.0       ;16227.5      ;0.08241638   ;3.301073     ;2.070625     ;-0.1228962096;0.000000000  ;0.0000000    ;cluster_16   
