median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
3544.0     ; 9083.0    ;0.024445734;1.3372856  ;0.106836674;0.3155772  ;4.000043   ;2.769595   ;cluster_0  
4101.0     ;11305.0    ;0.038504240;2.3188022  ;1.088353269;0.3263288  ;4.000043   ;2.769595   ;cluster_1  
5542.0     ;20168.0    ;0.034295663;2.0915584  ;0.861109487;0.3064645  ;4.000043   ;2.769595   ;cluster_2  
3280.5     ; 9212.0    ;0.015638882;0.8697097  ;0.000000000;0.2453375  ;4.000043   ;2.769595   ;cluster_3  
5305.0     ;19287.5    ;0.045779648;3.0969534  ;1.866504519;0.3178979  ;4.000043   ;2.769595   ;cluster_4  
5303.5     ;19593.5    ;0.049037522;3.3010734  ;2.070624502;0.3055665  ;4.000043   ;2.769595   ;cluster_5  
5015.0     ;17961.0    ;0.028463119;1.6615869  ;0.431138012;0.3116086  ;4.000043   ;2.769595   ;cluster_6  
5395.0     ;19955.5    ;0.037279575;2.2218922  ;0.991443256;0.3056861  ;4.000043   ;2.769595   ;cluster_7  
4705.0     ;15072.0    ;0.035659804;2.1675345  ;0.937085593;0.3271870  ;4.000043   ;2.769595   ;cluster_8  
2932.0     ; 8086.0    ;0.037134421;2.2518554  ;1.021406479;0.3109173  ;4.000043   ;2.769595   ;cluster_9  
5204.0     ;17298.0    ;0.018642555;1.0191315  ;0.000000000;0.3104080  ;4.000043   ;2.769595   ;cluster_10 
3721.0     ; 9668.0    ;0.032376845;1.8210665  ;0.590617559;0.3275284  ;4.000043   ;2.769595   ;cluster_11 
2620.0     ; 6252.0    ;0.022013792;1.2388676  ;0.008418693;0.2801351  ;4.000043   ;2.769595   ;cluster_12 
5242.0     ;17865.0    ;0.033150601;1.9355854  ;0.705136517;0.2965174  ;4.000043   ;2.769595   ;cluster_13 
3837.5     ;10310.0    ;0.030636366;1.7352256  ;0.504776683;0.2952132  ;4.000043   ;2.769595   ;cluster_14 
5303.0     ;17213.0    ;0.018443583;1.0227772  ;0.000000000;0.2699224  ;4.000043   ;2.769595   ;cluster_15 
4686.0     ;16227.5    ;0.003158466;0.4125570  ;0.000000000;0.2269553  ;4.000043   ;2.769595   ;cluster_16 
