median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
 921.5      ;1516.5      ;0.009067795 ;0.7181015   ;0.000000000 ; 0.001112302;0.4790362   ;0.0000000   ;cluster_0   
 759.5      ;1311.5      ;0.006311503 ;0.5748354   ;0.000000000 ; 0.002222492;0.5009064   ;0.0000000   ;cluster_1   
1782.0      ;3195.0      ;0.008451945 ;0.6730934   ;0.000000000 ; 0.002797211;0.4496928   ;0.0000000   ;cluster_2   
2031.0      ;5326.5      ;0.016797159 ;1.0035318   ;0.000000000 ; 0.011586668;0.6022772   ;0.0000000   ;cluster_3   
1129.5      ;2259.0      ;0.004753917 ;0.4840372   ;0.000000000 ;-0.003930414;0.3173569   ;0.0000000   ;cluster_4   
 940.0      ;1809.0      ;0.003188543 ;0.4363251   ;0.000000000 ;-0.002180346;0.3733952   ;0.0000000   ;cluster_5   
1724.0      ;3627.0      ;0.004653077 ;0.4829796   ;0.000000000 ;-0.002379681;0.3336191   ;0.0000000   ;cluster_6   
1235.0      ;2301.0      ;0.003436342 ;0.4548601   ;0.000000000 ;-0.010764667;0.1975434   ;0.0000000   ;cluster_7   
2521.5      ;7207.0      ;0.018331202 ;1.0438750   ;0.002482312 ; 0.022235605;0.7635062   ;0.0000000   ;cluster_8   
 909.5      ;1815.0      ;0.004551156 ;0.4870923   ;0.000000000 ;-0.002527955;0.3763807   ;0.0000000   ;cluster_9   
1812.0      ;4030.5      ;0.026992904 ;1.5986429   ;0.557250201 ; 0.059488561;1.5391456   ;0.4977529   ;cluster_10  
