median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
 921.5     ;1516.5     ;0.010102924;0.9397234  ;0.00000000 ;0.09087122 ;3.699013   ;2.657621   ;cluster_0  
 759.5     ;1311.5     ;0.007710416;0.7452537  ;0.00000000 ;0.11406733 ;4.000043   ;2.958651   ;cluster_1  
1782.0     ;3195.0     ;0.007628170;0.7435662  ;0.00000000 ;0.08702355 ;3.699013   ;2.657621   ;cluster_2  
2031.0     ;5326.5     ;0.017740937;1.4271718  ;0.38577914 ;0.08793349 ;3.301073   ;2.259681   ;cluster_3  
1129.5     ;2259.0     ;0.011386034;0.9318576  ;0.00000000 ;0.09891756 ;3.699013   ;2.657621   ;cluster_4  
 940.0     ;1809.0     ;0.010289639;0.8877737  ;0.00000000 ;0.10534895 ;3.699013   ;2.657621   ;cluster_5  
1724.0     ;3627.0     ;0.007457740;0.6912657  ;0.00000000 ;0.08396490 ;3.301073   ;2.259681   ;cluster_6  
1235.0     ;2301.0     ;0.008899352;0.8274405  ;0.00000000 ;0.08164908 ;3.301073   ;2.259681   ;cluster_7  
2521.5     ;7207.0     ;0.015441291;1.1804995  ;0.13910681 ;0.09683555 ;3.699013   ;2.657621   ;cluster_8  
 909.5     ;1815.0     ;0.014061874;1.1493972  ;0.10800451 ;0.09326016 ;3.301073   ;2.259681   ;cluster_9  
1812.0     ;4030.5     ;0.013913162;1.0878214  ;0.04642869 ;0.09033069 ;3.221892   ;2.180499   ;cluster_10 
